hypothesis,symbol,entry_time,entry_price,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value
H0,BTOG,2026-02-02 15:29:00+00:00,3.21,3.09,3.44,10000,2026-02-02 15:53:00+00:00,3.09,stop,-1200.00,-3.74,fixed_investment,500,0.1200,1200.00,32050.00
H0,MVO,2026-02-02 14:48:00+00:00,1.72,1.65,1.87,10000,2026-02-02 15:11:00+00:00,1.65,stop,-721.00,-4.19,fixed_investment,500,0.0721,721.00,17221.00
H0,PBM,2026-02-04 15:22:00+00:00,2.85,2.76,3.04,10000,2026-02-04 17:19:00+00:00,2.76,stop,-925.00,-3.24,fixed_investment,500,0.0925,925.00,28525.00
H0,BNKK,2026-02-06 15:19:00+00:00,3.76,3.70,3.89,10000,2026-02-06 15:28:00+00:00,3.89,target,1300.00,3.46,fixed_investment,500,0.0650,650.00,37600.00
H0,NTWK,2026-02-06 18:58:00+00:00,3.41,3.35,3.53,10000,2026-02-06 19:04:00+00:00,3.53,target,1200.00,3.52,fixed_investment,500,0.0600,600.00,34100.00
H0,JFB,2026-02-09 15:15:00+00:00,33.49,33.30,33.86,1492,2026-02-09 15:16:00+00:00,33.86,target,552.04,1.10,fixed_investment,500,0.1850,276.02,49967.08
H0,OPTX,2026-02-11 19:46:00+00:00,6.40,6.31,6.58,7812,2026-02-11 19:53:00+00:00,6.58,target,1404.60,2.81,fixed_investment,500,0.0899,702.30,49996.80
H0,DBGI,2026-02-17 15:16:00+00:00,5.36,5.27,5.54,9328,2026-02-17 15:18:00+00:00,5.54,target,1677.17,3.35,fixed_investment,500,0.0899,838.59,49998.08
H0,INTS,2026-02-19 15:02:00+00:00,6.18,6.02,6.51,8084,2026-02-19 15:03:00+00:00,6.51,target,2598.20,5.20,fixed_investment,500,0.1607,1299.10,49999.54
H0,NAMM,2026-02-19 14:46:00+00:00,2.65,2.59,2.77,10000,2026-02-19 14:48:00+00:00,2.77,target,1200.00,4.53,fixed_investment,500,0.0600,600.00,26500.00
H0,RLYB,2026-02-19 19:30:00+00:00,4.86,4.80,4.98,10000,2026-02-19 19:58:00+00:00,4.81,eod,-495.00,-1.02,fixed_investment,500,0.0602,602.00,48600.00
H0,DBGI,2026-02-20 14:39:00+00:00,5.16,5.08,5.33,9689,2026-02-20 14:43:00+00:00,5.33,target,1647.13,3.29,fixed_investment,500,0.0850,823.56,49995.24
H0,ELWT,2026-02-25 15:03:00+00:00,7.34,7.26,7.50,6811,2026-02-25 15:04:00+00:00,7.50,target,1067.96,2.14,fixed_investment,500,0.0784,533.98,49998.19
H0,HCTI,2026-02-26 19:14:00+00:00,6.37,6.31,6.49,7849,2026-02-26 19:17:00+00:00,6.49,target,941.88,1.88,fixed_investment,500,0.0600,470.94,49998.13
