hypothesis,symbol,entry_time,entry_price,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value
H7,BTOG,2026-02-02 15:29:00+00:00,3.21,3.09,3.38,4166,2026-02-02 15:53:00+00:00,3.09,stop,-499.92,-3.74,fixed_risk,500,0.1200,499.92,13352.03
H7,NCI,2026-02-02 19:50:00+00:00,1.36,1.32,1.41,10000,2026-02-02 19:53:00+00:00,1.32,stop,-368.00,-2.71,fixed_risk,500,0.0368,368.00,13568.00
H7,SNES,2026-02-02 18:53:00+00:00,2.03,1.98,2.10,10000,2026-02-02 18:54:00+00:00,2.10,target,750.00,3.69,fixed_risk,500,0.0500,500.00,20300.00
H7,PBM,2026-02-04 15:22:00+00:00,2.85,2.76,2.99,5405,2026-02-04 16:26:00+00:00,2.99,target,749.94,4.86,fixed_risk,500,0.0925,499.96,15417.76
H7,BNKK,2026-02-06 15:19:00+00:00,3.76,3.70,3.86,7692,2026-02-06 15:28:00+00:00,3.86,target,749.97,2.59,fixed_risk,500,0.0650,499.98,28921.92
H7,NCI,2026-02-11 15:25:00+00:00,0.98,0.97,0.99,10000,2026-02-11 15:26:00+00:00,0.99,target,150.00,1.53,fixed_risk,500,0.0100,100.00,9800.00
H7,OPTX,2026-02-11 19:46:00+00:00,6.40,6.31,6.53,5561,2026-02-11 19:48:00+00:00,6.53,target,749.90,2.11,fixed_risk,500,0.0899,499.93,35590.40
H7,ZNB,2026-02-11 14:54:00+00:00,0.27,0.26,0.29,10000,2026-02-11 15:13:00+00:00,0.26,stop,-117.00,-4.28,fixed_risk,500,0.0117,117.00,2731.00
H7,DBGI,2026-02-17 15:16:00+00:00,5.36,5.27,5.49,5561,2026-02-17 15:18:00+00:00,5.49,target,749.90,2.52,fixed_risk,500,0.0899,499.93,29806.96
H7,GLXG,2026-02-17 14:48:00+00:00,2.64,2.60,2.70,10000,2026-02-17 14:51:00+00:00,2.70,target,628.50,2.38,fixed_risk,500,0.0419,419.00,26419.00
H7,CDIO,2026-02-18 19:55:00+00:00,2.43,2.39,2.49,10000,2026-02-18 19:57:00+00:00,2.49,target,600.00,2.47,fixed_risk,500,0.0400,400.00,24300.00
H7,KIDZ,2026-02-19 18:44:00+00:00,0.12,0.11,0.13,10000,2026-02-19 20:00:00+00:00,0.12,eod,-14.00,-1.17,fixed_risk,500,0.0060,59.90,1198.00
H7,NAMM,2026-02-19 14:46:00+00:00,2.65,2.59,2.74,8333,2026-02-19 14:48:00+00:00,2.74,target,749.97,3.40,fixed_risk,500,0.0600,499.98,22082.45
H7,RLYB,2026-02-19 19:30:00+00:00,4.86,4.80,4.95,8305,2026-02-19 19:45:00+00:00,4.95,target,749.94,1.86,fixed_risk,500,0.0602,499.96,40362.30
H7,EDSA,2026-02-23 14:41:00+00:00,0.84,0.83,0.85,10000,2026-02-23 14:43:00+00:00,0.85,target,150.00,1.79,fixed_risk,500,0.0100,100.00,8378.00
H7,KXIN,2026-02-23 18:13:00+00:00,0.62,0.61,0.64,10000,2026-02-23 18:18:00+00:00,0.61,stop,-113.00,-1.83,fixed_risk,500,0.0113,113.00,6188.00
H7,ELPW,2026-02-24 19:42:00+00:00,0.41,0.40,0.43,10000,2026-02-24 19:44:00+00:00,0.43,target,213.00,5.16,fixed_risk,500,0.0142,142.00,4124.00
H7,ELWT,2026-02-25 15:03:00+00:00,7.34,7.26,7.46,6377,2026-02-25 15:04:00+00:00,7.46,target,749.94,1.60,fixed_risk,500,0.0784,499.96,46812.28
H7,AENT,2026-03-02 19:47:00+00:00,5.49,5.38,5.66,4347,2026-03-02 19:58:00+00:00,5.38,stop,-499.91,-2.09,fixed_risk,500,0.1150,499.91,23865.03
H7,BUUU,2026-03-02 15:16:00+00:00,14.99,14.50,15.73,1020,2026-03-02 15:25:00+00:00,14.50,stop,-499.80,-3.27,fixed_risk,500,0.4900,499.80,15289.80
H7,INDO,2026-03-02 14:51:00+00:00,7.37,7.28,7.50,5555,2026-03-02 14:52:00+00:00,7.50,target,749.92,1.83,fixed_risk,500,0.0900,499.95,40940.35
H7,JFB,2026-03-02 15:08:00+00:00,17.49,16.99,18.24,1000,2026-03-02 15:10:00+00:00,18.24,target,750.00,4.29,fixed_risk,500,0.5000,500.00,17490.00
H7,SBLX,2026-03-03 18:33:00+00:00,2.42,2.37,2.49,10000,2026-03-03 19:07:00+00:00,2.49,target,750.00,3.10,fixed_risk,500,0.0500,500.00,24200.00
H7,TOPS,2026-03-03 18:35:00+00:00,4.58,4.50,4.69,6675,2026-03-03 18:36:00+00:00,4.50,stop,-499.96,-1.64,fixed_risk,500,0.0749,499.96,30570.83
