hypothesis,symbol,entry_time,entry_price,planned_entry,entry_gap,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value,partial_taken,partial_price,partial_shares,partial_pnl
H12,ELAB,2026-02-03 18:27:00+00:00,2.37,2.35,0.0150,2.34,2.42,10000,2026-02-03 18:37:00+00:00,2.34,stop,-300.00,-1.27,fixed_risk,2000,0.0300,300.00,23650.00,False,,0,0.00
H12,GRI,2026-02-04 14:44:00+00:00,2.47,2.47,0.0000,2.39,2.67,10000,2026-02-04 15:43:00+00:00,2.39,stop,-800.00,-3.24,fixed_risk,2000,0.0800,800.00,24700.00,False,,0,0.00
H12,HIND,2026-02-04 15:24:00+00:00,2.23,2.21,0.0250,2.21,2.27,10000,2026-02-04 15:26:00+00:00,2.21,stop,-250.00,-1.12,fixed_risk,2000,0.0250,250.00,22300.00,False,,0,0.00
H12,OPTX,2026-02-04 18:01:00+00:00,7.01,7.00,0.0100,6.90,7.27,10000,2026-02-04 18:49:00+00:00,7.27,target,2650.00,3.78,fixed_risk,2000,0.1100,1100.00,70100.00,False,,0,0.00
H12,NAMM,2026-02-05 14:46:00+00:00,3.54,3.54,0.0000,3.51,3.64,10000,2026-02-05 14:56:00+00:00,3.51,stop,-380.00,-1.07,fixed_risk,2000,0.0380,380.00,35430.00,False,,0,0.00
H12,QCLS,2026-02-06 14:36:00+00:00,3.68,3.68,0.0033,3.63,3.79,10000,2026-02-06 15:30:00+00:00,3.79,target,1134.50,3.08,fixed_risk,2000,0.0467,467.00,36800.00,False,,0,0.00
H12,RVSN,2026-02-06 14:36:00+00:00,4.62,4.60,0.0200,4.59,4.67,10000,2026-02-06 14:37:00+00:00,4.67,target,550.00,1.19,fixed_risk,2000,0.0300,300.00,46200.00,False,,0,0.00
H12,INDO,2026-02-06 15:05:00+00:00,3.45,3.45,0.0002,3.40,3.57,10000,2026-02-06 16:58:00+00:00,3.57,target,1243.00,3.60,fixed_risk,2000,0.0498,498.00,34500.00,False,,0,0.00
H12,BNKK,2026-02-06 15:18:00+00:00,3.77,3.76,0.0100,3.71,3.92,10000,2026-02-06 15:28:00+00:00,3.92,target,1525.00,4.05,fixed_risk,2000,0.0650,650.00,37700.00,False,,0,0.00
H12,HYPD,2026-02-06 18:30:00+00:00,4.30,4.28,0.0200,4.26,4.38,10000,2026-02-06 18:33:00+00:00,4.38,target,800.00,1.86,fixed_risk,2000,0.0400,400.00,43000.00,False,,0,0.00
