symbol,date,split,entry_price_book,pnl,pnl_pct,range_high,range_low,R,entry_bid,entry_ask,mid0,spread0,passive,new_entry,cost_new,terr,qerr,cost_old,delta_cost_share,delta_cost_R,dollar_move,shares,delta_cost_dollar,net_R,ratio
SMST,2025-01-07,TRAIN,4.76425,-2191.252139999997,-4.382851445663005,4.75,4.56,0.1900000000000004,4.75,4.76,4.755,0.0099999999999997,True,4.755,0.0,,,0.00499999999999985,0.00499999999999985,0.026315789473683366,-0.2088099999999997,10494.0,52.46999999999843,-1.0989999999999962,0.026315789473683366
AMPX,2025-01-10,TRAIN,3.35002,5043.700053599998,10.087592074077165,3.34,3.2003,0.1396999999999999,3.33,3.35,3.34,0.02,True,3.34,0.0,,,0.01,0.01,0.07158196134574092,0.33793635199999983,14925.000000000002,149.25000000000003,2.4190146886184687,0.07158196134574092
ARQQ,2025-01-16,TRAIN,23.86137,9002.197091939994,18.00815063007697,23.79,22.12,1.6699999999999982,23.39,23.88,23.635,0.4899999999999984,True,23.635,0.0,,,0.2449999999999992,0.2449999999999992,0.146706586826347,4.296991451999997,2095.0,513.2749999999983,2.5730487736526957,0.146706586826347
PDYN,2025-01-23,TRAIN,10.320869999999998,-2468.172395579996,-4.936908163472921,10.29,9.63,0.6599999999999984,10.28,10.3,10.29,0.0200000000000013,True,10.29,0.0,,,0.01000000000000065,0.01000000000000065,0.015151515151516175,-0.5095318735714276,4844.000000000002,48.440000000003174,-0.7720179902597407,0.015151515151516175
NTRB,2025-01-23,TRAIN,8.49541,-918.38276702858,-1.836931304248849,8.47,7.95,0.5200000000000005,8.34,8.5,8.42,0.1600000000000001,True,8.42,0.0,,,0.08000000000000004,0.08000000000000004,0.1538461538461538,-0.15605484571428713,5885.000000000002,470.8000000000004,-0.300105472527475,0.1538461538461538
NVNI,2025-02-05,TRAIN,6.24869,-2420.639342100001,-4.841688417892393,6.23,5.9521,0.2779000000000007,6.21,6.25,6.23,0.04,True,6.23,0.0,,,0.02,0.02,0.07196833393306927,-0.30254210000000015,8001.0,160.02,-1.0886725440806022,0.07196833393306927
TNXP,2025-02-07,TRAIN,13.9417,3979.471563799994,7.959749259165958,13.9,13.15,0.75,13.88,13.95,13.915,0.0699999999999985,True,13.915,0.0,,,0.03499999999999925,0.03499999999999925,0.04666666666666566,1.1097243624651405,3586.0,125.5099999999973,1.479632483286854,0.04666666666666566
BKSY,2025-02-19,TRAIN,21.01285,-1049.842512782147,-2.100123104943616,20.95,20.09,0.8599999999999994,20.9,20.96,20.93,0.0600000000000022,True,20.93,0.0,,,0.0300000000000011,0.0300000000000011,0.03488372093023386,-0.4412957178571446,2379.0,71.37000000000262,-0.5131345556478429,0.03488372093023386
TUYA,2025-02-20,TRAIN,3.4152149999999994,6573.402660959997,13.147134631348242,3.405,3.26,0.145,3.4,3.41,3.405,0.0100000000000002,True,3.405,0.0,,,0.0050000000000001,0.0050000000000001,0.03448275862069035,0.4490029139999998,14640.0,73.20000000000147,3.096571820689654,0.03448275862069035
REBN,2025-02-20,TRAIN,6.449289999999999,2040.5924239199965,4.0816014911896525,6.43,6.25,0.1799999999999997,6.4,6.45,6.425000000000001,0.0499999999999998,True,6.425000000000001,0.0,,,0.0249999999999999,0.0249999999999999,0.1388888888888886,0.2632343168111451,7751.999999999998,193.7999999999992,1.4624128711730309,0.1388888888888886
CADL,2025-02-26,TRAIN,9.127199699999998,-1610.8891150458862,-3.221855557421722,9.0999,8.8201,0.2797999999999998,9.05,9.12,9.085,0.0699999999999985,True,9.085,0.0,,,0.03499999999999925,0.03499999999999925,0.1250893495353798,-0.2940651907714287,5478.0,191.72999999999587,-1.0509835267027479,0.1250893495353798
PLTU,2025-03-14,TRAIN,28.5855,2578.393639800003,5.157195781077825,28.5,27.34,1.16,28.47,28.54,28.505,0.0700000000000002,False,28.88,0.0199999999999995,,,0.0350000000000001,0.0150000000000006,0.01293103448275914,1.4742102000000017,1749.0,26.235000000001047,1.270870862068967,0.030172413793103536
TSLG,2025-03-24,TRAIN,4.939373799999999,4708.9183764000045,9.418525886823964,4.9246,4.71,0.2145999999999999,4.93,4.94,4.9350000000000005,0.0100000000000006,True,4.9350000000000005,0.0,,,0.0050000000000003,0.0050000000000003,0.023299161230197124,0.46521620000000047,10122.0,50.61000000000304,2.167829450139798,0.023299161230197124
HMR,2025-03-27,TRAIN,3.4459067999999995,1222.6196480388032,2.445402562831944,3.4356,3.26,0.1756000000000002,3.39,3.45,3.42,0.06,True,3.42,0.0,,,0.03,0.03,0.17084282460136654,0.08426629320000022,14509.000000000002,435.27000000000004,0.4798763849658321,0.17084282460136654
