symbol,date,split,bucket,n,median_hs_bps,p75_hs_bps
SMST,2025-01-07,TRAIN,0,418,10.857763300760775,21.598272138228484
SMST,2025-01-07,TRAIN,1,98,10.787486515641627,10.787486515641627
SMST,2025-01-07,TRAIN,2,105,10.787486515641627,10.787486515641627
SMST,2025-01-07,TRAIN,3,237,10.764262648009339,10.787486515641627
SMST,2025-01-07,TRAIN,4,413,21.321961620469576,21.41327623126293
SMST,2025-01-07,TRAIN,5,275,10.695187165775174,21.367521367521864
SMST,2025-01-07,TRAIN,6,282,10.649627263045566,10.649627263045566
SMST,2025-01-07,TRAIN,7,465,10.604453870625436,10.604453870625436
SMST,2025-01-07,TRAIN,8,470,10.582010582011296,10.604453870625436
SMST,2025-01-07,TRAIN,9,145,10.537407797681546,10.537407797681546
SMST,2025-01-07,TRAIN,10,301,10.559662090812868,10.559662090812868
SMST,2025-01-07,TRAIN,11,253,10.582010582011296,10.582010582011296
AMPX,2025-01-10,TRAIN,0,6,45.801526717557635,45.801526717557635
AMPX,2025-01-10,TRAIN,1,28,30.534422316700258,45.801526717557635
AMPX,2025-01-10,TRAIN,2,24,30.581039755351714,30.581039755351714
AMPX,2025-01-10,TRAIN,3,23,15.220700152207352,30.39513677811553
AMPX,2025-01-10,TRAIN,4,22,15.220700152207352,30.39513677811553
AMPX,2025-01-10,TRAIN,5,12,15.220700152207352,19.014309308684396
AMPX,2025-01-10,TRAIN,6,14,22.73876856577904,30.303030303030333
AMPX,2025-01-10,TRAIN,7,22,15.128593040847553,30.211480362537795
AMPX,2025-01-10,TRAIN,8,20,30.211480362537795,30.211480362537795
AMPX,2025-01-10,TRAIN,9,17,30.211480362537795,30.211480362537795
AMPX,2025-01-10,TRAIN,10,4,30.211480362537795,30.211480362537795
AMPX,2025-01-10,TRAIN,11,19,30.211480362537795,45.24886877828092
ARQQ,2025-01-16,TRAIN,0,11,69.98939554612902,94.22340981258719
ARQQ,2025-01-16,TRAIN,2,10,69.98939554612902,141.0539190948978
ARQQ,2025-01-16,TRAIN,3,2,128.23013707855256,153.07541151891166
ARQQ,2025-01-16,TRAIN,4,28,76.3827227128975,82.64462809917367
ARQQ,2025-01-16,TRAIN,5,7,82.64462809917367,84.74576271186486
ARQQ,2025-01-16,TRAIN,6,36,54.27104337139494,85.06529813347973
ARQQ,2025-01-16,TRAIN,7,18,41.49377593360981,60.430040005481075
ARQQ,2025-01-16,TRAIN,8,6,59.98638899111589,80.56186738277155
ARQQ,2025-01-16,TRAIN,9,43,80.56186738277155,122.9508196721307
ARQQ,2025-01-16,TRAIN,10,6,131.41683778234096,134.45519466726012
ARQQ,2025-01-16,TRAIN,11,65,107.17896865520679,123.45679012345708
PDYN,2025-01-23,TRAIN,0,32,15.00000375000062,19.940179461615614
PDYN,2025-01-23,TRAIN,1,35,19.743336623889896,22.33743448466148
PDYN,2025-01-23,TRAIN,2,84,14.655593551538525,19.66568338249712
PDYN,2025-01-23,TRAIN,3,164,19.588638589618473,24.497795198432488
PDYN,2025-01-23,TRAIN,4,203,19.588638589618473,24.4379335015879
PDYN,2025-01-23,TRAIN,5,72,19.59835377669166,20.891768679378853
PDYN,2025-01-23,TRAIN,6,130,14.756517461878683,19.64636542239644
PDYN,2025-01-23,TRAIN,7,332,19.940179461615614,24.912805181863835
PDYN,2025-01-23,TRAIN,8,57,20.020020020019594,24.888003982080992
PDYN,2025-01-23,TRAIN,9,191,14.977533699450504,22.426492321739723
PDYN,2025-01-23,TRAIN,10,31,24.789291026276118,24.850900771045254
PDYN,2025-01-23,TRAIN,11,326,14.814814814815376,19.762845849802826
NTRB,2025-01-23,TRAIN,0,22,77.98440311937658,108.43373493975886
NTRB,2025-01-23,TRAIN,1,2,69.0295605383234,76.58208796146957
NTRB,2025-01-23,TRAIN,2,8,59.880239520957865,59.880239520957865
NTRB,2025-01-23,TRAIN,3,9,47.84688995215315,59.880239520957865
NTRB,2025-01-23,TRAIN,4,6,32.9359492657219,46.357938260045486
NTRB,2025-01-23,TRAIN,5,22,47.84688995215315,75.900951104511
NTRB,2025-01-23,TRAIN,6,72,90.7053950438368,105.54092432673399
NTRB,2025-01-23,TRAIN,7,30,134.4243132670955,146.5855214468201
NTRB,2025-01-23,TRAIN,8,23,93.78663540445497,93.89671361502356
NTRB,2025-01-23,TRAIN,9,21,35.41912632821754,64.28988895382784
NTRB,2025-01-23,TRAIN,10,56,81.49021521114577,99.60368901809866
NTRB,2025-01-23,TRAIN,11,10,20.07049180435736,49.977971771232454
NVNI,2025-02-05,TRAIN,0,1,163.93442622950835,163.93442622950835
NVNI,2025-02-05,TRAIN,1,1,122.44897959183702,122.44897959183702
NVNI,2025-02-05,TRAIN,2,1,81.96721311475454,81.96721311475454
NVNI,2025-02-05,TRAIN,6,1,41.15226337448545,41.15226337448545
NVNI,2025-02-05,TRAIN,8,7,82.64462809917326,107.87700478779958
NVNI,2025-02-05,TRAIN,9,1,82.64462809917326,82.64462809917326
NVNI,2025-02-05,TRAIN,11,1,82.64462809917326,82.64462809917326
TNXP,2025-02-07,TRAIN,0,29,26.505111700113698,30.188679245282376
TNXP,2025-02-07,TRAIN,1,50,45.23181946826617,45.3514739229022
TNXP,2025-02-07,TRAIN,2,112,42.88782076086744,60.53282981291777
TNXP,2025-02-07,TRAIN,3,142,34.64958246054639,51.04872455713868
TNXP,2025-02-07,TRAIN,4,28,107.84644673747825,113.42846688620583
TNXP,2025-02-07,TRAIN,5,15,58.39416058394166,87.84773060029289
TNXP,2025-02-07,TRAIN,6,164,39.468963042698036,47.4972597734749
TNXP,2025-02-07,TRAIN,7,166,41.66666666666701,59.37827453719871
TNXP,2025-02-07,TRAIN,8,142,31.152647975077834,34.34065934065922
TNXP,2025-02-07,TRAIN,9,124,20.82616477609541,31.039970467761844
TNXP,2025-02-07,TRAIN,10,24,24.604569420035247,26.339862396256706
TNXP,2025-02-07,TRAIN,11,237,30.91721058055646,40.08016032064103
BKSY,2025-02-19,TRAIN,0,117,29.097963142580262,41.2321125394126
BKSY,2025-02-19,TRAIN,1,35,24.096385542169013,33.783783783783925
BKSY,2025-02-19,TRAIN,2,9,26.47412755715991,31.302672766674455
BKSY,2025-02-19,TRAIN,3,57,14.360938247966079,31.0633213859018
