cell,split,green,null_mean,p5,p95,verdict
F18-base  mixed $20 [=B2],TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
F18-base  mixed $20 [=B2],VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
F18-p1  WRAPPERS ONLY $20,TRAIN,41.509433962264154,39.345283018867924,32.075471698113205,45.28301886792453,inside
F18-p1  WRAPPERS ONLY $20,VAL,43.47826086956522,56.99347826086956,47.82608695652174,65.21739130434783,below
F18-p2  COMMON ONLY $20,TRAIN,28.30188679245283,29.93962264150943,22.641509433962266,35.84905660377358,inside
F18-p2  COMMON ONLY $20,VAL,30.434782608695656,26.66304347826087,17.391304347826086,34.78260869565217,inside
F18-f5  mixed floor $5,TRAIN,26.41509433962264,29.654716981132076,22.641509433962266,35.84905660377358,inside
F18-f5  mixed floor $5,VAL,39.130434782608695,36.29130434782609,26.08695652173913,47.82608695652174,inside
F18-f10  mixed floor $10,TRAIN,33.9622641509434,26.850943396226416,20.754716981132077,33.9622641509434,inside
F18-f10  mixed floor $10,VAL,43.47826086956522,36.789130434782614,26.08695652173913,47.82608695652174,inside
F18-f30  mixed floor $30,TRAIN,33.9622641509434,36.880188679245286,30.18867924528302,43.39622641509434,inside
F18-f30  mixed floor $30,VAL,52.17391304347826,39.80652173913044,30.434782608695656,47.82608695652174,ABOVE
F18-f50  mixed floor $50,TRAIN,39.62264150943396,40.33301886792453,33.9622641509434,47.16981132075472,inside
F18-f50  mixed floor $50,VAL,47.82608695652174,37.36086956521739,26.08695652173913,47.82608695652174,inside
F18-w5  WRAPPERS floor $5,TRAIN,33.9622641509434,35.84811320754717,28.30188679245283,43.39622641509434,inside
F18-w5  WRAPPERS floor $5,VAL,52.17391304347826,50.060869565217395,39.130434782608695,60.86956521739131,inside
F18-w10  WRAPPERS floor $10,TRAIN,35.84905660377358,35.734905660377365,28.30188679245283,41.509433962264154,inside
F18-w10  WRAPPERS floor $10,VAL,47.82608695652174,53.36739130434783,43.47826086956522,65.21739130434783,inside
F18-w30  WRAPPERS floor $30,TRAIN,39.62264150943396,42.68773584905661,35.84905660377358,49.056603773584904,inside
F18-w30  WRAPPERS floor $30,VAL,56.52173913043478,54.85,43.47826086956522,65.21739130434783,inside
F18-w50  WRAPPERS floor $50,TRAIN,41.509433962264154,38.08962264150943,30.18867924528302,45.28301886792453,inside
F18-w50  WRAPPERS floor $50,VAL,43.47826086956522,49.62826086956522,39.130434782608695,60.86956521739131,inside
F18-s08  spread <= 8% of R,TRAIN,26.41509433962264,32.159433962264146,24.528301886792452,39.62264150943396,inside
F18-s08  spread <= 8% of R,VAL,47.82608695652174,48.036956521739135,39.130434782608695,56.52173913043478,inside
F18-s25  spread <= 25% of R,TRAIN,35.84905660377358,32.14622641509434,26.41509433962264,39.62264150943396,inside
F18-s25  spread <= 25% of R,VAL,30.434782608695656,32.95652173913044,21.73913043478261,43.47826086956522,inside
F18-s40  spread <= 40% of R,TRAIN,30.18867924528302,20.96509433962264,15.09433962264151,28.30188679245283,ABOVE
F18-s40  spread <= 40% of R,VAL,30.434782608695656,31.043478260869566,21.73913043478261,39.130434782608695,inside
F18-soff  both spread gates OFF,TRAIN,26.41509433962264,19.4688679245283,13.20754716981132,26.41509433962264,inside
F18-soff  both spread gates OFF,VAL,26.08695652173913,20.44782608695652,13.043478260869565,30.434782608695656,inside
