cell,split,green,null_mean,p5,p95,verdict
F18-base  mixed $20 [=B2],TRAIN,41.509433962264154,35.83018867924529,28.30188679245283,43.39622641509434,inside
F18-base  mixed $20 [=B2],VAL,56.52173913043478,53.11086956521739,43.47826086956522,61.08695652173894,inside
F18-p1  WRAPPERS ONLY $20,TRAIN,35.84905660377358,39.279245283018874,32.075471698113205,45.28301886792453,inside
F18-p1  WRAPPERS ONLY $20,VAL,52.17391304347826,59.00869565217391,47.82608695652174,69.56521739130434,inside
F18-p2  COMMON ONLY $20,TRAIN,35.84905660377358,36.73113207547169,30.18867924528302,43.39622641509434,inside
F18-p2  COMMON ONLY $20,VAL,43.47826086956522,39.80652173913043,30.434782608695656,47.82608695652174,inside
F18-f5  mixed floor $5,TRAIN,32.075471698113205,30.35566037735849,24.528301886792452,37.735849056603776,inside
F18-f5  mixed floor $5,VAL,34.78260869565217,29.167391304347827,17.391304347826086,39.130434782608695,inside
F18-f10  mixed floor $10,TRAIN,33.9622641509434,31.570754716981135,24.528301886792452,37.735849056603776,inside
F18-f10  mixed floor $10,VAL,52.17391304347826,43.75869565217392,34.78260869565217,52.17391304347826,inside
F18-f30  mixed floor $30,TRAIN,41.509433962264154,39.712264150943405,33.86792452830189,47.16981132075472,inside
F18-f30  mixed floor $30,VAL,56.52173913043478,52.42173913043479,43.47826086956522,65.21739130434783,inside
F18-f50  mixed floor $50,TRAIN,37.735849056603776,41.857547169811326,35.84905660377358,49.056603773584904,inside
F18-f50  mixed floor $50,VAL,47.82608695652174,44.221739130434784,34.78260869565217,52.17391304347826,inside
F18-w5  WRAPPERS floor $5,TRAIN,30.18867924528302,36.261320754716984,28.30188679245283,43.39622641509434,inside
F18-w5  WRAPPERS floor $5,VAL,52.17391304347826,55.24782608695652,43.47826086956522,65.21739130434783,inside
F18-w10  WRAPPERS floor $10,TRAIN,33.9622641509434,38.505660377358495,32.075471698113205,45.28301886792453,inside
F18-w10  WRAPPERS floor $10,VAL,56.52173913043478,59.3695652173913,47.82608695652174,69.56521739130434,inside
F18-w30  WRAPPERS floor $30,TRAIN,45.28301886792453,42.315094339622654,35.84905660377358,49.056603773584904,inside
F18-w30  WRAPPERS floor $30,VAL,39.130434782608695,55.27173913043478,43.47826086956522,65.21739130434783,below
F18-w50  WRAPPERS floor $50,TRAIN,33.9622641509434,35.513207547169806,28.30188679245283,41.509433962264154,inside
F18-w50  WRAPPERS floor $50,VAL,34.78260869565217,46.7804347826087,34.78260869565217,56.52173913043478,inside
F18-s08  spread <= 8% of R,TRAIN,32.075471698113205,33.571698113207546,26.41509433962264,39.62264150943396,inside
F18-s08  spread <= 8% of R,VAL,47.82608695652174,56.28695652173913,47.82608695652174,65.21739130434783,inside
F18-s25  spread <= 25% of R,TRAIN,37.735849056603776,29.84433962264151,22.641509433962266,35.84905660377358,ABOVE
F18-s25  spread <= 25% of R,VAL,43.47826086956522,36.786956521739135,26.08695652173913,47.82608695652174,inside
F18-s40  spread <= 40% of R,TRAIN,32.075471698113205,21.828301886792456,15.09433962264151,28.30188679245283,ABOVE
F18-s40  spread <= 40% of R,VAL,34.78260869565217,32.19782608695652,21.73913043478261,43.47826086956522,inside
F18-soff  both spread gates OFF,TRAIN,30.18867924528302,16.77075471698113,11.320754716981133,22.641509433962266,ABOVE
F18-soff  both spread gates OFF,VAL,26.08695652173913,20.61304347826087,13.043478260869565,30.434782608695656,inside
