n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,note,cost,mde,h1,h2,vgross,half_ok
1668,31.471698113207548,-0.07570374270012835,-0.07617819613445385,-0.017182218985502137,-2.3876443348856826,41.509433962264154,1.8867924528301887,5,-2409.419275218666,1588.7665487984018,-12627.384282381408,-15116.080298290613,-238.2525336298379,8.333333333333332,-0.18494015371103958,0.4796163069544364,F18-base  mixed $20 [=B2],TRAIN,-1.9867902172561052,,0.058521523714626204,0.08877807991051072,-0.04142571316298077,0.005815114276311704,0.09720118566340451,False
720,31.304347826086957,0.0337123962302311,0.03351561689930863,0.09720118566340451,0.7199840242513945,56.52173913043478,4.3478260869565215,3,-1589.5424522807964,1908.527803235461,2427.2925285766396,-3899.1123412343627,105.53445776420172,60.0,-0.06890314381574536,0.2777777777777778,F18-base  mixed $20 [=B2],VAL,0.611690558467465,,0.0634887894331734,0.13110667218316996,-0.04142571316298077,0.005815114276311704,0.09720118566340451,False
1141,21.528301886792452,-0.06788495558703364,-0.06788495558703364,-0.00866208518670956,-1.6962016924013712,35.84905660377358,1.8867924528301887,5,-1501.4981644800228,1891.8418066886982,-7745.673432480536,-10097.679086652246,-146.14478174491578,25.0,-0.17590648897110067,0.0,F18-p1  WRAPPERS ONLY $20,TRAIN,-1.3131552241809235,,0.05922287040032407,0.11206089257852019,-0.09549548827607017,0.07186416193501168,0.14414899612596685,False
613,26.652173913043477,0.07838651102875538,0.07838651102875538,0.14414899612596685,1.4297553096842777,52.17391304347826,4.3478260869565215,4,-1098.3551422083228,2331.958663898546,4805.093126062704,-4368.148075621444,208.91709243750887,40.0,-0.023153361202786608,0.0,F18-p1  WRAPPERS ONLY $20,VAL,1.147609658244347,,0.06576248509721147,0.15351034501769514,-0.09549548827607017,0.07186416193501168,0.14414899612596685,False
1299,24.50943396226415,-0.07696701803007958,-0.07793748110167767,-0.01870114910245219,-2.1808042703086605,35.84905660377358,1.8867924528301887,9,-1552.7222097300757,1817.2848372226388,-9998.015642107335,-14554.634308059416,-188.64180456806292,25.0,-0.18552650386669498,1.0007698229407236,F18-p2  COMMON ONLY $20,TRAIN,-1.8801328543481084,,0.058265868927627376,0.09882026251430664,0.022068292650479132,-0.053158276720341575,0.017096175728474623,False
646,28.08695652173913,-0.04424058885570981,-0.04483329285993386,0.017096175728474623,-0.9133569606664808,43.47826086956522,4.3478260869565215,6,-1867.0711317122743,1554.1723062805743,-2857.942040078854,-4368.563014341278,-124.25834956864583,20.0,-0.15331672650275258,0.7739938080495357,F18-p2  COMMON ONLY $20,VAL,-0.7938095781813488,,0.06133676458418443,0.13562457410473588,0.022068292650479132,-0.053158276720341575,0.017096175728474623,False
1895,35.75471698113208,-0.10002255783273094,-0.1189591072342852,-0.039318399594554805,-3.5137850256789114,32.075471698113205,1.8867924528301887,8,-2713.5840654367435,1920.697688210269,-18954.274709302514,-19478.47520694549,-357.62782470382103,16.666666666666664,-0.20986599579367748,23.905013192612138,F18-f5  mixed floor $5,TRAIN,-3.2382996006159197,,0.06070415823817612,0.07970412529079936,-0.06422952881527673,-0.016594221173230277,-0.0352063065094123,False
778,33.82608695652174,-0.10048852088907567,-0.11941755402251632,-0.0352063065094123,-2.3348427968578447,34.78260869565217,4.3478260869565215,3,-2450.6823318651604,1187.2334772775857,-7818.006925170088,-8603.274557217539,-339.9133445726125,20.0,-0.21025371434835302,22.750642673521853,F18-f5  mixed floor $5,VAL,-1.949072368141723,,0.06528221437966338,0.12050826670989051,-0.06422952881527673,-0.016594221173230277,-0.0352063065094123,False
1839,34.698113207547166,-0.09602149948894097,-0.10995534113207561,-0.03615634743278652,-3.2616692216173147,33.9622641509434,1.8867924528301887,8,-2436.019887235347,1682.5012370367429,-17658.35375601624,-18669.96414072401,-333.17648596257055,16.666666666666664,-0.20543285434690217,12.996193583469276,F18-f10  mixed floor $10,TRAIN,-2.804969518108403,,0.059865152056154426,0.08243024669304727,-0.056095112067778105,-0.01786008791371188,0.047068936489154396,False
745,32.391304347826086,-0.018231009714889165,-0.031580971724290696,0.047068936489154396,-0.4030022199626083,52.17391304347826,4.3478260869565215,3,-1662.0114227029724,1426.6966315830584,-1358.2102237592426,-5521.214165042502,-59.05261842431489,20.0,-0.12572266744856628,13.825503355704699,F18-f10  mixed floor $10,VAL,-0.31748145976924985,,0.06529994620404357,0.12666636726325212,-0.056095112067778105,-0.01786008791371188,0.047068936489154396,False
1411,26.62264150943396,-0.055850807675676184,-0.05599142983048881,0.0032372408000993645,-1.6062109787950627,41.509433962264154,1.8867924528301887,5,-1627.3018765174766,1231.1521669269202,-7880.548963037911,-9447.962580012863,-148.68960307618698,25.0,-0.1639670581519631,0.14174344436569808,F18-f30  mixed floor $30,TRAIN,-1.3676010074549418,,0.059088048475775555,0.09736097160113248,-0.026223068520974592,0.030409760432752043,0.09625699876115988,False
696,30.26086956521739,0.030788372550152442,0.030382889737945465,0.09625699876115988,0.6344954112491447,56.52173913043478,4.3478260869565215,3,-1482.6918116018935,1947.6849085268732,2142.8707294906103,-3764.9258112023776,93.16829258654828,60.0,-0.07262745061902458,0.28735632183908044,F18-f30  mixed floor $30,VAL,0.5577655820566534,,0.06546862621100744,0.13586771726324764,-0.026223068520974592,0.030409760432752043,0.09625699876115988,False
991,18.69811320754717,-0.048406100073197754,-0.04851172273478225,0.012580866449234705,-1.1677159462644784,37.735849056603776,1.8867924528301887,5,-1572.1689636831795,1410.3276083335197,-4797.0445172538975,-8397.734904295501,-90.51027391045089,33.33333333333333,-0.156312887254637,0.10090817356205853,F18-f50  mixed floor $50,TRAIN,-1.0116431476937835,,0.06098696652243246,0.11607024862385124,-0.08791705969257015,0.08742351214990983,0.04625416526254799,False
