cell,split,green,null_mean,p5,p95,verdict
F16-base  B2 (reference),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
F16-base  B2 (reference),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
"F16-a1  1/anchor, 4 slots",TRAIN,33.9622641509434,29.47924528301887,22.641509433962266,35.84905660377358,inside
"F16-a1  1/anchor, 4 slots",VAL,47.82608695652174,46.88478260869566,34.78260869565217,56.52173913043478,inside
"F16-a2  2/anchor, 4 slots",TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
"F16-a2  2/anchor, 4 slots",VAL,43.47826086956522,49.59565217391304,39.130434782608695,60.86956521739131,inside
"F16-a1n 1/anchor, 4 slots, NO REFILL",TRAIN,33.9622641509434,29.347169811320754,22.641509433962266,35.84905660377358,inside
"F16-a1n 1/anchor, 4 slots, NO REFILL",VAL,47.82608695652174,47.76956521739131,39.130434782608695,56.52173913043478,inside
"F16-a6  1/anchor, 6 slots",TRAIN,26.41509433962264,26.775471698113208,20.754716981132077,33.9622641509434,inside
"F16-a6  1/anchor, 6 slots",VAL,52.17391304347826,44.72173913043479,34.78260869565217,52.39130434782589,inside
"F16-a8  1/anchor, 8 slots",TRAIN,30.18867924528302,26.7311320754717,20.754716981132077,33.9622641509434,inside
"F16-a8  1/anchor, 8 slots",VAL,30.434782608695656,39.7,30.434782608695656,47.82608695652174,inside
"F16-v2  2/venue, 4 slots",TRAIN,37.735849056603776,32.597169811320754,26.41509433962264,39.62264150943396,inside
"F16-v2  2/venue, 4 slots",VAL,39.130434782608695,43.55217391304349,34.78260869565217,52.17391304347826,inside
"F16-b2  2/ADV$ bucket, 4 slots",TRAIN,33.9622641509434,28.57169811320755,22.547169811320764,35.84905660377358,inside
"F16-b2  2/ADV$ bucket, 4 slots",VAL,47.82608695652174,47.30652173913043,39.130434782608695,56.52173913043478,inside
F16-m1  CONCENTRATED (causal sibling),TRAIN,39.62264150943396,40.61320754716981,33.9622641509434,47.16981132075472,inside
F16-m1  CONCENTRATED (causal sibling),VAL,52.17391304347826,53.482608695652175,43.47826086956522,65.21739130434783,inside
F16-m2  CONCENTRATED x 1/anchor,TRAIN,35.84905660377358,36.87641509433962,30.18867924528302,43.39622641509434,inside
F16-m2  CONCENTRATED x 1/anchor,VAL,47.82608695652174,47.51086956521739,39.130434782608695,56.52173913043478,inside
