floor,frac_r,bps,pre,booked,imp_pre,imp_book,book_unmeasured
5.0,0.15,100.0,15897,2726,75.46706925835063,82.1716801173881,2240
5.0,0.08,100.0,5824,2305,64.32005494505495,70.80260303687635,1632
5.0,0.25,100.0,25008,2940,77.48320537428023,85.37414965986395,2510
5.0,0.4,100.0,30340,3089,77.45550428477259,85.17319520880544,2631
5.0,,,31976,3120,74.41831373530148,83.42948717948718,2603
10.0,0.15,100.0,11045,2597,64.68990493435945,73.23835194455141,1902
10.0,0.08,100.0,4177,2087,50.251376586066556,50.742692860565406,1059
10.0,0.25,100.0,16969,2807,66.81595851258176,76.52297826861418,2148
10.0,0.4,100.0,20599,3018,66.79450458760134,75.57985420808483,2281
10.0,,,22235,3040,63.21115358668765,73.65131578947368,2239
20.0,0.15,100.0,7027,2328,44.49978653764053,51.546391752577314,1200
20.0,0.08,100.0,3223,1800,35.52590753955941,31.222222222222225,562
20.0,0.25,100.0,10116,2608,44.33570581257414,53.94938650306749,1407
20.0,0.4,100.0,11899,2815,42.51617783006975,52.39786856127886,1475
20.0,,,13299,2881,38.49161591097075,50.01735508503992,1441
30.0,0.15,100.0,4827,2025,44.251087632069606,48.24691358024691,977
30.0,0.08,100.0,2116,1326,36.0586011342155,28.054298642533936,372
30.0,0.25,100.0,7094,2346,44.530589230335494,51.9607843137255,1219
30.0,0.4,100.0,8414,2571,42.84525790349418,51.06962271489692,1313
30.0,,,9397,2663,38.93795892306055,48.14119414194518,1282
50.0,0.15,100.0,2804,1489,46.433666191155496,45.26527871054399,674
50.0,0.08,100.0,1170,801,38.034188034188034,28.33957553058677,227
50.0,0.25,100.0,4144,1889,46.62162162162162,50.23822128110111,949
50.0,0.4,100.0,4956,2095,45.096852300242126,50.64439140811455,1061
50.0,,,5555,2228,40.84608460846085,47.35188509874327,1055
