n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,note,cost,mde,h1,h2,vgross,half_ok
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,F18-base  mixed $20 [=B2],TRAIN,-2.9931691681122707,,0.06798002849533383,0.08766022312870501,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,F18-base  mixed $20 [=B2],VAL,0.26162959495333094,,0.07006955092013452,0.13226736123718896,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False
1083,20.433962264150942,-0.06864471860439367,-0.08890497400541264,-0.004765133738677102,-1.659598696352445,41.509433962264154,1.8867924528301887,5,-1696.7596788424908,1893.3320609458815,-7434.223024855835,-9845.893341666244,-140.26835895954406,25.0,-0.17853264754080359,32.2253000923361,F18-p1  WRAPPERS ONLY $20,TRAIN,-1.3113668190222219,,0.06387958486571658,0.11581427035026068,-0.11713529633667928,0.09053857071730768,0.13450676486846186,False
594,25.82608695652174,0.0666324145755427,0.0355542247530104,0.13450676486846186,1.2231500663133925,43.47826086956522,4.3478260869565215,6,-976.6967146596228,1896.8897006445611,3957.9654257872367,-4082.369127485471,172.08545329509724,40.0,-0.03524046718938417,49.66329966329967,F18-p1  WRAPPERS ONLY $20,VAL,0.9786414708946077,,0.06787435029291916,0.15253300960351404,-0.11713529633667928,0.09053857071730768,0.13450676486846186,False
1276,24.07547169811321,-0.12247275781106332,-0.15985523823798528,-0.05279926058362062,-3.6101034200059807,28.30188679245283,1.8867924528301887,7,-1717.8140123547023,2203.9118432906935,-15627.52389669168,-17227.39777972924,-294.85894144701285,33.33333333333333,-0.2334734990827215,53.29153605015674,F18-p2  COMMON ONLY $20,TRAIN,-3.116277344206014,,0.0696734972274427,0.09498999944727599,-0.060465136003081,-0.04603791323725288,-0.05512231755406005,False
650,28.26086956521739,-0.1266795590015056,-0.1656839734214436,-0.05512231755406005,-2.681198181595017,30.434782608695656,4.3478260869565215,11,-1814.3398230509104,636.8998173992921,-8234.171335097864,-9133.91360692962,-358.00744935208104,0.0,-0.23918911000492354,53.53846153846153,F18-p2  COMMON ONLY $20,VAL,-2.6377612539691464,,0.07155724144744552,0.13229263231605157,-0.060465136003081,-0.04603791323725288,-0.05512231755406005,False
1933,36.471698113207545,-0.10280971798333921,-0.1609363204399952,-0.032251170903852266,-3.644461611584063,26.41509433962264,1.8867924528301887,10,-2347.8083579056206,1303.164631408606,-19873.118486179475,-19873.118486179475,-374.9644997392354,8.333333333333332,-0.2127146798935808,81.99689601655457,F18-f5  mixed floor $5,TRAIN,-3.540665567104064,,0.07055854707948697,0.07898758198971081,-0.036071948770220234,-0.028410575724899405,0.012735530839344122,False
793,34.47826086956522,-0.05858232658887021,-0.11900911283197207,0.012735530839344122,-1.3525986517475515,39.130434782608695,4.3478260869565215,3,-1685.5413277441526,1859.1499958607671,-4645.578498497409,-6664.071482770913,-201.98167384771344,40.0,-0.16656254601154444,82.59773013871374,F18-f5  mixed floor $5,VAL,-1.2617572574986977,,0.07131785742821435,0.12127064760630203,-0.036071948770220234,-0.028410575724899405,0.012735530839344122,False
1854,34.9811320754717,-0.1238116994675163,-0.17717233027212442,-0.051171180773028485,-4.310833556324648,33.9622641509434,1.8867924528301887,5,-2108.3914200195622,1373.6255111075054,-22954.68908127752,-23004.863142647948,-433.10734115617964,16.666666666666664,-0.23477232983799784,71.4670981661273,F18-f10  mixed floor $10,TRAIN,-3.991957778487338,,0.0726405186944878,0.08041896166471656,-0.08077769049207423,-0.023240511226758895,0.017675745223325382,False
743,32.30434782608695,-0.05667318889890955,-0.11368092505739939,0.017675745223325382,-1.2749555943731463,43.47826086956522,4.3478260869565215,4,-1914.230493458604,1301.8471800283535,-4210.817935188979,-5975.5070807262455,-183.0790406603904,40.0,-0.16595746706542003,77.65814266487214,F18-f10  mixed floor $10,VAL,-1.2117504673736488,,0.07434893412223494,0.1244631025717934,-0.08077769049207423,-0.023240511226758895,0.017675745223325382,False
