population,train_n,train_gross,train_net,val_n,val_gross,val_net,h1,h2,era_ok
mixed  $20 (B2 population),4575,-0.0017301371897788932,-0.06710048892706359,2452,0.015292233639286305,-0.05342712237670094,-0.019771594089239907,0.02145700996422368,False
mixed  $5,10276,-0.012128201495623676,-0.08343255989508755,5621,0.0009327064479848822,-0.07370574881869521,0.00610088723424331,-0.03205802818399119,False
mixed  $10,7083,-0.005591236707871531,-0.07602848310764464,3962,-0.0006620134682963838,-0.0745279683234328,0.0016187843625088084,-0.013837807417607421,False
mixed  $30,3146,0.0030932526208274393,-0.0631646531318188,1681,0.018326150567919853,-0.05215114177702463,-0.027027600348267226,0.04454355028675677,False
mixed  $50,1791,0.03273171175355762,-0.03486864563277491,1013,0.018941530340555943,-0.052299906595904194,0.016539665048821758,0.055518100059819046,True
WRAP   $20,1767,0.025060137713787664,-0.03841600568831138,945,0.10743882523133101,0.039083365987697224,-0.031099533717107584,0.09217268916288242,False
COMMON $20,2783,-0.02174418913869271,-0.08831535744284656,1500,-0.0436187404859392,-0.11261122970088913,-0.012619888681024757,-0.03397643045872864,False
WRAP   $5,2403,0.02338429252722074,-0.044782925042690734,1774,0.11022287257956684,0.03714920654631123,-0.02393512926429257,0.07113892639206737,False
COMMON $5,7765,-0.02556749497752688,-0.0979031152309516,3814,-0.04829758249245203,-0.12370139522041612,0.015456967420596731,-0.07139007470629254,False
WRAP   $10,2192,0.02454233700673603,-0.04273966892728055,1409,0.1120745438811256,0.03996568738779538,-0.01263792664027722,0.06303443911111839,False
COMMON $10,4833,-0.02302538764195697,-0.09499120210372146,2536,-0.06242958078538295,-0.1372925127637728,0.007206838576874574,-0.0591776908713821,False
WRAP   $30,1267,0.03152263967428723,-0.034968359090503595,630,0.0798100211168871,0.008931095242341803,-0.042677310966179396,0.12283560709979104,False
WRAP   $50,668,0.016569053475737776,-0.05280977945045608,310,0.04987199060074638,-0.02315629181339726,-0.07466543569772795,0.12515305206579702,False
mixed  $20 gates OFF,8219,0.005172004817075916,-0.1422785364026086,5080,-0.031834673210635586,-0.2074015021255955,0.0035743398763997372,0.006920723196332831,False
mixed  $20 frac_r 0.08,2194,-0.04559468088152184,-0.08762175851590424,1029,0.012729790333597382,-0.02820493282550246,-0.10522183406921336,0.04707382843811512,False
mixed  $20 frac_r 0.25,6365,0.005467011949541291,-0.08415107803860358,3751,-0.001096531105557423,-0.0987999431523973,0.005702227396109518,0.005196946829991772,False
mixed  $20 frac_r 0.40,7438,8.64078667859263e-05,-0.11178439571192933,4461,-0.014525486175097631,-0.13519575424390654,-0.00045709597869976595,0.0006894104316016015,False
