day,symbol,entry_m
2025-01-31,ALGS,588
2025-01-31,ASTS,584
2025-01-31,CLS,582
2025-01-31,GNTX,583
2025-01-31,LAZR,577
2025-01-31,MBI,770
2025-01-31,NVDG,661
2025-01-31,PLTU,584
2025-01-31,PTIR,584
2025-01-31,RCAT,578
2025-01-31,RDW,578
2025-01-31,SKYW,578
2025-01-31,TBBK,580
2025-01-31,TSLL,585
2025-01-31,TSLR,585
2025-01-31,TSLT,585
2025-01-31,TSSI,767
2025-02-03,APTV,629
2025-02-03,ASTS,579
2025-02-03,BABA,627
2025-02-03,BABX,577
2025-02-03,BYRN,578
2025-02-03,CLS,578
2025-02-03,ETH,643
2025-02-03,ETHA,626
2025-02-03,ETHE,626
2025-02-03,FBL,579
2025-02-03,FETH,643
2025-02-03,GDS,577
2025-02-03,GM,630
2025-02-03,HIMS,580
2025-02-03,IPI,600
2025-02-03,MP,580
2025-02-03,MSTU,579
2025-02-03,MSTY,628
2025-02-03,NBIS,625
2025-02-03,RBC,833
2025-02-03,SMR,583
2025-02-03,SVIX,637
2025-02-03,TEM,582
2025-02-03,TLN,577
2025-02-03,TWST,588
2025-02-03,URTY,642
2025-02-03,ZSPC,577
2025-02-04,AAOI,606
2025-02-04,ATKR,577
2025-02-04,AVAV,599
2025-02-04,DAVE,577
2025-02-04,EHTH,765
2025-02-04,GPCR,618
2025-02-04,HIPO,581
2025-02-04,PAGS,585
2025-02-04,PJT,593
2025-02-04,PLTU,588
2025-02-04,PNR,577
2025-02-04,PTIR,588
2025-02-04,RGTIW,578
2025-02-04,SMCX,598
2025-02-04,USAU,756
2025-02-04,VKTX,618
2025-02-05,ACB,577
2025-02-05,AVNW,644
2025-02-05,BBAI,577
2025-02-05,DUOL,577
2025-02-05,FICO,584
2025-02-05,GDXU,591
2025-02-05,KE,580
2025-02-05,KGEI,709
2025-02-05,LTBR,659
2025-02-05,NGNE,579
2025-02-05,OKLO,646
2025-02-05,OSCR,609
2025-02-05,SMCI,624
2025-02-05,SMCX,619
2025-02-05,TEM,577
2025-02-05,UNM,581
2025-02-05,WGS,592
2025-02-06,ACB,577
2025-02-06,AMSC,577
2025-02-06,CPAY,580
2025-02-06,DAVE,578
2025-02-06,FORM,606
2025-02-06,GRRR,577
2025-02-06,HLT,581
2025-02-06,LLYX,577
2025-02-06,MOH,628
2025-02-06,MSTZ,584
2025-02-06,MTSI,621
2025-02-06,PLTU,583
2025-02-06,RBLX,580
2025-02-06,SMCI,598
2025-02-06,SMST,584
2025-02-06,SWKS,609
2025-02-06,TRI,583
2025-02-07,AISP,751
2025-02-07,AMSC,577
2025-02-07,AOSL,597
2025-02-07,BYRN,625
2025-02-07,CLFD,585
2025-02-07,CRNC,694
2025-02-07,DGNX,579
2025-02-07,DOCS,579
2025-02-07,ELF,590
2025-02-07,HIMS,583
2025-02-07,LEU,583
2025-02-07,LFMD,620
2025-02-07,LTBR,577
2025-02-07,NET,594
2025-02-07,NNE,578
2025-02-07,PGY,577
2025-02-07,SERV,577
2025-02-07,SITM,589
2025-02-07,SMCI,588
2025-02-07,SMCX,578
2025-02-07,TTWO,591
2025-02-07,UBER,626
2025-02-07,UBRL,584
2025-02-07,UPST,579
2025-02-07,UVXY,663
2025-02-07,VCTR,582
2025-02-07,VSAT,577
2025-02-10,ASTS,584
2025-02-10,AXSM,641
2025-02-10,BYRN,577
2025-02-10,CENX,589
2025-02-10,GRRR,580
2025-02-10,LAZR,589
2025-02-10,LEU,590
2025-02-10,MNDY,584
2025-02-10,NVDL,580
2025-02-10,NVDU,580
2025-02-10,OPRT,578
2025-02-10,PAHC,700
2025-02-10,PDYN,577
2025-02-10,SMCL,636
2025-02-11,ALAB,578
2025-02-11,CENX,577
2025-02-11,CTLP,770
2025-02-11,DNA,577
2025-02-11,GDS,578
2025-02-11,IIIN,581
2025-02-11,SMCL,587
2025-02-11,SMCX,594
2025-02-11,TEM,577
2025-02-12,ALSN,583
2025-02-12,ATEX,582
2025-02-12,BCYC,712
2025-02-12,CHEF,583
2025-02-12,CRSP,587
2025-02-12,CVS,632
2025-02-12,EH,577
2025-02-12,GNLX,578
2025-02-12,LNSR,642
2025-02-12,LYFT,579
2025-02-12,PCLA,833
2025-02-12,SEZL,585
