,ORB_50K,BF_500,IGN_500,TOTAL
2025-01,1141.0,414.0,-2643.0,-1087.0
2025-02,3168.0,-198.0,4675.0,7645.0
2025-03,91.0,12744.0,3516.0,16350.0
2025-04,1872.0,11385.0,6141.0,19398.0
2025-05,4476.0,4016.0,11776.0,20268.0
2025-06,1460.0,-2687.0,641.0,-586.0
2025-07,0.0,1650.0,-409.0,1241.0
2025-08,422.0,-2239.0,-908.0,-2725.0
2025-09,-889.0,934.0,10351.0,10396.0
2025-10,5576.0,1050.0,-1068.0,5558.0
2025-11,157.0,2048.0,1023.0,3228.0
2025-12,409.0,1252.0,3105.0,4767.0
2026-01,-924.0,8641.0,8518.0,16235.0
2026-02,4032.0,-4167.0,4723.0,4588.0
2026-03,10809.0,20910.0,-2965.0,28754.0
2026-04,2053.0,158.0,19688.0,21899.0
2026-05,-992.0,1017.0,13713.0,13739.0
2026-06,897.0,-4442.0,-8870.0,-12414.0
2026-07,1505.0,-5948.0,-10684.0,-15127.0
2026-08,-937.0,468.0,2786.0,2316.0
