,0
2016-01-31,0.0
2016-02-29,0.0
2016-03-31,0.0
2016-04-30,0.0
2016-05-31,0.0
2016-06-30,0.0
2016-07-31,0.0
2016-08-31,0.0
2016-09-30,0.0
2016-10-31,0.0
2016-11-30,0.0
2016-12-31,0.0
2017-01-31,0.0
2017-02-28,0.0
2017-03-31,0.0
2017-04-30,0.0
2017-05-31,0.0
2017-06-30,0.0
2017-07-31,-0.01826429169137933
2017-08-31,-0.1009768781178112
2017-09-30,0.005335644620672042
2017-10-31,0.0210646363471938
2017-11-30,-0.010093986421458645
2017-12-31,0.04745323308285787
2018-01-31,0.04967637215543386
2018-02-28,-0.027021003787323528
2018-03-31,0.03119837319485641
2018-04-30,-0.015319228592422518
2018-05-31,0.025741104036898443
2018-06-30,-0.005475716555644716
2018-07-31,0.10566643228534933
2018-08-31,0.060442932909797076
2018-09-30,-0.08293284158503578
2018-10-31,-0.12230117431137322
2018-11-30,-0.0015608272396144818
2018-12-31,-0.1127802870970559
2019-01-31,0.12493844547412891
2019-02-28,0.0645509807421587
2019-03-31,0.042039774438076494
2019-04-30,0.022554119203336054
2019-05-31,-0.10859681985760683
2019-06-30,0.07635481485995865
2019-07-31,0.052578318770222454
2019-08-31,-0.019383715968066317
2019-09-30,0.08763163683627484
2019-10-31,-0.003469011994265747
2019-11-30,0.053987368458009
2019-12-31,0.028843308811164592
2020-01-31,-0.023021531595819544
2020-02-29,-0.09650920724042844
2020-03-31,-0.2510859046862981
2020-04-30,0.10126755684540001
2020-05-31,0.17702666157454172
2020-06-30,0.10947141743830402
2020-07-31,0.042447471148155946
2020-08-31,0.07603307989119013
2020-09-30,0.028954183921082288
2020-10-31,-0.029728890969249022
2020-11-30,0.14761851899772926
2020-12-31,0.09761215664609568
2021-01-31,0.0076757511104106335
2021-02-28,0.048696137342295165
2021-03-31,0.031260569591142096
2021-04-30,0.02631740024317275
2021-05-31,0.007272681403121428
2021-06-30,0.07157823283638276
2021-07-31,-0.011978039628721016
2021-08-31,0.001780779968910684
2021-09-30,0.016494927162656214
2021-10-31,0.058748096328054666
2021-11-30,-0.009255611281132503
2021-12-31,-0.03619498080161809
2022-01-31,-0.07269175713929676
2022-02-28,-0.001442807380916511
2022-03-31,0.05927524501320924
2022-04-30,-0.06995427214487215
2022-05-31,-0.007950377393232122
2022-06-30,-0.024949148411891442
2022-07-31,0.10791963270737837
2022-08-31,-0.04540393020895883
2022-09-30,-0.16869419056224477
2022-10-31,0.1056049273946138
2022-11-30,0.04914792855154193
2022-12-31,-0.18916872017561726
2023-01-31,0.03624614663877335
2023-02-28,-0.005015375532150923
2023-03-31,0.0014172882560308242
2023-04-30,-0.01871333862559077
2023-05-31,-0.0174001237771938
2023-06-30,0.08434743357133279
2023-07-31,0.05280161243389414
2023-08-31,-0.020624769499971385
2023-09-30,-0.11718920382432263
2023-10-31,-0.0754367822128792
2023-11-30,0.14846983576614692
2023-12-31,0.12208988428382783
2024-01-31,-0.038463317628710914
2024-02-29,0.06315375803773948
2024-03-31,-0.02409733179994411
2024-04-30,-0.05700206643053962
2024-05-31,0.013723340246797777
2024-06-30,0.03785591866674953
2024-07-31,0.06413267867317796
2024-08-31,-0.013411453663611628
2024-09-30,-0.007354259166967636
2024-10-31,0.010742388383313095
2024-11-30,0.10977367281791817
2024-12-31,-0.05022075103724999
2025-01-31,0.05436363877913153
2025-02-28,-0.06714369520866392
2025-03-31,-0.07381885360474971
2025-04-30,0.03640032552809869
2025-05-31,0.08363905556700502
2025-06-30,0.047663423533211846
2025-07-31,0.07546650970732749
2025-08-31,0.0645247288523707
2025-09-30,0.0014471164533520486
2025-10-31,0.00027980746439770776
2025-11-30,-0.007710084599484857
2025-12-31,-0.07791401025921785
2026-01-31,0.04401040716603433
2026-02-28,0.001974238246076787
2026-03-31,-0.05716820438192394
2026-04-30,0.09566820240320073
2026-05-31,0.0595790140913266
2026-06-30,-0.09684121198318574
2026-07-31,-0.03657313820311292
2026-08-31,-0.005755128423266087
2026-09-30,0.015195452520422537
