cell,split,kind,H,n_trades,raw_bps,raw_t,bench,n_months,mean_bps,t,pct_pos,ex_jan_bps,mde_bps,ann_pct,mdd_pct,gross_bps_per_trade,alpha_bps_per_trade,net_alpha_bps_per_trade,honest_cost_bps,breakeven_bps,breakeven_x_cost,net_ex_top5_bps,net_wincap3x_bps,long_leg_share_pct,book_trades,book_trades_per_wk,book_usd_per_month,boot_p_train,sidak_p_8cells
F2-LS-20,TRAIN,L-S,20,4466,-39.83597037642177,-0.9142335473784191,self (L-S),71,-39.83597037642177,-0.9142335473784191,45.07042253521127,-36.321769544647665,87.14615754508708,-4.6769591088782985,-35.914154051980574,163.162302852461,14.972474813772417,4.972474813772405,10.0,14.972474813772417,1.4972474813772416,-188.1633051461726,-88.29795927969346,,1226,3.916932907348243,-191.73314187422048,0.3704,0.9753101896038184
F2-LS-20,VAL,L-S,20,1880,136.70038965149632,1.4244807935786947,self (L-S),24,136.70038965149632,1.4244807935786947,66.66666666666666,160.4608458182569,191.93012677702256,17.695354939018703,-13.102253459166624,29.47951798397587,-22.757558957409064,-32.75755895740905,10.0,-22.757558957409064,-2.2757558957409065,-224.45226973740134,-112.99339674671837,72.59704729465972,412,3.9561042524005487,-369.73741964670785,0.3704,0.9753101896038184
F2-LO-20,TRAIN,long-only,20,4466,128.66380401385223,1.5170422068387348,F2-MKT-20,71,-10.103814504708428,-0.33500335135536186,54.929577464788736,-21.945409437886237,60.32067717430441,-1.205742634915996,-18.691294180672436,163.162302852461,14.972474813772417,4.972474813772405,10.0,14.972474813772417,1.4972474813772416,-188.1633051461726,-88.29795927969346,,1226,3.916932907348243,-191.73314187422048,0.7378,0.9999776611146689
F2-LO-20,VAL,long-only,20,1880,83.53073403059908,0.4032767543379154,F2-MKT-20,24,99.24044652728092,1.2340396715297963,62.5,103.34950929720038,160.8383406414414,12.580855891096654,-9.241858953074178,29.47951798397587,-22.757558957409064,-32.75755895740905,10.0,-22.757558957409064,-2.2757558957409065,-224.45226973740134,-112.99339674671837,72.59704729465972,412,3.9561042524005487,-369.73741964670785,0.7378,0.9999776611146689
F2-LS-40,TRAIN,L-S,40,4466,47.814923891894395,1.244579994675119,self (L-S),71,47.814923891894395,1.244579994675119,61.97183098591549,77.14684472442507,76.83704397703394,5.8911155472612275,-18.1641868802498,289.58957659521343,32.1782048746471,22.178204874647133,10.0,32.1782048746471,3.21782048746471,-254.29757967416887,-116.67038531479264,88.02991650097556,678,2.1661341853035143,270.3270122916663,0.2008,0.8335653290430263
F2-LS-40,VAL,L-S,40,1880,-44.308737227677916,-0.9159778135623973,self (L-S),24,-44.308737227677916,-0.9159778135623973,45.83333333333333,-24.40046147653151,96.74631103859059,-5.1893678603844196,-13.055992418047746,-183.06316707558258,-160.11852062771726,-170.11852062771723,10.0,-160.11852062771726,-16.011852062771727,-447.8431965274405,-272.346160111806,,232,2.2277091906721536,-233.10855542522685,0.2008,0.8335653290430263
F2-LO-40,TRAIN,long-only,40,4466,195.31373913611193,2.4257066907431843,F2-MKT-40,71,42.09143757703961,1.9851892905298776,54.929577464788736,42.84194712982739,42.40546508872689,5.169560238330395,-8.544574909789059,289.58957659521343,32.1782048746471,22.178204874647133,10.0,32.1782048746471,3.21782048746471,-254.29757967416887,-116.67038531479264,88.02991650097556,678,2.1661341853035143,270.3270122916663,0.0492,0.3320970149600413
F2-LO-40,VAL,long-only,40,1880,-48.562592225374026,-0.2696317894979942,F2-MKT-40,24,-33.65687194268626,-0.7634953944011375,37.5,-27.660604467587355,88.16522585335485,-3.964893275447001,-11.194291787439415,-183.06316707558258,-160.11852062771726,-170.11852062771723,10.0,-160.11852062771726,-16.011852062771727,-447.8431965274405,-272.346160111806,,232,2.2277091906721536,-233.10855542522685,0.0492,0.3320970149600413
F2-LS-60,TRAIN,L-S,60,4466,46.8884097765388,1.7223608322394326,self (L-S),71,46.8884097765388,1.7223608322394326,60.56338028169014,65.10082300088523,54.446674470150334,5.77400367102916,-14.930690551290105,474.26291250430427,70.17894977009288,60.1789497700929,10.0,70.17894977009288,7.017894977009289,-321.7698444043041,-136.85223790461586,97.87491947130812,482,1.5399361022364217,132.17686221468554,0.0814,0.49299583311850426
F2-LS-60,VAL,L-S,60,1880,-43.802321493564236,-1.02859618840678,self (L-S),24,-43.802321493564236,-1.02859618840678,37.5,-13.186026464718124,85.16913048532838,-5.131478924818522,-13.292607964437874,-39.993749525684485,-200.6594244241558,-210.65942442415587,10.0,-200.6594244241558,-20.06594244241558,-590.8976712461105,-367.97821151569684,,161,1.5459533607681757,-1048.6859254772687,0.0814,0.49299583311850426
