day,symbol,m,px,pb,cb,sp_mean,n_q
2026-02-11,RPD,575,8.15,a,entry,0.07055374592833859,307
2025-05-16,JBI,575,8.85,a,entry,0.03760000000000048,25
2025-11-20,KW,575,9.65,a,entry,0.01037037037037015,27
2025-06-10,UMAC,575,9.606691428571429,a,entry,0.05111111111111133,297
2025-11-04,GT,575,7.047212857142857,a,entry,0.021095617529880453,502
2025-04-30,SMCL,575,7.48,a,entry,0.03704233409610987,1748
2025-08-08,UAA,575,5.292786428571429,a,entry,0.010162107396150113,987
2026-02-23,RLJ,575,8.243221428571427,a,entry,0.02409999999999954,100
2025-04-08,CRMD,575,7.48,a,entry,0.05283999999999996,250
2025-06-13,YALA,575,6.380983571428571,a,entry,0.03831168831168844,77
2025-08-19,UA,955,4.995,a,late,0.009999999999999787,249
2025-09-12,LION,955,7.29,a,late,0.009999999999999787,178
2025-03-28,ULTY,955,6.1163,a,late,0.009999999999999787,79
2025-01-08,WOLF,955,5.915,a,late,0.009999999999999796,282
2025-04-23,WRD,955,7.31,a,late,0.014035087719298367,57
2025-05-16,FSLY,955,8.065,a,late,0.010000000000000309,228
2026-04-13,CORD,955,6.85,a,late,0.028576512455516158,281
2025-05-15,MFA,955,9.81,a,late,0.009999999999999787,169
2025-12-23,LION,955,9.005,a,late,0.010057142857142643,175
2025-02-21,AIV,935,8.98,a,late,0.009999999999999787,82
2026-02-10,STKL,955,6.405,a,late,0.009999999999999787,106
2025-01-08,NNOX,955,8.775,a,late,0.009999999999999787,299
2025-10-27,NEUP,955,4.605,a,late,0.017619047619048048,21
2026-03-19,MCW,955,6.985,a,late,0.009999999999999787,31
2025-04-21,BHC,955,4.705,a,late,0.009999999999999787,135
2026-02-23,NTSK,955,9.245,a,late,0.01054455445544532,202
2026-04-13,NBIZ,955,4.38,a,late,0.013741935483871245,310
2025-11-26,WEAV,955,6.375,a,late,0.009999999999999787,143
2025-12-24,QBTZ,942,8.7,a,late,0.11333333333333269,3
2025-01-24,HAFN,955,5.115,a,late,0.009999999999999787,30
2025-05-27,UUUU,955,5.45,a,late,0.009999999999999787,99
2025-06-13,SBET,955,9.25,a,late,0.022670454545454063,176
2025-08-19,AUR,955,5.985,a,late,0.010000000000000415,651
2026-03-30,LENZ,955,8.2675,a,late,0.010817610062893477,159
2026-01-08,ELME,955,2.75,a,late,0.010000000000000045,286
2025-09-12,TSYY,955,8.2035,a,late,0.010000000000001563,6
2025-01-13,VSAT,955,7.685,a,late,0.010000000000000675,66
2025-08-19,EVH,925,9.107595714285717,a,late,0.014405286343612224,227
2026-03-11,NBIG,955,9.1626,a,late,0.031309192200556515,359
2026-04-14,GSBD,955,9.465,a,late,0.009999999999999787,38
2025-03-12,ARVN,955,9.025,a,late,0.014829545454545139,176
2026-05-18,SBS,955,5.855,a,late,0.010000000000000675,46
2025-09-11,TKC,938,5.521785714285714,a,late,0.010000000000000255,72
2025-11-04,VG,955,7.97,a,late,0.009999999999999933,255
2025-12-23,XXI,955,9.6,a,late,0.03722222222222143,18
2025-05-14,AUR,955,6.86,a,late,0.009999999999999787,291
2025-05-21,CSAN,955,5.435,a,late,0.010000000000000675,51
2025-04-24,NOK,955,4.87,a,late,0.009999999999999787,215
2026-03-24,TKC,955,6.07,a,late,0.009999999999999787,44
2026-04-14,YMAX,955,8.125,a,late,0.010000000000001563,66
2025-01-17,RCAT,955,8.53,a,late,0.014613297150610563,1474
2025-04-02,SNAP,955,8.86,a,late,0.009999999999999787,466
2025-01-15,HIMX,955,8.24,a,late,0.010498220640569171,281
2025-02-11,VIR,955,9.035,a,late,0.012054794520547883,73
2025-04-28,CSIQ,955,9.8,a,late,0.010000000000001563,34
2026-05-11,ABR,936,6.622307142857143,a,late,0.01000000000000003,128
