date,pnl_R,symbol
2025-01-02,-1.4767590592077644,U
2025-01-03,-1.4366856931064094,MBLY
2025-01-06,3.766445496766,STM
2025-01-07,-1.6248068035383698,STM
2025-01-08,4.978091931426211,STM
2025-01-10,-1.5646239956887662,STM
2025-01-13,-1.2145870897964937,RKLB
2025-01-14,-1.2233480187672463,HUT
2025-01-15,-1.2127435406858074,UVXY
2025-01-15,-2.7802803158281684,SPY
2025-01-15,-1.219349383504471,RKLB
2025-01-16,-1.6574188195604096,STM
2025-01-17,-1.13778931963947,DFNS
2025-01-17,-2.7853926816283887,SPY
2025-01-17,-1.255512202104453,HUT
2025-01-21,-1.2414257576720902,RKLB
2025-01-22,-1.2159192984069462,RKLB
2025-01-23,9.816604230510837,OKLO
2025-01-23,-1.628451636358836,STM
2025-01-24,-1.3068373945067067,LUNR
2025-01-27,-3.0844859335159116,SPY
2025-01-27,-1.313759602507703,SOXL
2025-01-28,-1.167969339024573,SOXL
2025-01-28,-1.136016387085033,SMR
2025-01-29,-1.3288259769784836,U
2025-01-30,-1.204840959380235,TSLQ
2025-01-31,-1.7362980779334234,INTC
2025-02-03,-1.157072400326636,UVIX
2025-02-03,-3.1023927300054552,SPY
2025-02-03,-1.4963150909559328,U
2025-02-04,-1.229102449454587,OKLO
2025-02-05,-1.1845619386824982,LUNR
2025-02-06,-1.1567971422810044,SMR
2025-02-07,-1.2779096487490307,HUT
2025-02-07,9.769282657807809,OKLO
2025-02-07,7.188472777769573,UVIX
2025-02-10,-1.1745331611805725,TSLL
2025-02-10,-1.1994048150898329,UVIX
2025-02-11,-1.4658388329083,U
2025-02-12,-1.5302441283884511,INTC
2025-02-13,-1.4587253514636929,RDDT
2025-02-13,-1.6768812859683844,HOOD
2025-02-13,9.468695259057949,INTC
2025-02-14,-1.5880671269796325,DKNG
2025-02-18,-2.13113988803009,CAG
2025-02-19,-1.977601327602308,DVN
2025-02-20,-1.6771331641658924,U
2025-02-21,9.362297974109374,XYZ
2025-02-21,-1.3868044349606794,U
2025-02-24,4.572317699898077,TMF
2025-02-25,-1.576633997998539,LI
2025-02-25,1.8747966281449029,BITO
2025-02-26,9.26171501074652,CPNG
2025-02-26,-1.3498090995339205,ZETA
2025-02-27,9.213559295939689,KDP
2025-02-28,-2.663176644878944,SGOL
2025-03-03,-2.4875985139279626,EEM
2025-03-04,-15.740335771365748,BKLN
2025-03-05,-1.5660457661440486,KKR
2025-03-06,-2.5344324913480145,ASHR
2025-03-07,-6.664285407496123,USHY
2025-03-10,-1.5347855102819579,DASH
2025-03-10,-1.697934902354608,USB
2025-03-11,9.376334667959297,LUV
2025-03-12,-5.682724944008192,SPHY
2025-03-12,-1.47407536777812,ZIM
2025-03-13,-1.3407698495593576,INTC
2025-03-14,4.008671785842404,SCHW
2025-03-17,-1.885152421814039,SH
2025-03-18,-1.5313885607086495,GLW
2025-03-18,-1.362504156679317,BEKE
2025-03-19,-1.5021793566973431,MOS
2025-03-20,-1.7115570893388248,PDD
2025-03-20,-5.802496898113393,VTEB
2025-03-21,-1.7523994758540316,KIM
2025-03-24,-1.332786508807675,SPXU
2025-03-25,-2.176575694213731,JEPQ
2025-03-26,-1.5417987350837281,CHWY
2025-03-26,-1.3083212808002793,IONQ
2025-03-27,-1.4820269824343368,GM
2025-03-28,-1.2654956751101367,GME
2025-03-31,-9.246914568541088,BKLN
2025-04-01,-1.7099335257342403,RBLX
2025-04-01,-2.6668564641797357,VWO
2025-04-02,-7.521555784629024,MUB
2025-04-02,8.856387780020109,XRT
2025-04-03,-6.641638009017598,USHY
2025-04-03,-2.0284326769902257,EWZ
2025-04-04,-3.8226424114974984,ASHR
2025-04-07,-5.435015541015122,SJNK
2025-04-08,8.912535050313544,ASHR
2025-04-09,-4.4792167378039744,IEF
2025-04-10,-1.4342623394766592,SOXX
2025-04-10,-1.6942116059093824,BTI
2025-04-11,-1.376100948171601,TXN
2025-04-11,-1.1577466524936015,MCHP
2025-04-14,3.9397396945652408,BBY
2025-04-14,-1.4275882349988323,B
2025-04-15,-1.8395854107801037,ACI
2025-04-16,-1.8001584290310033,ABT
2025-04-17,-1.6441731769036636,UNH
2025-04-17,-1.4633995205095531,CARR
2025-04-21,-1.3782951400610042,COF
2025-04-21,1.8729499751198584,VEA
2025-04-21,1.3834069667604734,WSC
2025-04-21,-2.8739907115523406,BKLN
2025-04-22,-1.2539928247386054,HAL
2025-04-23,8.819173338958542,APH
2025-04-24,-1.5566829190389895,TSCO
2025-04-25,-1.6801276998856522,GILD
2025-04-25,1.3862811113653157,LYB
2025-04-25,-1.3398594017581493,INTC
2025-04-28,-1.1183532715473607,SMMT
2025-04-28,1.217754151345093,MOS
2025-04-29,-1.3615297961513446,HIMS
2025-04-29,-1.4644734732574891,BP
2025-04-30,8.955487935644761,SBUX
2025-04-30,-1.3169848272888454,U
2025-05-01,-1.8133397867075338,RBLX
2025-05-01,-1.4914482566624332,MRNA
2025-05-02,-1.3822956416750067,RDDT
2025-05-05,-1.535825657685824,ON
2025-05-06,9.343717097732604,CTRA
2025-05-07,-2.1728482889290617,DIS
2025-05-07,-1.3865769186898902,UPST
2025-05-07,-2.075203097846882,SU
2025-05-08,-1.615908221050661,ARM
2025-05-09,-1.7028064177566948,TTD
2025-05-09,-1.5841699238948963,TOST
2025-05-12,-9.001758238928828,SRLN
2025-05-12,-9.717982233347096,BKLN
2025-05-13,9.38798074932136,COIN
2025-05-13,-1.3706224826582676,ENPH
2025-05-13,-1.4996234690051882,PAAS
2025-05-14,-6.530918291595682,VCIT
2025-05-14,-2.0053862463056253,SONY
2025-05-15,8.442038708563953,CSCO
2025-05-15,-1.8490525854195794,BEKE
2025-05-16,7.043453963099668,FISV
2025-05-16,6.262905368723458,EXC
2025-05-16,-2.4209815388434155,CMCSA
2025-05-19,9.421912594291882,TMF
2025-05-20,-2.219949141376742,D
2025-05-20,-6.444962685198452,SPIB
2025-05-21,-1.9014935504735402,TGT
2025-05-22,-1.2308554480953735,ENPH
2025-05-22,-1.9293794985083776,CAG
2025-05-23,-1.544200712958887,GME
2025-05-27,-1.7865269723576032,GME
