day,symbol,rvol,rk,side,prev_close,atr14,adv20,status,entry,R,stop,exit,exit_m,reason,gross_r,range_pct
2026-03-23,WRD,9.097924108545099,2,short,6.35,0.3082142857142861,4400032.9,ok,6.3,0.6000000000000005,6.9,6.9,814.0,stop,-1.0,
2026-03-24,WRD,5.153660915393457,14,long,6.92,0.35571428571428604,5493653.15,ok,7.53,0.6699999999999999,6.86,7.695,955.0,time,0.24626865671641798,
2025-02-21,WSC,9.783883196987967,11,long,38.67,1.1964285714285714,1930128.35,ok,38.3,0.5499999999999972,37.75,37.75,606.0,stop,-1.0,
2025-03-10,WSC,4.405821880274435,13,long,28.07,1.5966071428571422,2809779.9,ok,29.49,0.7999999999999972,28.69,29.78,955.0,time,0.36250000000000465,
2025-05-02,WSC,11.139288013982155,12,long,25.63,1.1772357142857135,3216450.2,ok,27.855,1.6099999999999994,26.245,27.31,955.0,time,-0.33850931677018753,
2025-08-01,WSC,20.30217526413922,4,long,29.35,0.8685714285714285,1716830.3,ok,24.35,1.3900000000000006,22.96,25.425,955.0,time,0.773381294964028,
2025-08-04,WSC,12.70983070416286,5,short,25.33,1.2900000000000003,2159795.55,ok,25.33,0.490000000000002,25.82,25.095,955.0,time,0.47959183673469075,
2025-10-17,WSC,12.559113774853822,6,short,22.1,0.7544642857142855,2256495.8,ok,22.31,0.4299999999999997,22.74,21.185,955.0,time,2.6162790697674434,
2025-10-20,WSC,4.943328423490786,20,short,21.14,0.8141071428571424,2226531.25,ok,21.195,0.16000000000000014,21.355,21.355,577.0,stop,-1.0,
2026-04-20,WSC,6.374003869566601,19,long,20.23,0.8602785714285712,1977217.65,ok,20.68,0.5449999999999982,20.135,21.335,955.0,time,1.2018348623853272,
2025-03-10,WSM,4.536743557460178,10,long,188.41,8.596428571428572,1379926.9,ok,190.3,1.3500000000000227,188.95,190.97500000000002,584.0,lock,0.5,
2025-03-19,WSM,4.6429156490141175,14,short,172.28,8.991814285714288,1816112.3,ok,156.555,1.674999999999983,158.23,155.71750000000003,576.0,lock,0.4999999999999915,
2025-05-22,WSM,9.112844947044715,6,short,167.92,5.655478571428568,1498407.0,ok,152.3,6.639999999999986,158.94,158.94,669.0,stop,-1.0,
2025-06-13,WSM,6.216206573337768,19,long,154.81,4.4683785714285715,2005194.3,ok,159.79,5.969999999999999,153.82,153.8017,855.0,stop,-1.0030653266331628,
2026-03-18,WSM,7.340190872293809,11,long,182.17,8.504285714285716,1166128.7,ok,191.01,10.009999999999991,181.0,184.12,955.0,time,-0.6883116883116875,
2025-07-02,WT,4.04577898582357,13,long,11.49,0.286,2222863.7,ok,11.9,0.15000000000000036,11.75,12.27,955.0,time,2.4666666666666557,
2025-08-01,WT,10.801541023184262,9,long,13.27,0.26751428571428587,2659226.75,ok,12.09,0.4499999999999993,11.64,12.375,955.0,time,0.6333333333333346,
2025-08-12,WT,12.567305076155673,7,long,13.21,0.3728785714285713,2573231.25,ok,13.59,0.40000000000000036,13.19,13.565,955.0,time,-0.06250000000000083,
2026-03-24,WT,6.536267704648719,8,long,13.49,0.6716428571428574,2405308.15,ok,14.12,0.3999999999999986,13.72,13.84,955.0,time,-0.7000000000000008,
2026-04-17,WT,8.079541744431396,13,short,16.46,0.7296285714285714,3730072.75,ok,16.6,0.1999999999999993,16.8,16.8,599.0,stop,-1.0,
2025-06-04,WTRG,8.310306466114996,9,long,38.45,0.7277214285714274,1536064.95,ok,37.49,0.3200000000000003,37.17,37.17,587.0,stop,-1.0,
2025-07-11,WTTR,3.463298379408961,20,short,9.74,0.3545285714285713,1212725.25,ok,9.6,0.07000000000000028,9.67,9.67,664.0,stop,-1.0,
2025-10-16,WTTR,11.146484701554924,4,short,11.51,0.4615000000000003,1360306.85,ok,11.62,0.21990000000000087,11.8399,10.87,955.0,time,3.410641200545689,
2026-02-20,WTTR,17.85425358413611,3,long,14.22,0.7613214285714289,1065072.35,ok,12.965,0.11500000000000021,12.85,12.85,575.0,stop,-1.0,
2025-06-16,WU,5.271506888557237,15,long,8.63,0.21933571428571405,6746552.35,ok,8.5801,0.060100000000000264,8.52,8.645,955.0,time,1.0798668885191256,
2025-10-24,WU,13.526217951530574,8,long,8.14,0.19321428571428578,11162246.5,ok,9.06,0.4400000000000013,8.62,8.975,955.0,time,-0.19318181818181956,
2025-01-14,WULF,2.181587210220151,6,long,5.2,0.5932000000000003,28644145.3,ok,5.665,0.08499999999999996,5.58,5.58,585.0,stop,-1.0,
2025-01-17,WULF,1.3124809698770248,20,long,5.85,0.574507142857143,30156872.8,ok,6.25,0.15000000000000036,6.1,6.1,582.0,stop,-1.0,
2025-01-24,WULF,1.2089449527298892,17,short,6.18,0.6377357142857144,34665989.75,ok,6.39,0.20500000000000007,6.595,6.595,630.0,stop,-1.0,
2025-01-27,WULF,3.078864566332522,9,short,6.315,0.6445214285714288,35404413.05,regsho,5.3699,,,,,,,
2025-02-07,WULF,1.6225088034936725,15,long,5.15,0.6871428571428572,48886645.0,ok,5.52,0.16999999999999993,5.35,5.35,594.0,stop,-1.0,
2025-08-14,WULF,8.736305921155369,12,short,5.46,0.4096285714285716,38598924.8,ok,6.915,0.29499999999999993,7.21,7.21,575.0,stop,-1.0,
2025-03-24,WVE,4.718155801493318,4,short,9.59,0.7877857142857143,1155019.7,ok,9.546,0.25900000000000034,9.805,9.805,662.0,stop,-1.0,
2025-03-26,WVE,7.985936975394503,9,short,9.44,0.6635,1137750.35,ok,10.0919,0.8180999999999994,10.91,9.945,955.0,time,0.17956240068451362,
2025-07-21,WVE,8.052592725604038,8,long,8.34,0.46276428571428563,1583183.5,no_bars,,,,,,,,
2025-09-03,WVE,13.926443807171415,10,long,9.62,0.5320714285714283,1599342.15,ok,7.405,0.04499999999999993,7.36,7.36,576.0,stop,-1.0,
2025-12-08,WVE,143.42868111151563,1,long,7.49,0.3991071428571428,2440602.35,ok,13.1601,0.44009999999999927,12.72,13.38015,589.0,lock,0.500000000000002,
2025-12-09,WVE,5.450072280281606,19,short,18.52,1.238392857142857,9638946.55,ok,19.81,0.4299999999999997,20.24,20.24,580.0,stop,-1.0,
2026-01-06,WVE,7.978111412352123,12,short,15.0,1.1609999999999994,13878681.6,ok,18.31,1.1900000000000013,19.5,15.1985,955.0,time,2.614705882352938,
2026-03-26,WVE,39.97254039534447,1,short,12.3,0.7738357142857143,2759823.05,regsho,5.275,,,,,,,
2026-05-14,WWW,7.036397038356622,20,short,15.53,0.7264214285714284,1007647.25,ok,15.03,1.9900000000000002,17.02,15.02,955.0,time,0.005025125628140596,
2025-03-21,WY,22.229359841912977,17,short,30.11,0.7854500000000006,3849619.2,ok,29.965,0.08869999999999933,30.0537,29.055,955.0,time,10.259301014656224,
2026-01-15,WYFI,6.732751645564084,11,short,20.86,1.3037571428571433,1163408.8,ok,19.43,0.7417000000000016,20.1717,19.05915,702.0,lock,0.5,
2026-05-12,WYFI,6.435097748966362,18,short,26.98,2.086678571428571,1114555.8,ok,25.5105,1.349499999999999,26.86,26.2,955.0,time,-0.5109299740644678,
2026-05-13,WYFI,11.108509069043112,10,short,26.09,2.2181071428571424,1197494.35,ok,26.4,1.4299999999999997,27.83,27.83,684.0,stop,-1.0,
2025-02-14,WYNN,7.375152648577949,17,long,80.47,2.5475642857142873,2745374.05,ok,85.6,2.0749999999999886,83.525,88.735,955.0,time,1.5108433734939866,
2025-05-07,WYNN,9.247574964918734,14,short,83.52,2.3763785714285723,2501560.6,ok,83.18,3.9549999999999983,87.135,84.37,955.0,time,-0.30088495575221197,
2025-07-01,WYNN,7.9058662201430066,8,long,93.67,2.3404071428571416,2160446.9,ok,100.36,3.5,96.86,101.85,955.0,time,0.42571428571428427,
2025-06-20,XEL,18.61930352667372,19,long,66.28,1.115478571428568,2881746.2,ok,66.64,0.23499999999999943,66.405,66.7575,719.0,lock,0.49999999999996975,
2025-12-19,XEL,23.124447104396303,16,long,73.61,1.5108285714285705,5356389.8,ok,73.42,0.519999999999996,72.9,72.9,948.0,stop,-1.0,
2026-04-16,XEL,5.1890113304072845,20,long,78.65,1.4221428571428578,4407349.65,ok,79.88,0.9099999999999966,78.97,81.045,955.0,time,1.2802197802197919,
2026-03-10,XENE,18.406758448060074,2,short,62.76,3.359992857142857,1477426.2,ok,60.465,3.4849999999999994,63.95,60.45,955.0,time,0.004304160688665874,
2026-03-11,XENE,17.142431758284793,3,short,60.61,3.69035,1627940.6,ok,60.085,1.2950000000000017,61.38,59.055,955.0,time,0.7953667953667952,
2025-11-06,XERS,11.609742143762004,20,long,9.87,0.39457142857142863,2282402.5,ok,8.48,0.17900000000000027,8.301,8.301,577.0,stop,-1.0,
2025-12-31,XERS,10.174448279874335,3,long,7.31,0.26860714285714293,2064462.0,ok,8.035,0.4850000000000003,7.55,7.875,955.0,time,-0.3298969072164949,
2026-03-02,XERS,8.438944249604509,15,short,6.12,0.3349999999999999,1795621.95,ok,6.675,0.4450000000000003,7.12,5.985,955.0,time,1.5505617977528068,
2026-01-12,XHB,8.306278960347552,14,short,113.2,2.297857142857145,1826536.75,ok,112.4,0.6424999999999983,113.0425,113.0425,581.0,stop,-1.0,
2026-01-14,XHB,9.076376918842332,7,long,114.88,2.356428571428574,1999753.1,ok,114.615,0.33499999999999375,114.28,114.7825,598.0,lock,0.5000000000000212,
2026-04-08,XHB,7.873305982355938,7,long,96.98,2.963928571428571,2053541.25,ok,102.6,1.4449999999999932,101.155,102.38,955.0,time,-0.15224913494809683,
2025-11-21,XHR,5.9921446611544855,17,long,13.41,0.4239285714285716,1058644.5,ok,13.6,0.08999999999999986,13.51,13.89,955.0,time,3.2222222222222374,
2025-09-29,XIFR,3.78162331222824,19,long,10.11,0.29856428571428556,1526595.5,ok,10.64,0.46000000000000085,10.18,10.275,955.0,time,-0.7934782608695642,
2025-12-22,XIFR,9.087128408793234,6,long,9.25,0.21753571428571433,1190763.65,ok,9.25,0.09999999999999964,9.15,9.665,955.0,time,4.150000000000007,
2026-02-03,XLAB,10.597701452871863,10,doji,10.18,0.11207142857142838,1385709.35,doji,,,,,,,,
2025-02-19,XLG,34.529356010488584,2,doji,51.55,0.5997428571428571,2277721.1,doji,,,,,,,,
