cell,name,n,TRAIN_n,TRAIN_gross,TRAIN_pct,TRAIN_t,TRAIN_cost,TRAIN_net,TRAIN_tnet,TRAIN_mde,TRAIN_bk_n,TRAIN_bk_wk,TRAIN_green,TRAIN_total,TRAIN_worst,TRAIN_streak,TRAIN_null95,TRAIN_wrap,TRAIN_ex5,VAL_n,VAL_gross,VAL_pct,VAL_t,VAL_cost,VAL_net,VAL_tnet,VAL_mde,VAL_bk_n,VAL_bk_wk,VAL_green,VAL_total,VAL_worst,VAL_streak,VAL_null95,VAL_wrap,VAL_ex5,h1,h2
B9,V1 hrv >= 3,9023,5637,-0.24164335517098642,-0.4832867103419729,-13.008241213042142,0.11711321572560994,-0.35875657089659635,-19.048245522862587,0.06586299830437331,1711,32.283018867924525,0.0,-76797.24213948639,-2846.1284301798705,52,1.8867924528301887,0.10927798474365798,-0.357625345685475,3386,-0.19819738254263491,-0.3963947650852699,-7.380469966970737,0.11727170632394159,-0.3154690888665765,-11.719916407413846,0.10156306677853379,753,32.73913043478261,4.3478260869565215,-30793.62609094816,-3424.6582228890748,18,8.695652173913043,0.10277613703484938,-0.3394915592389727,-0.24367712511806672,-0.24031119405767576
B10,V2 sustained hrv>=2 over 3 hours,4592,2796,-0.10212600128664512,-0.20425200257329024,-4.065870086906889,0.10880529170917538,-0.21093129299582056,-8.371082004616992,0.08198871946446663,1110,20.943396226415093,9.433962264150944,-23939.595121285194,-1706.2880025886411,26,16.9811320754717,0.11695278969957082,-0.214354836720088,1796,-0.08777443142572597,-0.17554886285145194,-3.0365649524424674,0.10929092558202395,-0.1970653570077499,-6.791350781325937,0.09880227556169016,536,23.304347826086957,17.391304347826086,-13524.342780727593,-1957.8753007978423,10,21.73913043478261,0.08797327394209355,-0.2128021552473839,-0.06818717288432782,-0.12387553216418651
B11,V4 absorption hrv>=3 & |hour ret|<=1%,3158,1973,-0.11975596178869592,-0.23951192357739184,-5.473517886813678,0.10982253650023013,-0.22957849828892604,-10.422854667211295,0.06398651710794366,1085,20.471698113207548,13.20754716981132,-26864.97925089567,-1576.7170986538736,15,15.09433962264151,0.11302584896097313,-0.22140234893954266,1185,-0.10716997300617188,-0.2143399460123438,-2.7714257516099647,0.11008358695462282,-0.2172535599607947,-5.604771213432725,0.10404464770938958,517,22.47826086956522,17.391304347826086,-12686.937662013863,-1802.808446161835,7,21.73913043478261,0.10379746835443038,-0.2334204752643691,-0.1360187713548366,-0.10980429155582062
B12,CONTROL mirror hrv>=3 & |hour ret|>2%,3601,2238,-0.3984971963620025,-0.7969943927240051,-13.332504916699103,0.12643253059264187,-0.5249297269546443,-17.276856817123555,0.09677269915092987,1448,27.32075471698113,0.0,-82223.1101949511,-3072.0025314537697,52,1.8867924528301887,0.10187667560321716,-0.5355001368418979,1363,-0.3225892385304921,-0.6451784770609842,-10.509442276805698,0.1265505432634273,-0.4491397817939193,-14.56399384601677,0.1363655457229418,726,31.565217391304348,4.3478260869565215,-34307.11880020933,-3554.3558413286005,18,8.695652173913043,0.09684519442406456,-0.4965658735027907,-0.37939405848439256,-0.41190571062894843
B13,B10 + 2R target,4592,2796,-0.10866901258521182,-0.21733802517042364,-5.2651467816721995,0.1090441562583119,-0.21771316884352374,-10.508015281948548,0.05906741169403359,1124,21.20754716981132,9.433962264150944,-26208.617302875824,-1706.2880025886411,22,16.9811320754717,0.11695278969957082,-0.20913458989001077,1796,-0.07510353003011269,-0.15020706006022538,-2.8342743472023804,0.10992954509510322,-0.1850330751252159,-6.962914687228504,0.09600967740113511,567,24.652173913043477,17.391304347826086,-12734.086549321542,-1965.7161812647355,10,21.73913043478261,0.08797327394209355,-0.07510353003011269,-0.08999238057903965,-0.12063784013846296
B14,B10 + ORB static lock,4592,2796,-0.10127276931660657,-0.20254553863321315,-4.050456039285408,0.10887324997802554,-0.21014601929463209,-8.379438772899952,0.08174242532417494,1115,21.037735849056602,9.433962264150944,-23128.156853007855,-1706.2880025886411,26,16.9811320754717,0.11695278969957082,-0.2129271578921557,1796,-0.0815741832546404,-0.1631483665092808,-2.9726448592048142,0.10947384752476548,-0.19104803077940588,-6.935058694832364,0.0971331252702845,546,23.73913043478261,17.391304347826086,-12603.54219448639,-2002.3783420815498,10,21.73913043478261,0.08797327394209355,-0.20381992954820813,-0.06607795756285707,-0.12382719093344605
