day,symbol,hour,entry_m,entry,gate5,is_sig,sig_day,rr_bare,why_bare,exitm_bare
2026-01-02,ACIC,9,600,11.49,False,False,True,-0.5221932114882529,eod,955
2026-01-02,ACIC,10,663,11.38,False,False,True,-0.04393673110721236,eod,955
2026-01-02,ACIC,12,780,11.39,False,False,True,-0.08779631255487853,eod,955
2026-01-02,ACIC,13,840,11.36,False,False,True,0.04401408450704135,eod,955
2026-01-02,ACIC,14,900,11.41,False,True,True,-0.1752848378615282,eod,955
2026-01-02,AMZU,9,600,35.53,False,False,True,-1.049000000000005,stop,611
2026-01-02,AMZU,10,660,33.395,False,True,True,0.33687677796076254,eod,955
2026-01-02,AMZU,11,720,33.38,False,True,True,0.3594967046135333,eod,955
2026-01-02,AMZU,12,780,33.46,False,True,True,0.23909145248056746,eod,955
2026-01-02,AMZU,13,840,33.23,False,True,True,0.5868191393319298,eod,955
2026-01-02,AMZU,14,900,33.56,False,False,True,0.08939213349224563,eod,955
2026-01-02,AMZZ,9,600,32.03,False,False,True,-1.110443334374025,stop,610
2026-01-02,AMZZ,10,660,29.97,False,True,True,0.38371705038371823,eod,955
2026-01-02,AMZZ,11,725,30.0705,False,True,True,0.21532731414509218,eod,955
2026-01-02,AMZZ,12,781,30.0889,False,False,True,0.1846195773192116,eod,955
2026-01-02,AMZZ,13,841,29.8937,False,False,True,0.5123153038934621,eod,955
2026-01-02,APLX,9,600,57.0585,True,False,True,-1.0489999999999997,stop,623
2026-01-02,APLX,10,660,61.69,True,False,True,2.9870319338628586,eod,957
2026-01-02,APLX,11,720,63.09,True,True,True,1.8112220637184926,eod,957
2026-01-02,APLX,12,780,65.47,True,True,True,-0.07224683060943947,eod,957
2026-01-02,APLX,14,900,65.19,True,False,True,0.14219972388403204,eod,957
2026-01-02,ARX,9,600,15.75,False,False,False,-1.0490000000000004,stop,953
2026-01-02,ARX,10,660,15.75,False,False,False,-1.0490000000000004,stop,953
2026-01-02,ARX,11,720,15.82,False,False,False,-1.049000000000002,stop,949
2026-01-02,ARX,12,781,15.76,False,False,False,-1.0489999999999973,stop,953
2026-01-02,ARX,13,840,15.66,False,False,False,-0.6704980842911902,eod,955
2026-01-02,ARX,14,900,15.87,False,False,False,-1.0489999999999982,stop,948
2026-01-02,ASA,9,602,60.47,False,False,True,-1.0490000000000013,stop,618
2026-01-02,ASA,10,660,59.595,False,False,True,-1.445532343317386,stop,693
2026-01-02,ASA,11,724,58.5,False,False,True,-1.0490000000000002,stop,849
2026-01-02,ASA,12,780,58.55,False,False,True,-1.0489999999999977,stop,849
2026-01-02,ASA,13,840,57.87,False,False,True,0.24192154829790954,eod,956
2026-01-02,ASA,14,900,57.4,False,True,True,0.6533101045296149,eod,956
2026-01-02,ATEX,9,604,22.1101,False,False,True,-1.2023916671566277,stop,620
2026-01-02,ATEX,10,661,22.245,False,False,True,-0.3259159361654291,eod,955
2026-01-02,ATEX,11,720,22.665,True,True,True,-1.0489999999999995,stop,747
2026-01-02,ATEX,12,780,22.26,True,True,True,-0.35938903863432214,eod,955
2026-01-02,ATEX,13,841,22.17,True,True,True,-0.15787099684258055,eod,955
2026-01-02,ATEX,14,900,22.38,True,False,True,-0.6255585344057122,eod,955
2026-01-02,AVAH,9,600,8.105,False,False,True,-1.0668723010487293,stop,621
2026-01-02,AVAH,10,660,7.78,False,False,True,1.7673521850899738,eod,955
2026-01-02,AVAH,11,720,7.8,False,False,True,1.634615384615387,eod,955
2026-01-02,AVAH,12,780,7.745,False,False,True,2.001291155584239,eod,955
2026-01-02,AVAH,13,840,7.795,False,False,True,1.6677357280307883,eod,955
2026-01-02,AVAH,14,900,8.0,False,True,True,0.34374999999999795,eod,955
2026-01-02,BABX,9,600,39.43,False,True,True,1.318285569363425,eod,955
2026-01-02,BABX,10,660,39.75,False,True,True,0.9051572327044003,eod,955
2026-01-02,BABX,11,720,40.35,False,True,True,0.14820322180916734,eod,955
2026-01-02,BABX,12,781,40.68,False,True,True,-0.25860373647984225,eod,955
2026-01-02,BABX,13,840,40.3635,False,True,True,0.13143062420255616,eod,955
2026-01-02,BABX,14,900,40.65,False,False,True,-0.22189421894218728,eod,955
2026-01-02,BEKE,9,600,15.85,False,True,True,0.6151419558359683,eod,955
2026-01-02,BEKE,10,660,15.905,False,False,True,0.44011317195851185,eod,955
2026-01-02,BEKE,11,720,15.99,False,False,True,0.17198248905566405,eod,955
2026-01-02,BEKE,12,780,16.0,False,False,True,0.1406250000000052,eod,955
2026-01-02,BEKE,13,840,15.98,False,False,True,0.2033792240300419,eod,955
2026-01-02,BEKE,14,900,16.125,False,True,True,-0.24806201550387086,eod,955
2026-01-02,BERZ,9,600,2.68,False,False,True,2.985074626865673,eod,955
2026-01-02,BERZ,10,660,2.85,False,False,True,-0.1754385964912323,eod,955
