day,symbol,hour,entry_m,entry,gate5,f_hrv3,f_sus,f_abs,f_mir,price,rr_bare,why_bare,exitm_bare,rr_tgt,why_tgt,exitm_tgt,rr_lock,why_lock,exitm_lock
2025-05-01,AAON,12,780,95.095,False,True,False,True,False,95.095,1.0489510489510525,eod,955,1.0489510489510525,eod,955,1.0489510489510525,eod,955
2025-05-01,AEIS,10,660,113.105,False,True,False,False,True,113.105,-1.0489999999999975,stop,836,-1.0489999999999975,stop,836,-1.0489999999999975,stop,836
2025-05-01,AEIS,11,722,112.1,False,False,True,False,False,112.1,-1.049000000000001,stop,862,-1.049000000000001,stop,862,-1.049000000000001,stop,862
2025-05-01,AEIS,12,780,111.96,False,True,True,True,False,111.96,-1.0490000000000024,stop,863,-1.0490000000000024,stop,863,-1.0490000000000024,stop,863
2025-05-01,AEIS,13,840,111.17,False,False,True,False,False,111.17,-1.0489999999999982,stop,951,-1.0489999999999982,stop,951,-1.0489999999999982,stop,951
2025-05-01,AGI,9,600,23.92,False,True,False,False,True,23.92,3.835702341137113,eod,955,2.0,target,657,3.835702341137113,eod,955
2025-05-01,AGI,11,720,25.23,False,False,True,False,False,25.23,1.0404280618311508,eod,955,1.0404280618311508,eod,955,1.0404280618311508,eod,955
2025-05-01,AGI,12,780,25.84,False,True,True,False,True,25.84,-0.164473684210528,eod,955,-0.164473684210528,eod,955,-0.164473684210528,eod,955
2025-05-01,AGI,13,840,25.67,False,False,True,False,False,25.67,0.16556291390727926,eod,955,0.16556291390727926,eod,955,0.16556291390727926,eod,955
2025-05-01,AGI,14,900,25.805,False,False,True,False,False,25.805,-0.09688044952528688,eod,955,-0.09688044952528688,eod,955,-0.09688044952528688,eod,955
2025-05-01,ALGN,9,600,185.14,False,True,False,False,True,185.14,-1.0490000000000013,stop,669,-1.0490000000000013,stop,669,-1.0490000000000013,stop,669
2025-05-01,AMN,9,600,20.765,False,True,False,True,False,20.765,-1.0490000000000013,stop,874,-1.0490000000000013,stop,874,-1.0490000000000013,stop,874
