day,symbol,hour,entry_m,entry,gate5,f_hrv3,f_sus,f_abs,f_mir,price,rr_bare,why_bare,exitm_bare,rr_tgt,why_tgt,exitm_tgt,rr_lock,why_lock,exitm_lock
2025-03-03,MESO,14,900,15.43,False,True,True,True,False,15.43,-0.0972132209980536,eod,955,-0.0972132209980536,eod,955,-0.0972132209980536,eod,955
2025-03-03,MTUS,13,840,14.1631,False,True,False,False,True,14.1631,-1.0489999999999977,stop,911,-1.0489999999999977,stop,911,-1.0489999999999977,stop,911
2025-03-03,NBR,13,840,38.6,False,True,False,False,True,38.6,-1.1499352331606292,stop,893,-1.1499352331606292,stop,893,-1.1499352331606292,stop,893
2025-03-03,NESR,9,600,8.34,False,True,False,False,False,8.34,-1.0489999999999993,stop,902,-1.0489999999999993,stop,902,-1.0489999999999993,stop,902
2025-03-03,NVDY,13,840,17.06,False,True,False,True,False,17.06,-1.0489999999999986,stop,910,-1.0489999999999986,stop,910,-1.0489999999999986,stop,910
2025-03-03,ONC,9,600,243.02,False,True,False,False,True,243.02,0.11933174224343351,eod,955,0.11933174224343351,eod,955,0.11933174224343351,eod,955
2025-03-03,PAHC,9,600,23.96,False,True,False,False,True,23.96,1.1268781302170296,eod,955,1.1268781302170296,eod,955,1.1268781302170296,eod,955
2025-03-03,PLTK,11,720,5.13,False,False,True,False,False,5.13,-0.3898635477582857,eod,955,-0.3898635477582857,eod,955,-0.3898635477582857,eod,955
2025-03-03,PMVP,12,783,1.4,True,True,False,False,True,1.4,-1.1203571428571382,stop,900,-1.1203571428571382,stop,900,-1.1203571428571382,stop,900
2025-03-03,PUBM,10,660,10.72,False,True,False,False,False,10.72,-1.0490000000000006,stop,808,-1.0490000000000006,stop,808,-1.0490000000000006,stop,808
2025-03-03,PUBM,11,720,10.7,False,False,True,False,False,10.7,-1.0490000000000008,stop,809,-1.0490000000000008,stop,809,-1.0490000000000008,stop,809
2025-03-03,RCS,10,661,6.3902,False,True,False,False,True,6.3902,0.3896591655973224,eod,955,0.3896591655973224,eod,955,0.3896591655973224,eod,955
2025-03-03,RCS,11,720,6.54,False,True,False,False,True,6.54,-1.0887155963302766,stop,789,-1.0887155963302766,stop,789,-1.0887155963302766,stop,789
2025-03-03,RCS,12,780,6.4301,False,False,True,False,False,6.4301,0.07698169546352335,eod,955,0.07698169546352335,eod,955,0.07698169546352335,eod,955
2025-03-03,SA,12,784,10.86,False,True,False,True,False,10.86,-1.1078729281767927,stop,902,-1.1078729281767927,stop,902,-1.1078729281767927,stop,902
2025-03-03,SA,14,900,10.66,False,False,True,False,False,10.66,0.6566604127579748,eod,955,0.6566604127579748,eod,955,0.6566604127579748,eod,955
2025-03-03,SHC,10,660,12.165,False,True,False,True,False,12.165,-1.049000000000001,stop,698,-1.049000000000001,stop,698,-1.049000000000001,stop,698
2025-03-03,SKWD,14,900,53.46,False,True,False,False,False,53.46,0.4863449307893705,eod,955,0.4863449307893705,eod,955,0.4863449307893705,eod,955
2025-03-03,SMRT,11,720,1.315,True,True,False,False,False,1.315,-1.048999999999997,stop,745,-1.048999999999997,stop,745,-1.048999999999997,stop,745
2025-03-03,SMRT,12,780,1.295,True,True,True,False,False,1.295,-0.7722007722007719,eod,955,-0.7722007722007719,eod,955,-0.7722007722007719,eod,955
2025-03-03,STGW,10,661,6.4,False,True,False,True,False,6.4,-1.0490000000000004,stop,892,-1.0490000000000004,stop,892,-1.0490000000000004,stop,892
2025-03-03,STNG,13,840,39.64,False,True,False,False,False,39.64,-0.4919273461150362,eod,955,-0.4919273461150362,eod,955,-0.4919273461150362,eod,955
2025-03-03,TCPC,13,840,8.18,False,True,False,False,False,8.18,-0.03056234718825786,eod,955,-0.03056234718825786,eod,955,-0.03056234718825786,eod,955
2025-03-03,TEN,13,840,15.95,False,True,False,False,True,15.95,-0.37617554858933827,eod,955,-0.37617554858933827,eod,955,-0.37617554858933827,eod,955
2025-03-03,TRDA,9,600,11.72,False,True,False,False,False,11.72,-1.1154863481228596,stop,672,-1.1154863481228596,stop,672,-1.1154863481228596,stop,672
2025-03-03,TRDA,12,780,11.7775,False,True,False,False,True,11.7775,-1.0489999999999993,stop,895,-1.0489999999999993,stop,895,-1.0489999999999993,stop,895
2025-03-03,TRDA,13,840,11.975,False,True,False,False,False,11.975,-1.238789144050106,stop,864,-1.238789144050106,stop,864,-1.238789144050106,stop,864
2025-03-03,TRDA,14,901,11.47,False,True,True,False,True,11.47,-0.5666957279860538,eod,955,-0.5666957279860538,eod,955,-0.5666957279860538,eod,955
2025-03-03,TRUP,11,720,34.75,False,True,False,True,False,34.75,-1.049000000000003,stop,807,-1.049000000000003,stop,807,-1.049000000000003,stop,807
2025-03-03,TYRA,10,660,11.68,False,True,False,False,True,11.68,-1.0490000000000022,stop,798,-1.0490000000000022,stop,798,-1.0490000000000022,stop,798
2025-03-03,UCO,13,840,25.4001,False,True,False,False,True,25.4001,-0.23641639206144255,eod,955,-0.23641639206144255,eod,955,-0.23641639206144255,eod,955
2025-03-03,URNM,12,780,33.35,False,True,False,False,False,33.35,-1.048999999999998,stop,911,-1.048999999999998,stop,911,-1.048999999999998,stop,911
2025-03-03,URNM,13,840,33.26,False,True,False,True,False,33.26,-1.0489999999999975,stop,921,-1.0489999999999975,stop,921,-1.0489999999999975,stop,921
2025-03-03,URNM,14,900,32.9,False,False,True,False,False,32.9,-0.44072948328267264,eod,955,-0.44072948328267264,eod,955,-0.44072948328267264,eod,955
2025-03-03,VIST,13,840,49.645,False,True,False,False,True,49.645,-0.25682344646993943,eod,955,-0.25682344646993943,eod,955,-0.25682344646993943,eod,955
2025-03-04,ABUS,9,600,3.46,False,True,False,False,True,3.46,-1.0605491329479757,stop,677,-1.0605491329479757,stop,677,-1.0605491329479757,stop,677
2025-03-04,ABUS,10,660,3.42,True,True,False,False,False,3.42,-0.36549707602339043,eod,955,-0.36549707602339043,eod,955,-0.36549707602339043,eod,955
2025-03-04,ACHV,12,781,2.97,False,True,False,False,True,2.97,-0.33670033670033633,eod,955,-0.33670033670033633,eod,955,-0.33670033670033633,eod,955
2025-03-04,ADSE,13,840,14.43,False,True,False,False,True,14.43,0.485100485100486,eod,955,0.485100485100486,eod,955,0.485100485100486,eod,955
2025-03-04,AEIS,10,660,104.58,False,True,False,True,False,104.58,1.0972461273666103,eod,955,1.0972461273666103,eod,955,1.0972461273666103,eod,955
2025-03-04,ALTG,11,720,4.755,False,True,False,True,False,4.755,-0.21030494216613552,eod,955,-0.21030494216613552,eod,955,-0.21030494216613552,eod,955
2025-03-04,ALTG,12,780,4.7539,False,False,True,False,False,4.7539,-0.19878415616651038,eod,955,-0.19878415616651038,eod,955,-0.19878415616651038,eod,955
