cell,h,n,TRAIN_n,TRAIN_pct,TRAIN_R,TRAIN_t,TRAIN_mde,TRAIN_ex5,TRAIN_wrap,VAL_n,VAL_pct,VAL_R,VAL_t,VAL_mde,VAL_ex5,VAL_wrap,h1,h2,name,TRAIN_excess,VAL_excess,bk_TRAIN_n,bk_TRAIN_wk,bk_TRAIN_green,bk_TRAIN_total,bk_TRAIN_worst,bk_TRAIN_streak,bk_TRAIN_null95,bk_VAL_n,bk_VAL_wk,bk_VAL_green,bk_VAL_total,bk_VAL_worst,bk_VAL_streak,bk_VAL_null95
B1,1,111770,76161,0.11201444954422633,0.056007224772113166,0.4430064327727272,0.3244635167935806,-0.5553448066018108,0.34306272239072494,35609,0.01862589399428222,0.00931294699714111,0.13077166493851633,0.46075730184342256,-0.6290528059021818,0.3767025190260889,0.1404823195430446,0.07928206417341131,interest5 >= 3,0.07678231295002001,-0.06122018186512303,1000,18.867924528301888,50.943396226415096,1072.1407130264681,-4465.671060001701,4,58.490566037735846,404,17.565217391304348,47.82608695652174,3085.8197428826297,-3013.033178766188,5,60.86956521739131
B2,2,111501,76161,0.23451501246601328,0.11725750623300664,1.1313635588137652,0.41881760222441516,-0.5941332128064662,0.34306272239072494,35340,0.007477947591534974,0.003738973795767487,0.04016617963310056,0.6172707419932729,-0.8833416187109693,0.376966610073571,0.3282582068218349,0.12672899392393988,interest5 >= 3,0.16623493821753252,-0.14332795249973668,500,9.433962264150944,60.37735849056604,13556.434531915018,-3455.15908277045,5,66.0377358490566,200,8.695652173913043,39.130434782608695,2896.604029150569,-2270.8282207549637,6,60.86956521739131
B3,5,110806,76161,0.2931846017927168,0.1465923008963584,1.1327458509529549,0.6135460337757321,-0.9482431624789339,0.34306272239072494,34645,-0.06739061061128959,-0.03369530530564479,-0.2898271405718362,0.8935314240067509,-1.345129767132455,0.37702410160196276,0.37610544181791844,0.19784213707409645,interest5 >= 3,0.10722900621465065,-0.3771214645253372,200,3.7735849056603774,50.943396226415096,6287.795873526788,-4249.46909440069,6,58.490566037735846,80,3.4782608695652173,43.47826086956522,-5123.354929388494,-3163.4126780120882,4,52.17391304347826
B4,5,36031,24861,0.27269716569809677,0.13634858284904838,0.8082722023684973,0.7755752770277622,-1.214890573206421,0.33570652829733316,11170,-0.09474234309291682,-0.04737117154645841,-0.33956736649645947,1.0200492974496658,-1.5459591690059515,0.3684870188003581,0.3440079592400057,0.1790756270932575,interest5 >= 4,0.08674157012003059,-0.4044731970069644,200,3.7735849056603774,50.943396226415096,6287.795873526788,-4249.46909440069,6,58.490566037735846,80,3.4782608695652173,43.47826086956522,-5123.354929388494,-3163.4126780120882,4,52.17391304347826
B5,5,40688,27921,0.12643195771376772,0.06321597885688386,1.289735279966067,0.2970202594026361,-0.4902639014980317,0.5174599763618781,12767,0.21653898786164055,0.10826949393082028,1.5115190315065317,0.5231368733247903,-0.4742250595841371,0.5583144043236469,0.07435873075762232,0.17741632714566707,V3xV4 interest5>=3 & |ret5|<=3%,-0.059523637864298456,-0.09319186605240704,200,3.7735849056603774,47.16981132075472,-426.8951900442903,-2273.965039247111,3,52.83018867924528,80,3.4782608695652173,39.130434782608695,-369.69379959022035,-2281.252396249608,3,47.82608695652174
B6,2,40948,27921,0.08591024255137464,0.04295512127568732,1.0179250866420462,0.19627074699302005,-0.3080032212295411,0.5174599763618781,13027,0.07901091966541998,0.039505459832709984,0.7764484633789029,0.3485707199352413,-0.3778340606884185,0.5594534428494665,0.06964819091325267,0.10183225270712873,V3xV4 interest5>=3 & |ret5|<=3%,0.017630168302893878,-0.07179498042585167,500,9.433962264150944,50.943396226415096,1990.538431404873,-2062.538024306055,3,58.490566037735846,200,8.695652173913043,69.56521739130434,11600.189699596616,-970.4368407025372,1,73.91304347826086
B7,2,64908,45419,0.18136710144567872,0.09068355072283936,0.6618891882927543,0.3784970617672687,-0.560811362816104,0.3599374711024021,19489,0.4597615154750639,0.22988075773753194,1.5805727386143829,0.604089638036,-0.4007499142810693,0.3579455077223049,-0.03192104228223141,0.39492778785559407,V5 accumulation on weakness,0.11308702719719796,0.30895561538379224,500,9.433962264150944,49.056603773584904,4560.279334532114,-5978.837169509138,5,58.490566037735846,200,8.695652173913043,47.82608695652174,-3549.411147329135,-3258.8404541953837,5,56.52173913043478
B8,1,40295,27851,-0.05431730828909378,-0.02715865414454689,-0.44918293072465704,0.4682377029508909,-0.8141495474858857,0.4704319414024631,12444,0.02657785816772295,0.013288929083861475,0.1743410787123206,0.6020560218826193,-0.7633644424207283,0.5154291224686596,-0.08463264891923984,-0.023075886605868855,CONTROL rvd >= 3 single-session spike,-0.0895494448833001,-0.053268217691682294,1000,18.867924528301888,24.528301886792452,-35540.63637953308,-6278.214722595573,11,41.509433962264154,404,17.565217391304348,34.78260869565217,-14792.495688161402,-5439.067062805685,2,47.82608695652174
