cell,name,split,n_keep,n_rej,rr_keep,rr_rej,delta,clust_t,mde,wrap_keep,wrap_base,d_raw,t_raw,bk_n,bk_wk,bk_gross,bk_net,bk_green,bk_total,bk_worst,bk_streak,null_p95,h1,h2
A1,V1 hrv >= 2 at the signal hour,TRAIN,30,698,-0.7207704438830134,-0.019929114672987004,-0.7008413292100264,-4.388894578208143,0.15558022861128892,0.2,0.4326923076923077,-0.6530348577691865,-4.988650379202751,88,1.6603773584905661,-0.6754398200658887,-0.7509302877277364,13.20754716981132,-6608.18653200408,-648.6789356126507,6,13.20754716981132,-0.7082351471206115,-0.7371627550338462
A1,V1 hrv >= 2 at the signal hour,VAL,21,233,-0.5102559905859273,0.012042481959318193,-0.5222984725452455,-2.429227993051264,0.2544234144014905,0.047619047619047616,0.38188976377952755,-0.2961287162464953,-1.1922095211052521,71,3.0869565217391304,-0.5487346731760024,-0.6276532533438447,13.043478260869565,-4456.338098741297,-777.4574883660978,9,21.73913043478261,,
A2,V1 hrv >= 3 at the signal hour,TRAIN,12,716,-0.7852751384785915,-0.036466946503480785,-0.7488081919751104,-3.4573265394233896,0.15558022861128892,0.08333333333333333,0.4326923076923077,-0.7748300671658911,-4.257099169570511,34,0.6415094339622641,-0.7707908177898868,-0.867260742957883,3.7735849056603774,-2948.6865260568024,-574.2148317377606,2,7.547169811320755,-1.0604832263289596,-0.5886979328711855
A2,V1 hrv >= 3 at the signal hour,VAL,12,242,-0.3439019089866408,-0.01563080412373406,-0.3282711048629068,-1.145102095494051,0.2544234144014905,0.0,0.38188976377952755,-0.06961286493863836,-0.2089752034489208,32,1.391304347826087,-0.6559167918303752,-0.7461663924483359,4.3478260869565215,-2387.732455834675,-351.83813858051246,5,13.043478260869565,,
A3,V2 sustained hrv>=2 over 2 hours,TRAIN,3,725,-0.23096700240552556,-0.04805618531175,-0.18291081709377544,-0.2624313289239165,0.15558022861128892,0.0,0.4326923076923077,-0.6530348577691865,-4.988650379202751,15,0.2830188679245283,-0.5016433205331817,-0.5697906830733096,3.7735849056603774,-854.6860246099644,-318.64527298567344,1,7.547169811320755,-1.0894088148043546,0.19825390379388885
A3,V2 sustained hrv>=2 over 2 hours,VAL,6,248,-0.07502672639250206,-0.030077891723501306,-0.044948834669000765,-0.10102254679360945,0.2544234144014905,0.0,0.38188976377952755,-0.2961287162464953,-1.1922095211052521,15,0.6521739130434783,-0.3431713893989621,-0.42186328508560533,13.043478260869565,-632.794927628408,-235.66152666853202,3,17.391304347826086,,
A4,V2 sustained hrv>=2 over 3 hours,TRAIN,2,726,0.1880694963917121,-0.04946249910608644,,,0.15558022861128892,0.0,0.4326923076923077,-0.6530348577691865,-4.988650379202751,4,0.07547169811320754,-0.45160074176081033,-0.5324834190014559,1.8867924528301887,-212.99336760058242,-121.48019816143754,1,,-1.0894088148043546,1.4655478075877788
A4,V2 sustained hrv>=2 over 3 hours,VAL,3,251,-0.4722293754892391,-0.025867686770181742,-0.4463616887190574,-0.9246429977999416,0.2544234144014905,0.0,0.38188976377952755,-0.2961287162464953,-1.1922095211052521,7,0.30434782608695654,-0.369169458679845,-0.46253313876920943,4.3478260869565215,-323.7731971384466,-138.4061646924203,2,8.695652173913043,,
A5,V3 interest5 >= 3 (prior close),TRAIN,234,1388,-0.1862318164294437,-0.014130804043501762,-0.1721010123859418,-1.9581072106627333,0.10860483689271455,0.42735042735042733,0.38286066584463624,,,484,9.132075471698114,-0.05779395430818468,-0.1272088345048831,41.509433962264154,-6156.907590036342,-1076.9923512458727,6,49.056603773584904,-0.21002432780355862,-0.15799210666764382
A5,V3 interest5 >= 3 (prior close),VAL,96,610,0.04464034658379449,0.08871324576393286,-0.04407289918013837,-0.33305816431405666,0.16490036658662086,0.3958333333333333,0.3909348441926346,,,283,12.304347826086957,-0.008636253256091252,-0.0779926144783459,47.82608695652174,-2207.1909897371897,-965.3112075668913,3,52.17391304347826,,
A6,V3 rvd_1 >= 1.5 (prior session),TRAIN,456,1166,-0.06949122908948811,-0.027018696905714994,-0.04247253218377294,-0.5612943599531605,0.10860483689271455,0.3092105263157895,0.38286066584463624,,,801,15.11320754716981,-0.04562958461332551,-0.1154813844283503,26.41509433962264,-9250.058892710858,-1681.4506246496385,10,49.056603773584904,0.011227577062803055,-0.15684445766525526
A6,V3 rvd_1 >= 1.5 (prior session),VAL,208,498,-0.00817292606221853,0.12068377873290113,-0.12885670479511968,-1.3589585988903707,0.16490036658662086,0.2980769230769231,0.3909348441926346,,,436,18.956521739130434,0.06470584071101755,-0.007109341214848772,47.82608695652174,-309.9672769674064,-1299.5555776887895,4,65.21739130434783,,
A7,V4 absorption hrv>=2 & |hour ret| <= 1%,TRAIN,4,724,-0.7052735634711276,-0.045183067823688985,-0.6600904956474386,-1.6853975225514568,0.15558022861128892,0.5,0.4326923076923077,-0.6530348577691865,-4.988650379202751,22,0.41509433962264153,-0.8551030497749839,-0.9362468640669264,0.0,-2059.743100947238,-619.3595390397353,3,5.660377358490567,-0.5860692967493817,-1.0628863636363652
