field,cov,miss_win,miss_los,verdict
hrv,16.45189003436426,91.4466737064414,78.1317885590152,VOID
hrv_raw,16.709621993127147,91.4466737064414,77.697320782042,VOID
hour_ret,17.56872852233677,90.91869060190075,76.61115133960898,VOID
p_interest5,94.88831615120274,5.068637803590286,5.141202027516292,ok
p_rvd,94.88831615120274,5.068637803590286,5.141202027516292,ok
p_weak,98.06701030927834,2.0063357972544877,1.8826937002172341,ok
tape_ok,100.0,0.0,0.0,ok
