day,symbol,hour,entry_m,entry,gate5,is_sig,sig_day,rr_bare,why_bare,exitm_bare
2025-01-07,MGTX,10,662,6.62,False,False,False,-1.0489999999999984,stop,823
2025-01-07,MGTX,11,720,6.53,False,False,False,-1.049000000000002,stop,921
2025-01-07,MGTX,12,784,6.56,False,False,False,-1.1160060975609776,stop,916
2025-01-07,MGTX,13,840,6.43,False,False,False,-0.7776049766718449,eod,955
2025-01-07,MGTX,14,901,6.45,False,False,False,-1.0567441860465046,stop,943
2025-01-07,MYO,9,604,6.75,False,False,False,1.1111111111111156,eod,955
2025-01-07,MYO,10,660,7.1,False,False,False,-1.049,stop,941
2025-01-07,MYO,11,720,7.071,False,False,False,-1.049000000000003,stop,942
2025-01-07,MYO,12,780,7.065,False,False,False,-1.0489999999999982,stop,942
2025-01-07,MYO,13,840,7.055,False,False,False,-1.0489999999999986,stop,942
2025-01-07,MYO,14,900,7.0626,False,False,False,-1.0489999999999977,stop,942
2025-01-07,NIPG,9,601,7.35,False,False,True,-1.0489999999999973,stop,603
2025-01-07,NIPG,10,665,7.2,False,False,True,-0.20833333333333487,eod,957
2025-01-07,NIPG,14,901,7.17,False,False,True,0.0,eod,957
2025-01-07,POWL,9,600,245.0,False,False,False,-1.0490000000000024,stop,604
2025-01-07,POWL,10,660,239.77,False,False,False,-0.5776369020311152,eod,955
2025-01-07,POWL,11,724,239.16,False,False,False,-0.4515805318615152,eod,955
2025-01-07,POWL,12,780,238.83,False,False,False,-0.38311769878156254,eod,955
2025-01-07,POWL,13,840,240.17,False,False,False,-0.6599492026481202,eod,955
2025-01-07,POWL,14,900,239.25,False,False,False,-0.47021943573667746,eod,955
2025-01-07,RAIL,9,605,10.13,False,False,False,-1.1347976307996046,stop,638
2025-01-07,RAIL,10,660,9.91,False,False,False,2.1695257315842578,eod,955
2025-01-07,RAIL,11,721,10.28,False,False,False,0.29182879377432086,eod,955
2025-01-07,RAIL,12,780,10.315,False,False,False,0.12118274357731597,eod,955
2025-01-07,RAIL,13,841,10.33,False,False,False,0.04840271055178989,eod,955
2025-01-07,RAIL,14,901,10.37,False,False,False,-0.14464802314368075,eod,955
2025-01-07,SDA,9,601,9.23,False,False,True,-1.0489999999999988,stop,648
2025-01-07,SDA,10,660,9.1,False,False,True,0.38461538461538536,eod,955
2025-01-07,SDA,12,780,9.28,False,True,True,-0.5926724137930975,eod,955
2025-01-07,SDA,13,840,9.295,False,False,True,-0.672404518558364,eod,955
2025-01-07,SDA,14,900,9.3,False,False,True,-0.6989247311828001,eod,955
2025-01-07,SHAK,9,600,132.34,False,False,False,-1.0489999999999964,stop,631
2025-01-07,SHAK,10,660,130.87,False,False,False,0.6609612592649146,eod,955
2025-01-07,SHAK,11,720,129.19,False,False,False,1.3197615914544474,eod,955
2025-01-07,SHAK,12,780,132.47,False,False,False,0.049067713444551506,eod,955
2025-01-07,SHAK,13,840,132.615,False,False,False,-0.00565546883837228,eod,955
2025-01-07,SHAK,14,900,133.195,False,False,False,-0.2233567326100815,eod,955
2025-01-07,SKRE,13,840,13.49,False,False,True,-0.08450704225352168,eod,956
2025-01-07,SKRE,14,900,13.515,False,True,True,-0.17684054753977207,eod,956
2025-01-07,SNCY,9,600,15.95,True,False,False,-1.0490000000000026,stop,609
2025-01-07,SNCY,10,660,15.77,True,False,False,0.6341154090044415,eod,955
2025-01-07,SNCY,11,720,15.68,True,False,False,0.9247448979591837,eod,955
2025-01-07,SNCY,12,781,15.7,True,False,False,0.8598726114649723,eod,955
2025-01-07,SNCY,13,840,15.85,True,False,False,0.37854889589905655,eod,955
2025-01-07,SNCY,14,900,15.95,True,False,False,0.06269592476489436,eod,955
2025-01-07,TARA,9,600,6.01,True,False,True,-1.0490000000000022,stop,618
2025-01-07,TARA,10,660,5.88,True,False,True,0.6802721088435358,eod,955
2025-01-07,TARA,11,723,5.96,True,False,True,0.0,eod,955
2025-01-07,TARA,12,780,6.05,True,False,True,-1.0490000000000004,stop,937
2025-01-07,TARA,13,840,6.1125,True,True,True,-1.0489999999999997,stop,934
