key,exit,window,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,note
"F5 {""K"": 5, ""X"": 0.04}",hold,>=10:00,TRAIN,2207.0,41.6,-0.085,0.0511,-1.66,26.7,-3.53,0.34,-28.3,2207,41.6,-0.168,0.0514,-3.27,26.4,-6.99,0.25,-31.6,0.677,0.0,0.323,1731.0,32.7,-0.165,0.0405,-4.08,30.0,-5.4,0.3,-19.6,
"F5 {""K"": 5, ""X"": 0.04}",hold,>=10:00,VAL,843.0,38.3,0.039,0.0717,0.54,31.7,1.49,0.5,-25.1,843,38.3,-0.046,0.0722,-0.64,31.1,-1.78,0.41,-29.3,0.633,0.0,0.367,734.0,33.4,-0.105,0.0612,-1.72,32.3,-3.52,0.36,-26.3,
"F5 {""K"": 5, ""X"": 0.04}",hold,>=10:30,TRAIN,1890.0,35.7,-0.102,0.0457,-2.24,28.5,-3.65,0.38,-23.1,1890,35.7,-0.182,0.0461,-3.94,28.1,-6.48,0.32,-26.3,0.654,0.0,0.346,1376.0,26.0,-0.145,0.0477,-3.03,30.9,-3.75,0.34,-23.9,
"F5 {""K"": 5, ""X"": 0.04}",hold,>=10:30,VAL,774.0,35.2,0.056,0.0733,0.76,32.7,1.95,0.59,-17.8,774,35.2,-0.032,0.0739,-0.43,32.3,-1.11,0.5,-21.4,0.612,0.0,0.388,620.0,28.2,-0.099,0.0691,-1.43,31.9,-2.78,0.5,-23.5,
"F5 {""K"": 5, ""X"": 0.04}",hold,09:30-10:00,TRAIN,1296.0,24.5,0.052,0.0583,0.89,30.5,1.27,0.51,-20.8,1296,24.5,-0.03,0.0586,-0.52,30.1,-0.74,0.43,-23.2,0.623,0.0,0.377,1066.0,20.1,-0.049,0.0608,-0.81,31.8,-0.99,0.43,-20.3,
"F5 {""K"": 5, ""X"": 0.04}",hold,09:30-10:00,VAL,526.0,23.9,0.158,0.0957,1.66,35.7,3.79,0.55,-16.1,526,23.9,0.073,0.0963,0.76,35.6,1.76,0.45,-19.1,0.576,0.0,0.424,496.0,22.5,0.009,0.0766,0.11,36.1,0.19,0.45,-18.2,
"F5 {""K"": 5, ""X"": 0.04}",2r,ALL,TRAIN,2688.0,50.7,-0.083,0.0259,-3.21,35.2,-4.22,0.32,-40.0,2688,50.7,-0.172,0.0259,-6.62,35.0,-8.71,0.21,-44.9,0.59,0.249,0.161,2321.0,43.8,-0.123,0.0269,-4.58,36.0,-5.38,0.23,-24.9,
"F5 {""K"": 5, ""X"": 0.04}",2r,ALL,VAL,1073.0,48.8,0.016,0.0415,0.38,40.4,0.76,0.55,-19.6,1073,48.8,-0.078,0.0415,-1.88,40.1,-3.82,0.41,-24.3,0.544,0.267,0.189,969.0,44.0,-0.078,0.0424,-1.85,38.0,-3.45,0.45,-24.7,
"F5 {""K"": 5, ""X"": 0.04}",2r,>=10:00,TRAIN,2660.0,50.2,-0.141,0.0261,-5.4,33.5,-7.07,0.19,-22.7,2660,50.2,-0.23,0.0262,-8.79,33.2,-11.54,0.13,-28.0,0.617,0.243,0.14,2025.0,38.2,-0.145,0.0292,-4.96,35.3,-5.53,0.25,-17.7,
"F5 {""K"": 5, ""X"": 0.04}",2r,>=10:00,VAL,1098.0,49.9,0.007,0.0423,0.16,38.5,0.34,0.45,-12.9,1098,49.9,-0.088,0.0423,-2.07,38.3,-4.37,0.36,-18.1,0.579,0.293,0.128,898.0,40.8,-0.093,0.0449,-2.07,37.4,-3.8,0.36,-24.3,
"F5 {""K"": 5, ""X"": 0.04}",2r,>=10:30,TRAIN,2273.0,42.9,-0.116,0.0284,-4.07,34.7,-4.95,0.32,-26.3,2273,42.9,-0.202,0.0284,-7.1,34.4,-8.65,0.17,-29.9,0.597,0.246,0.157,1521.0,28.7,-0.145,0.0334,-4.34,35.8,-4.15,0.32,-22.1,
"F5 {""K"": 5, ""X"": 0.04}",2r,>=10:30,VAL,1010.0,45.9,0.004,0.0443,0.09,38.6,0.19,0.45,-16.5,1010,45.9,-0.092,0.0444,-2.07,38.4,-4.22,0.27,-20.8,0.565,0.294,0.141,723.0,32.9,-0.115,0.0496,-2.32,36.9,-3.78,0.41,-21.2,
"F5 {""K"": 5, ""X"": 0.04}",2r,09:30-10:00,TRAIN,1390.0,26.2,-0.046,0.0356,-1.28,36.3,-1.2,0.43,-20.2,1390,26.2,-0.137,0.0357,-3.83,36.0,-3.59,0.3,-22.4,0.573,0.253,0.175,1105.0,20.8,-0.137,0.0381,-3.6,36.2,-2.86,0.23,-15.0,
"F5 {""K"": 5, ""X"": 0.04}",2r,09:30-10:00,VAL,572.0,26.0,0.087,0.0561,1.55,42.7,2.26,0.59,-12.6,572,26.0,-0.009,0.0562,-0.16,42.5,-0.23,0.45,-15.3,0.516,0.273,0.212,506.0,23.0,0.007,0.0587,0.12,40.9,0.16,0.55,-16.6,
F6 {},hold,ALL,TRAIN,1242.0,23.4,0.084,0.0379,2.21,45.8,1.96,0.62,-11.2,1242,23.4,0.051,0.038,1.34,44.4,1.2,0.57,-12.1,0.262,0.0,0.738,1194.0,22.5,0.069,0.0353,1.95,45.6,1.55,0.64,-11.7,
F6 {},hold,ALL,VAL,536.0,24.4,0.197,0.066,2.99,48.3,4.81,0.77,-7.2,536,24.4,0.163,0.0663,2.46,47.9,3.97,0.68,-8.1,0.284,0.0,0.716,520.0,23.6,0.145,0.0598,2.42,48.8,3.42,0.68,-6.4,
F6 {},hold,>=10:00,TRAIN,1018.0,19.2,0.055,0.0274,2.02,47.0,1.06,0.57,-9.6,1018,19.2,0.036,0.0275,1.31,45.3,0.69,0.55,-10.0,0.139,0.0,0.861,1018.0,19.2,0.033,0.0273,1.2,45.2,0.63,0.57,-10.0,
F6 {},hold,>=10:00,VAL,436.0,19.8,0.122,0.055,2.22,51.6,2.42,0.55,-3.8,436,19.8,0.101,0.055,1.84,50.7,2.0,0.45,-4.3,0.126,0.0,0.874,436.0,19.8,0.092,0.0539,1.7,50.7,1.82,0.45,-4.3,
F6 {},hold,>=10:30,TRAIN,895.0,16.9,0.065,0.0232,2.81,50.1,1.1,0.64,-7.0,895,16.9,0.048,0.0232,2.08,48.5,0.82,0.6,-7.4,0.077,0.0,0.923,894.0,16.9,0.048,0.0232,2.05,48.4,0.8,0.6,-7.4,
F6 {},hold,>=10:30,VAL,406.0,18.5,0.035,0.032,1.1,50.5,0.65,0.55,-6.3,406,18.5,0.016,0.0321,0.49,48.3,0.29,0.45,-6.8,0.096,0.0,0.904,406.0,18.5,0.01,0.032,0.32,47.8,0.19,0.45,-6.8,
F6 {},hold,09:30-10:00,TRAIN,830.0,15.7,0.088,0.0523,1.68,44.6,1.38,0.55,-11.4,830,15.7,0.048,0.0525,0.92,43.4,0.76,0.53,-12.1,0.33,0.0,0.67,766.0,14.5,0.068,0.0492,1.39,44.9,0.99,0.49,-11.3,
F6 {},hold,09:30-10:00,VAL,394.0,17.9,0.239,0.0862,2.77,47.5,4.27,0.82,-9.2,394,17.9,0.2,0.0865,2.31,47.0,3.58,0.77,-10.0,0.332,0.0,0.668,378.0,17.2,0.164,0.0779,2.1,47.6,2.81,0.73,-8.5,
F6 {},2r,ALL,TRAIN,1342.0,25.3,0.061,0.0259,2.37,47.8,1.55,0.62,-10.3,1342,25.3,0.028,0.0259,1.06,46.5,0.7,0.57,-11.3,0.241,0.107,0.651,1280.0,24.2,0.034,0.0252,1.34,46.6,0.82,0.58,-11.7,
F6 {},2r,ALL,VAL,607.0,27.6,0.106,0.0407,2.6,49.3,2.92,0.68,-8.0,607,27.6,0.071,0.0407,1.73,48.8,1.95,0.64,-9.2,0.257,0.125,0.618,580.0,26.4,0.089,0.0406,2.19,49.5,2.34,0.68,-5.7,
F6 {},2r,>=10:00,TRAIN,1044.0,19.7,0.046,0.0236,1.96,47.7,0.91,0.51,-6.2,1044,19.7,0.027,0.0237,1.12,46.1,0.52,0.49,-6.7,0.134,0.051,0.815,1043.0,19.7,0.025,0.0236,1.04,46.0,0.49,0.51,-6.7,
F6 {},2r,>=10:00,VAL,448.0,20.4,0.089,0.0349,2.56,51.1,1.82,0.59,-3.8,448,20.4,0.068,0.0349,1.94,50.2,1.38,0.59,-4.3,0.121,0.049,0.83,447.0,20.3,0.064,0.0344,1.85,50.3,1.29,0.59,-4.3,
F6 {},2r,>=10:30,TRAIN,904.0,17.1,0.066,0.0216,3.05,50.7,1.12,0.62,-5.5,904,17.1,0.049,0.0217,2.25,49.1,0.83,0.58,-5.9,0.075,0.033,0.892,903.0,17.0,0.048,0.0217,2.22,49.1,0.82,0.58,-5.9,
