key,exit,window,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,note
"F8 {""N"": 5}",hold,09:30-10:00,TRAIN,1110.0,20.9,-0.001,0.0384,-0.03,41.4,-0.03,0.51,-13.5,1110,20.9,-0.033,0.0385,-0.85,40.9,-0.69,0.45,-14.5,0.38,0.0,0.62,1104.0,20.8,-0.021,0.0385,-0.53,41.6,-0.43,0.45,-12.6,
"F8 {""N"": 5}",hold,09:30-10:00,VAL,463.0,21.0,0.103,0.0693,1.49,44.9,2.18,0.64,-10.4,463,21.0,0.07,0.0696,1.0,43.8,1.46,0.59,-11.3,0.363,0.0,0.637,462.0,21.0,0.057,0.0688,0.83,43.7,1.19,0.59,-13.8,
"F8 {""N"": 5}",2r,ALL,TRAIN,1589.0,30.0,-0.022,0.0259,-0.84,42.9,-0.65,0.43,-12.7,1589,30.0,-0.056,0.0259,-2.15,42.2,-1.67,0.4,-14.0,0.346,0.118,0.536,1559.0,29.4,-0.045,0.0257,-1.77,42.5,-1.34,0.43,-12.6,
"F8 {""N"": 5}",2r,ALL,VAL,673.0,30.6,0.024,0.0402,0.59,44.9,0.72,0.5,-11.5,673,30.6,-0.012,0.0403,-0.31,43.8,-0.38,0.5,-12.8,0.331,0.122,0.547,653.0,29.7,-0.01,0.04,-0.26,44.3,-0.31,0.5,-13.2,
"F8 {""N"": 5}",2r,>=10:00,TRAIN,1495.0,28.2,-0.046,0.0271,-1.7,42.5,-1.3,0.43,-13.1,1495,28.2,-0.081,0.0272,-2.99,41.8,-2.29,0.38,-14.4,0.334,0.11,0.555,1418.0,26.8,-0.041,0.0271,-1.53,43.2,-1.11,0.4,-12.6,
"F8 {""N"": 5}",2r,>=10:00,VAL,583.0,26.5,0.104,0.043,2.41,49.4,2.75,0.59,-9.5,583,26.5,0.068,0.0431,1.59,48.9,1.81,0.59,-10.7,0.283,0.132,0.585,557.0,25.3,0.076,0.0427,1.78,49.4,1.93,0.64,-6.8,
"F8 {""N"": 5}",2r,>=10:30,TRAIN,1371.0,25.9,-0.08,0.0269,-2.97,40.9,-2.07,0.38,-19.3,1371,25.9,-0.116,0.0271,-4.3,40.2,-3.01,0.34,-20.6,0.327,0.093,0.58,1305.0,24.6,-0.084,0.0263,-3.18,40.9,-2.06,0.36,-18.5,
"F8 {""N"": 5}",2r,>=10:30,VAL,552.0,25.1,0.024,0.0427,0.57,46.4,0.61,0.59,-9.0,552,25.1,-0.012,0.0428,-0.29,46.2,-0.31,0.5,-10.1,0.272,0.114,0.614,524.0,23.8,0.019,0.0421,0.44,47.3,0.44,0.64,-9.2,
"F8 {""N"": 5}",2r,09:30-10:00,TRAIN,1131.0,21.3,-0.024,0.0309,-0.77,42.7,-0.51,0.45,-11.0,1131,21.3,-0.058,0.031,-1.86,42.2,-1.23,0.43,-11.8,0.368,0.119,0.513,1125.0,21.2,-0.046,0.031,-1.5,42.8,-0.98,0.43,-11.8,
"F8 {""N"": 5}",2r,09:30-10:00,VAL,467.0,21.2,0.054,0.0499,1.08,46.0,1.15,0.59,-9.8,467,21.2,0.018,0.05,0.35,44.8,0.38,0.5,-10.7,0.353,0.137,0.51,465.0,21.1,0.008,0.0493,0.17,44.7,0.18,0.55,-10.2,
