key,exit,feat,bucket,split,n,cut_lo,cut_hi,meanR,se,t,WR,nan_share
F6 {},2r,brd,T2 mid,VAL,124,0.911,0.943,0.093,0.0654,1.42,50.8,0.0
F6 {},2r,brd,T3 high,VAL,240,0.911,0.943,0.054,0.0481,1.12,49.2,0.0
"F8 {""N"": 30}",hold,iwm,T1 low,TRAIN,375,-0.226,0.201,0.021,0.0411,0.52,50.9,0.001
"F8 {""N"": 30}",hold,iwm,T2 mid,TRAIN,374,-0.226,0.201,-0.005,0.04,-0.13,47.6,0.001
"F8 {""N"": 30}",hold,iwm,T3 high,TRAIN,374,-0.226,0.201,0.021,0.0413,0.51,47.3,0.001
"F8 {""N"": 30}",hold,iwm,sign -,TRAIN,599,-0.226,0.201,0.018,0.0327,0.56,50.1,0.001
"F8 {""N"": 30}",hold,iwm,sign +,TRAIN,524,-0.226,0.201,0.006,0.034,0.18,46.9,0.001
"F8 {""N"": 30}",hold,iwm,T1 low,VAL,181,-0.226,0.201,-0.015,0.0503,-0.29,55.2,0.0
"F8 {""N"": 30}",hold,iwm,T2 mid,VAL,120,-0.226,0.201,-0.071,0.0641,-1.1,41.7,0.0
"F8 {""N"": 30}",hold,iwm,T3 high,VAL,155,-0.226,0.201,0.053,0.0618,0.86,46.5,0.0
"F8 {""N"": 30}",hold,iwm,sign -,VAL,235,-0.226,0.201,-0.036,0.0435,-0.84,53.6,0.0
"F8 {""N"": 30}",hold,iwm,sign +,VAL,221,-0.226,0.201,0.026,0.0516,0.5,43.4,0.0
"F8 {""N"": 30}",hold,spy,T1 low,TRAIN,376,-0.107,0.108,0.102,0.0439,2.33,55.3,0.0
"F8 {""N"": 30}",hold,spy,T2 mid,TRAIN,375,-0.107,0.108,-0.125,0.032,-3.89,42.4,0.0
"F8 {""N"": 30}",hold,spy,T3 high,TRAIN,373,-0.107,0.108,0.057,0.0443,1.29,48.0,0.0
"F8 {""N"": 30}",hold,spy,sign -,TRAIN,550,-0.107,0.108,0.015,0.0339,0.43,49.6,0.0
"F8 {""N"": 30}",hold,spy,sign +,TRAIN,574,-0.107,0.108,0.009,0.0327,0.26,47.6,0.0
"F8 {""N"": 30}",hold,spy,T1 low,VAL,156,-0.107,0.108,-0.16,0.0549,-2.92,44.2,0.0
"F8 {""N"": 30}",hold,spy,T2 mid,VAL,129,-0.107,0.108,0.065,0.0623,1.04,48.8,0.0
"F8 {""N"": 30}",hold,spy,T3 high,VAL,171,-0.107,0.108,0.08,0.056,1.44,52.6,0.0
"F8 {""N"": 30}",hold,spy,sign -,VAL,197,-0.107,0.108,-0.109,0.0502,-2.17,45.7,0.0
"F8 {""N"": 30}",hold,spy,sign +,VAL,259,-0.107,0.108,0.072,0.0446,1.61,51.0,0.0
"F8 {""N"": 30}",hold,brd,T1 low,TRAIN,375,0.912,0.945,-0.006,0.0398,-0.16,46.9,0.0
"F8 {""N"": 30}",hold,brd,T2 mid,TRAIN,374,0.912,0.945,0.006,0.0402,0.14,49.2,0.0
"F8 {""N"": 30}",hold,brd,T3 high,TRAIN,375,0.912,0.945,0.035,0.0423,0.84,49.6,0.0
"F8 {""N"": 30}",hold,brd,T1 low,VAL,98,0.912,0.945,-0.042,0.0601,-0.7,49.0,0.0
"F8 {""N"": 30}",hold,brd,T2 mid,VAL,137,0.912,0.945,0.062,0.0704,0.88,47.4,0.0
"F8 {""N"": 30}",hold,brd,T3 high,VAL,221,0.912,0.945,-0.033,0.0467,-0.7,49.3,0.0
"F8 {""N"": 30}",2r,iwm,T1 low,TRAIN,382,-0.218,0.204,0.002,0.0368,0.06,50.5,0.001
"F8 {""N"": 30}",2r,iwm,T2 mid,TRAIN,383,-0.218,0.204,-0.002,0.0387,-0.06,47.5,0.001
"F8 {""N"": 30}",2r,iwm,T3 high,TRAIN,382,-0.218,0.204,0.017,0.0363,0.47,49.0,0.001
"F8 {""N"": 30}",2r,iwm,sign -,TRAIN,605,-0.218,0.204,0.004,0.03,0.12,49.9,0.001
"F8 {""N"": 30}",2r,iwm,sign +,TRAIN,542,-0.218,0.204,0.008,0.0309,0.26,48.0,0.001
"F8 {""N"": 30}",2r,iwm,T1 low,VAL,188,-0.218,0.204,-0.006,0.0483,-0.11,56.4,0.0
"F8 {""N"": 30}",2r,iwm,T2 mid,VAL,116,-0.218,0.204,-0.087,0.0656,-1.33,39.7,0.0
"F8 {""N"": 30}",2r,iwm,T3 high,VAL,159,-0.218,0.204,0.054,0.0578,0.93,47.2,0.0
"F8 {""N"": 30}",2r,iwm,sign -,VAL,237,-0.218,0.204,-0.032,0.0429,-0.75,54.0,0.0
"F8 {""N"": 30}",2r,iwm,sign +,VAL,226,-0.218,0.204,0.022,0.0488,0.46,43.8,0.0
"F8 {""N"": 30}",2r,spy,T1 low,TRAIN,383,-0.104,0.111,0.076,0.0383,1.98,55.4,0.0
"F8 {""N"": 30}",2r,spy,T2 mid,TRAIN,385,-0.104,0.111,-0.105,0.0334,-3.13,42.9,0.0
"F8 {""N"": 30}",2r,spy,T3 high,TRAIN,380,-0.104,0.111,0.044,0.0393,1.12,48.7,0.0
"F8 {""N"": 30}",2r,spy,sign -,TRAIN,559,-0.104,0.111,-0.005,0.0307,-0.16,49.4,0.0
"F8 {""N"": 30}",2r,spy,sign +,TRAIN,589,-0.104,0.111,0.014,0.0302,0.46,48.6,0.0
"F8 {""N"": 30}",2r,spy,T1 low,VAL,161,-0.104,0.111,-0.152,0.0538,-2.82,44.1,0.0
"F8 {""N"": 30}",2r,spy,T2 mid,VAL,125,-0.104,0.111,0.05,0.062,0.81,48.8,0.0
"F8 {""N"": 30}",2r,spy,T3 high,VAL,177,-0.104,0.111,0.088,0.0522,1.68,53.7,0.0
"F8 {""N"": 30}",2r,spy,sign -,VAL,198,-0.104,0.111,-0.113,0.0496,-2.28,45.5,0.0
"F8 {""N"": 30}",2r,spy,sign +,VAL,265,-0.104,0.111,0.075,0.0422,1.77,51.7,0.0
"F8 {""N"": 30}",2r,brd,T1 low,TRAIN,383,0.913,0.946,-0.007,0.0378,-0.2,47.0,0.0
"F8 {""N"": 30}",2r,brd,T2 mid,TRAIN,382,0.913,0.946,-0.003,0.0366,-0.09,49.5,0.0
"F8 {""N"": 30}",2r,brd,T3 high,TRAIN,383,0.913,0.946,0.025,0.0374,0.67,50.4,0.0
"F8 {""N"": 30}",2r,brd,T1 low,VAL,98,0.913,0.946,-0.042,0.0601,-0.7,49.0,0.0
"F8 {""N"": 30}",2r,brd,T2 mid,VAL,142,0.913,0.946,0.051,0.064,0.8,48.6,0.0
"F8 {""N"": 30}",2r,brd,T3 high,VAL,223,0.913,0.946,-0.026,0.0466,-0.56,49.3,0.0
"F8 {""N"": 5}",hold,iwm,T1 low,TRAIN,455,-0.236,0.239,-0.134,0.0632,-2.12,38.2,0.0
"F8 {""N"": 5}",hold,iwm,T2 mid,TRAIN,455,-0.236,0.239,0.006,0.0941,0.07,38.0,0.0
"F8 {""N"": 5}",hold,iwm,T3 high,TRAIN,456,-0.236,0.239,0.044,0.0654,0.67,43.2,0.0
"F8 {""N"": 5}",hold,iwm,sign -,TRAIN,696,-0.236,0.239,-0.093,0.0645,-1.44,36.9,0.0
"F8 {""N"": 5}",hold,iwm,sign +,TRAIN,670,-0.236,0.239,0.039,0.0585,0.67,42.8,0.0
"F8 {""N"": 5}",hold,iwm,T1 low,VAL,210,-0.236,0.239,-0.047,0.0813,-0.58,41.4,0.0
"F8 {""N"": 5}",hold,iwm,T2 mid,VAL,159,-0.236,0.239,0.22,0.1286,1.71,47.8,0.0
"F8 {""N"": 5}",hold,iwm,T3 high,VAL,164,-0.236,0.239,0.144,0.0975,1.48,50.0,0.0
"F8 {""N"": 5}",hold,iwm,sign -,VAL,295,-0.236,0.239,-0.0,0.0809,-0.0,40.3,0.0
"F8 {""N"": 5}",hold,iwm,sign +,VAL,238,-0.236,0.239,0.205,0.0834,2.46,52.9,0.0
"F8 {""N"": 5}",hold,spy,T1 low,TRAIN,455,-0.11,0.126,0.035,0.0943,0.37,40.2,0.0
"F8 {""N"": 5}",hold,spy,T2 mid,TRAIN,455,-0.11,0.126,-0.104,0.0543,-1.91,38.9,0.0
"F8 {""N"": 5}",hold,spy,T3 high,TRAIN,456,-0.11,0.126,-0.015,0.0728,-0.2,40.4,0.0
"F8 {""N"": 5}",hold,spy,sign -,TRAIN,657,-0.11,0.126,-0.054,0.0687,-0.78,38.4,0.0
"F8 {""N"": 5}",hold,spy,sign +,TRAIN,709,-0.11,0.126,-0.004,0.055,-0.07,41.2,0.0
"F8 {""N"": 5}",hold,spy,T1 low,VAL,193,-0.11,0.126,-0.074,0.1086,-0.68,35.8,0.0
"F8 {""N"": 5}",hold,spy,T2 mid,VAL,153,-0.11,0.126,0.082,0.0952,0.86,48.4,0.0
"F8 {""N"": 5}",hold,spy,T3 high,VAL,187,-0.11,0.126,0.27,0.094,2.87,54.5,0.0
"F8 {""N"": 5}",hold,spy,sign -,VAL,253,-0.11,0.126,-0.053,0.0905,-0.59,39.1,0.0
"F8 {""N"": 5}",hold,spy,sign +,VAL,280,-0.11,0.126,0.222,0.0745,2.98,52.1,0.0
"F8 {""N"": 5}",hold,brd,T1 low,TRAIN,456,0.914,0.945,-0.023,0.0883,-0.26,39.5,0.0
"F8 {""N"": 5}",hold,brd,T2 mid,TRAIN,455,0.914,0.945,-0.063,0.0589,-1.07,42.0,0.0
"F8 {""N"": 5}",hold,brd,T3 high,TRAIN,455,0.914,0.945,0.002,0.0767,0.02,38.0,0.0
"F8 {""N"": 5}",hold,brd,T1 low,VAL,123,0.914,0.945,0.234,0.1579,1.48,45.5,0.0
"F8 {""N"": 5}",hold,brd,T2 mid,VAL,158,0.914,0.945,-0.073,0.0822,-0.89,43.0,0.0
"F8 {""N"": 5}",hold,brd,T3 high,VAL,252,0.914,0.945,0.125,0.0812,1.54,48.0,0.0
"F8 {""N"": 5}",2r,iwm,T1 low,TRAIN,498,-0.246,0.25,-0.129,0.0496,-2.6,40.0,0.0
"F8 {""N"": 5}",2r,iwm,T2 mid,TRAIN,498,-0.246,0.25,-0.121,0.0447,-2.71,39.4,0.0
"F8 {""N"": 5}",2r,iwm,T3 high,TRAIN,499,-0.246,0.25,0.006,0.0466,0.14,46.1,0.0
"F8 {""N"": 5}",2r,iwm,sign -,TRAIN,758,-0.246,0.25,-0.141,0.0387,-3.65,38.8,0.0
"F8 {""N"": 5}",2r,iwm,sign +,TRAIN,737,-0.246,0.25,-0.02,0.038,-0.52,44.9,0.0
"F8 {""N"": 5}",2r,iwm,T1 low,VAL,227,-0.246,0.25,0.031,0.0695,0.44,47.1,0.0
"F8 {""N"": 5}",2r,iwm,T2 mid,VAL,173,-0.246,0.25,0.075,0.0817,0.91,48.6,0.0
