key,exit,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,s4_n,s4_tpw,s4_meanR,s4_se,s4_t,s4_WR,s4_wkR,s4_green,s4_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,corrp_n,corrp_tpw,corrp_meanR,corrp_se,corrp_t,corrp_WR,corrp_wkR,corrp_green,corrp_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,gatep_n,gatep_tpw,gatep_meanR,gatep_se,gatep_t,gatep_WR,gatep_wkR,gatep_green,gatep_worst
F7 {},2r,TRAIN,1448,27.3,-0.194,0.0249,-7.78,35.1,-5.3,0.15,-19.0,1448,27.3,-0.456,0.0267,-17.08,26.8,-12.46,0.02,-26.9,1448,27.3,-0.241,0.0251,-9.62,33.8,-6.59,0.11,-20.7,1448,27.3,-0.236,0.0254,-9.29,33.8,-6.45,0.13,-20.6,0.38,0.092,0.528,1297,24.5,-0.223,0.0245,-9.08,33.7,-5.45,0.09,-15.4,1297,24.5,-0.221,0.0247,-8.94,33.7,-5.4,0.09,-15.4
F7 {},2r,VAL,654,29.7,-0.27,0.0349,-7.75,32.6,-8.04,0.09,-16.6,654,29.7,-0.512,0.0386,-13.29,25.4,-15.23,0.0,-30.7,654,29.7,-0.326,0.0354,-9.22,31.3,-9.7,0.09,-19.1,654,29.7,-0.323,0.0358,-9.02,31.3,-9.59,0.09,-18.9,0.393,0.064,0.543,562,25.5,-0.241,0.0348,-6.94,33.8,-6.16,0.09,-13.0,562,25.5,-0.239,0.035,-6.83,33.8,-6.1,0.09,-12.9
F7 {},2r,TEST,437,31.2,-0.134,0.0511,-2.63,40.5,-4.2,0.36,-20.4,437,31.2,-0.361,0.0549,-6.58,32.7,-11.27,0.0,-32.2,437,31.2,-0.19,0.0515,-3.69,39.4,-5.93,0.29,-22.7,437,31.2,-0.184,0.0521,-3.52,39.4,-5.73,0.36,-22.7,0.362,0.098,0.54,374,26.7,-0.149,0.0465,-3.21,37.2,-3.98,0.14,-10.8,374,26.7,-0.146,0.0468,-3.12,37.2,-3.9,0.14,-10.7
"F8 {""N"": 15}",hold,TRAIN,1244,23.5,0.03,0.0279,1.06,46.1,0.69,0.51,-12.9,1244,23.5,-0.126,0.0284,-4.45,39.5,-2.96,0.3,-18.7,1244,23.5,0.004,0.0281,0.13,44.9,0.09,0.47,-13.9,1244,23.5,0.004,0.0281,0.13,44.9,0.09,0.47,-13.9,0.233,0.0,0.767,1245,23.5,0.01,0.0285,0.34,45.0,0.23,0.49,-14.3,1245,23.5,0.01,0.0285,0.34,45.0,0.23,0.49,-14.3
"F8 {""N"": 15}",hold,VAL,503,22.9,-0.051,0.0379,-1.34,42.9,-1.16,0.41,-10.6,503,22.9,-0.191,0.0388,-4.93,37.2,-4.37,0.23,-15.2,503,22.9,-0.079,0.0381,-2.08,42.3,-1.81,0.41,-11.4,503,22.9,-0.079,0.0381,-2.08,42.3,-1.81,0.41,-11.4,0.239,0.0,0.761,500,22.7,-0.079,0.0378,-2.09,42.8,-1.8,0.41,-11.6,500,22.7,-0.079,0.0378,-2.09,42.8,-1.8,0.41,-11.6
"F8 {""N"": 15}",hold,TEST,318,22.7,0.001,0.0428,0.03,46.2,0.03,0.57,-13.3,318,22.7,-0.133,0.0436,-3.05,41.5,-3.02,0.21,-16.9,318,22.7,-0.025,0.043,-0.58,44.7,-0.57,0.5,-14.2,318,22.7,-0.025,0.043,-0.58,44.7,-0.57,0.5,-14.2,0.167,0.0,0.833,318,22.7,-0.029,0.0432,-0.67,44.7,-0.65,0.5,-15.7,318,22.7,-0.029,0.0432,-0.67,44.7,-0.65,0.5,-15.7
"F8 {""N"": 15}",2r,TRAIN,1326,25.0,0.023,0.0243,0.95,47.1,0.58,0.53,-11.6,1326,25.0,-0.133,0.0252,-5.3,40.2,-3.34,0.34,-17.6,1326,25.0,-0.004,0.0244,-0.16,45.8,-0.1,0.47,-12.6,1326,25.0,-0.001,0.0245,-0.06,45.8,-0.03,0.47,-12.6,0.227,0.08,0.693,1323,25.0,-0.003,0.0243,-0.12,45.8,-0.07,0.47,-13.1,1323,25.0,-0.001,0.0245,-0.02,45.8,-0.01,0.47,-13.0
"F8 {""N"": 15}",2r,VAL,517,23.5,-0.052,0.0354,-1.47,43.3,-1.22,0.41,-10.6,517,23.5,-0.19,0.0363,-5.25,37.5,-4.47,0.23,-15.2,517,23.5,-0.081,0.0355,-2.28,42.7,-1.9,0.41,-11.4,517,23.5,-0.079,0.0357,-2.23,42.7,-1.87,0.41,-11.4,0.232,0.041,0.727,513,23.3,-0.083,0.0353,-2.35,43.3,-1.93,0.41,-11.6,513,23.3,-0.082,0.0354,-2.3,43.3,-1.9,0.41,-11.6
"F8 {""N"": 15}",2r,TEST,326,23.3,0.026,0.0443,0.59,46.0,0.61,0.64,-13.3,326,23.3,-0.106,0.0453,-2.34,41.4,-2.46,0.29,-16.9,326,23.3,-0.0,0.0444,-0.01,44.5,-0.01,0.57,-14.2,326,23.3,0.001,0.0445,0.02,44.5,0.02,0.57,-14.2,0.163,0.043,0.794,327,23.4,-0.001,0.0446,-0.03,44.6,-0.03,0.57,-15.7,327,23.4,0.0,0.0448,0.0,44.6,0.0,0.57,-15.7
"F8 {""N"": 30}",hold,TRAIN,1124,21.2,0.032,0.0234,1.36,49.6,0.67,0.6,-9.0,1124,21.2,-0.106,0.0239,-4.44,41.5,-2.25,0.23,-13.2,1124,21.2,0.012,0.0235,0.49,48.6,0.25,0.57,-9.6,1124,21.2,0.012,0.0235,0.49,48.6,0.25,0.57,-9.6,0.151,0.0,0.849,1125,21.2,0.012,0.0236,0.52,48.6,0.26,0.57,-9.6,1125,21.2,0.012,0.0236,0.52,48.6,0.26,0.57,-9.6
