pb,hb,n,band_bps,band_n,minmed_bps,med_bps,mean_bps,p25,p75,p90,ratio_band_over_minmed,ratio_band_over_med,sp_over_R_med
$10-20,09:30-09:35,768,43.8,118,28.0,23.1,39.2,9.4,46.8,86.4,1.56,1.89,0.063
$10-20,09:35-10:00,1347,42.2,116,24.1,20.1,35.5,8.4,44.8,77.1,1.75,2.1,0.062
$10-20,10:00-11:00,293,28.8,114,14.7,13.2,26.2,7.5,30.7,54.2,1.95,2.18,0.045
$20-50,09:30-09:35,492,51.6,118,27.1,22.4,41.9,8.5,53.5,93.0,1.91,2.31,0.063
$20-50,09:35-10:00,867,46.0,120,23.0,19.1,31.6,6.5,41.1,73.5,2.0,2.41,0.059
$20-50,10:00-11:00,176,45.3,115,16.6,12.0,23.6,4.7,27.8,59.4,2.73,3.79,0.04
$5-10,09:30-09:35,599,35.8,117,28.7,24.0,47.1,15.4,54.5,101.0,1.25,1.5,0.063
$5-10,09:35-10:00,1164,34.9,116,28.2,24.6,48.8,14.9,55.8,109.6,1.24,1.42,0.067
$5-10,10:00-11:00,231,29.8,113,18.4,17.2,51.7,13.4,43.6,99.7,1.62,1.73,0.057
<$5,09:30-09:35,341,,0,32.6,31.7,61.2,25.0,64.1,112.3,,,0.083
<$5,09:35-10:00,764,,0,31.2,31.3,67.7,24.9,68.0,150.3,,,0.086
<$5,10:00-11:00,160,,0,28.0,28.1,58.8,23.7,53.3,125.2,,,0.077
