pb,hb,n,p10,p90,p90_over_p10,iqr_over_med,share_within_2x_band
$10-20,09:30-09:35,768,6.7,86.4,13.0,1.62,0.414
$10-20,09:35-10:00,1347,6.0,77.1,12.8,1.82,0.393
$10-20,10:00-11:00,293,5.8,54.2,9.3,1.76,0.382
$20-50,09:30-09:35,492,4.2,93.0,22.2,2.01,0.358
$20-50,09:35-10:00,867,4.0,73.5,18.4,1.81,0.39
$20-50,10:00-11:00,176,3.9,59.4,15.3,1.93,0.267
$5-10,09:30-09:35,599,11.8,101.0,8.6,1.63,0.461
$5-10,09:35-10:00,1164,11.7,109.6,9.4,1.66,0.463
$5-10,10:00-11:00,231,11.1,99.7,9.0,1.76,0.489
<$5,09:30-09:35,341,21.9,112.3,5.1,1.24,
<$5,09:35-10:00,764,21.8,150.3,6.9,1.38,
<$5,10:00-11:00,160,20.7,125.2,6.1,1.05,
