cell,split,weeks,picks,picks_per_wk,fills,green_wk_pct,flat_wk_pct,red_wk_pct,red_streak,worst_wk,green_mo_pct,worst_mo,mdd,pnl,totR,R_pick,R_pick_ex1,R_pick_ex5,wr_fills,t,top1_share,top5_share,top10_share,mde80_green_pp,label,dump
L_base,TRAIN,53,105,1.9811320754716981,84,33.9622641509434,37.735849056603776,28.30188679245283,3,-418.3564857054276,75.0,-109.61016108739183,-559.9916696555719,5673.034098080109,43.02959299379317,0.409805647559935,0.30852810566419414,0.15016344127864034,40.476190476190474,2.776804301647233,15.301394146584036,54.83757676372933,95.00473936738499,25.75902967971626,shipped B+ (all gates on),meas
L_base,VAL,22,53,2.409090909090909,40,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,159.12033712478714,-489.1654050560701,3938.5797384232374,24.85679984689909,0.4689962235263979,0.3050554443665195,0.04911267003373636,32.5,1.6602156406957367,47.81033940491424,118.159669459896,144.0630151903488,39.32182422339339,shipped B+ (all gates on),meas
L_q1off,TRAIN,53,129,2.4339622641509435,95,35.84905660377358,28.30188679245283,35.84905660377358,3,-418.3564857054276,66.66666666666666,-194.1861221953921,-792.2625391534053,5312.324634241904,39.856333826981725,0.30896382811613743,0.22523728910709087,0.06872961428419641,36.84210526315789,2.471503270179954,16.34036635905294,59.589757729425855,105.87657193892468,26.084077612571903,Q1 filter OFF,meas
L_q1off,VAL,22,61,2.772727272727273,45,40.90909090909091,22.727272727272727,36.36363636363637,2,-367.85392063363344,100.0,130.9038777914538,-438.2146577187,8245.360414685287,57.3431606604064,0.9400518141050229,0.41895601484502354,0.04800341307875677,33.33333333333333,1.6298600471078193,50.06753745836797,102.30935922662935,120.25213852283075,41.508012496715594,Q1 filter OFF,meas
L_pdr8,TRAIN,53,117,2.207547169811321,93,33.9622641509434,30.18867924528302,35.84905660377358,4,-496.4063701737846,66.66666666666666,-146.38952476104782,-780.4603463993299,4805.1243360524195,36.16547505115291,0.3091066243688283,0.21664588644149316,0.07209065535085694,37.634408602150536,2.27399133377888,18.065158083515545,64.74243351053389,112.16465760658501,25.75902967971626,PDR veto 11.0 -> 8.0,meas
L_pdr8,VAL,22,61,2.772727272727273,46,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,33.35683762895404,-588.5152380703557,3641.4568589122855,22.729303061242064,0.3726115255941322,0.22892310535669969,-0.06133193492659476,30.434782608695656,1.5023481842559365,51.711400508965674,127.8008495128909,155.8177659845604,39.32182422339339,PDR veto 11.0 -> 8.0,meas
L_pdr6,TRAIN,53,117,2.207547169811321,93,33.9622641509434,30.18867924528302,35.84905660377358,4,-496.4063701737846,66.66666666666666,-146.38952476104782,-780.4603463993299,4805.1243360524195,36.16547505115291,0.3091066243688283,0.21664588644149316,0.07209065535085694,37.634408602150536,2.27399133377888,18.065158083515545,64.74243351053389,112.16465760658501,25.75902967971626,PDR veto 11.0 -> 6.0,meas
L_pdr6,VAL,22,61,2.772727272727273,46,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,33.35683762895404,-588.5152380703557,3641.4568589122855,22.729303061242064,0.3726115255941322,0.22892310535669969,-0.06133193492659476,30.434782608695656,1.5023481842559365,51.711400508965674,127.8008495128909,155.8177659845604,39.32182422339339,PDR veto 11.0 -> 6.0,meas
L_pdroff,TRAIN,53,117,2.207547169811321,93,33.9622641509434,30.18867924528302,35.84905660377358,4,-496.4063701737846,66.66666666666666,-146.38952476104782,-780.4603463993299,4805.1243360524195,36.16547505115291,0.3091066243688283,0.21664588644149316,0.07209065535085694,37.634408602150536,2.27399133377888,18.065158083515545,64.74243351053389,112.16465760658501,25.75902967971626,PDR veto OFF,meas
L_pdroff,VAL,22,61,2.772727272727273,46,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,33.35683762895404,-588.5152380703557,3641.4568589122855,22.729303061242064,0.3726115255941322,0.22892310535669969,-0.06133193492659476,30.434782608695656,1.5023481842559365,51.711400508965674,127.8008495128909,155.8177659845604,39.32182422339339,PDR veto OFF,meas
L_g1off,TRAIN,53,130,2.452830188679245,101,35.84905660377358,26.41509433962264,37.735849056603776,5,-418.3564857054276,66.66666666666666,-377.8042159065908,-683.9275084144501,4790.596917092282,37.949627815136935,0.2919202139625918,0.20858148206840432,0.05266916203924529,35.64356435643564,2.394488769275121,18.119940425800284,64.93876404561829,112.50479538101506,26.084077612571903,G1 fingerprint OFF,meas
L_g1off,VAL,22,75,3.409090909090909,60,36.36363636363637,9.090909090909092,54.54545454545455,4,-337.6383531424998,80.0,-22.75987461179667,-675.1813295227366,3449.9615406210337,19.872215509377114,0.2649628734583615,0.1470040374261761,-0.08947898369973024,30.0,1.294616921825868,54.58171978155914,134.89462840497617,167.06185482811182,40.6114054292528,G1 fingerprint OFF,meas
