book,split,tag,picks,fills,pnl,r_pick,t,mdd,worst_mo,red_mo,wk_green
W5,TRAIN,,109,82,6207.507912160561,0.42569654501176724,2.9746630255163278,-608.866634362761,-151.98340798914043,2,45.0
W5,VAL,,51,39,5403.46266866077,0.7187077833684175,1.8940347867451859,-597.0532116155148,-146.4602037598796,1,33.33333333333333
W5_10,TRAIN,,117,88,5706.04845561473,0.3740622068465158,2.7773485747206514,-662.9184215627611,-151.98340798914043,3,43.90243902439025
W5_10,VAL,,54,40,5319.99222966077,0.6721580163923944,1.8713211785709114,-680.5236506155152,-146.4602037598796,1,33.33333333333333
W5_10,TRAIN,ADDED,8,6,-501.4594565458324,-0.32945565065503646,-2.6702999561861787,-319.18540654583273,-182.27404999999973,6,0.0
W5_10,VAL,ADDED,3,1,-83.47043900000041,-0.11918802220000042,-0.9999999999999999,-83.47043900000041,-83.47043900000041,1,0.0
