config,N,picks,TR_pk_wk,VA_pk_wk,TR_green%,VA_green%,TR_flat%,VA_flat%,TR_streak,VA_streak,TR_worst_wk,VA_worst_wk,TR_mdd,VA_mdd,TR_$,VA_$,TR_R/pk,VA_R/pk,max_day,bind%_inv3333,bind%_live66k,bind%_orb26k,cap_live66k,capital_used
F0 shipped B+,3,66,0.89,0.86,22.6,18.2,58.5,50.0,2,2,-357,-218,-617,-409,2904,1938,0.401,0.523,2,100.0,0.0,59.1,22000,6667
F0 shipped B+,8,158,1.98,2.41,34.0,31.8,37.7,22.7,3,3,-418,-338,-560,-489,5673,3939,0.41,0.469,4,100.0,64.7,100.0,8250,13333
F0 shipped B+,12,191,2.43,2.82,34.0,31.8,32.1,22.7,3,3,-532,-338,-1031,-489,5730,4184,0.315,0.417,5,100.0,91.4,100.0,5500,16667
F0 shipped B+,16,213,2.62,3.36,32.1,36.4,30.2,18.2,4,3,-532,-420,-1535,-689,5098,3551,0.261,0.29,6,100.0,99.3,100.0,4125,20000
catalyst veto OFF,3,202,2.49,3.18,39.6,45.5,18.9,4.5,5,3,-824,-359,-1825,-470,2907,2619,0.143,0.183,3,100.0,0.0,57.8,22000,10000
catalyst veto OFF,8,459,5.32,8.05,47.2,54.5,7.5,4.5,4,2,-895,-364,-2639,-698,6515,4287,0.175,0.149,8,100.0,61.5,100.0,8250,26667
catalyst veto OFF,12,569,6.57,10.05,49.1,54.5,5.7,0.0,7,2,-1009,-486,-3862,-859,5522,3731,0.119,0.103,12,100.0,90.4,100.0,5500,40000
catalyst veto OFF,16,640,7.38,11.32,47.2,54.5,5.7,0.0,8,2,-1192,-547,-4321,-920,4035,3115,0.081,0.071,14,100.0,98.8,100.0,4125,46667
F4 = -range-size -G1 -PDR,3,336,4.32,4.86,26.4,31.8,5.7,9.1,8,6,-435,-347,-1383,-1433,303,372,-0.001,-0.041,3,100.0,13.4,68.8,22000,10000
F4 = -range-size -G1 -PDR,8,737,9.26,11.18,41.5,31.8,1.9,4.5,4,3,-543,-496,-1469,-973,1888,3845,0.025,0.095,7,100.0,71.2,100.0,8250,23333
F4 = -range-size -G1 -PDR,12,912,11.7,13.27,39.6,36.4,1.9,0.0,4,3,-592,-592,-2410,-1256,2097,3757,0.011,0.069,9,100.0,93.3,100.0,5500,30000
F4 = -range-size -G1 -PDR,16,990,12.66,14.5,35.8,36.4,1.9,0.0,4,3,-863,-552,-2847,-1383,1624,3200,0.006,0.055,11,99.9,99.6,100.0,4125,36667
