symbol,date,book_entered,book_pnl_pct,pos,book_reason,cls,rh,rl,bb_open,bb_low,cap30,cap60,ets,gap_bps,repro_pnl_pct,repro_reason,b30_entry,b30_pnl_pct,b30_reason,f1b_entry,f1b_pnl_pct,f1b_reason,f1b_ts,f1a_entry,f1a_pnl_pct,f1a_reason
SMST,2025-01-07,1,-4.382851445663005,3333.33375,stop,iii_fillable,4.75,4.56,4.73,4.71,4.76425,4.7785,2025-01-07 14:36:00+00:00,-42.10526315789331,-4.382851445663006,stop,4.76425,-4.382851445663006,stop,,,,,,,
AMPX,2025-01-10,1,10.087592074077165,3333.33375,scale_eod,iii_fillable,3.34,3.2003,3.32,3.32,3.3500199999999993,3.3600399999999997,2025-01-10 14:36:00+00:00,-59.880239520958554,10.087592074077163,scale_eod,3.3500199999999993,10.087592074077193,scale_eod,,,,,,,
ARQQ,2025-01-16,1,18.00815063007697,3333.33375,scale_eod,iii_fillable,23.79,22.12,23.3921,23.38,23.861369999999997,23.93274,2025-01-16 14:35:00+00:00,-167.25514922236283,18.00815063007697,scale_eod,23.861369999999997,18.008150630076987,scale_eod,,,,,,,
FCEL,2025-01-22,0,0.0,3333.33375,no_fill,i_never_broken,9.5,9.26,,,,,,,,,,,,,,,,,,
PDYN,2025-01-23,1,-4.936908163472921,3333.33375,stop,iii_fillable,10.29,9.63,10.0299,10.02,10.320869999999998,10.35174,2025-01-23 15:10:00+00:00,-252.76967930029093,-4.936908163472921,stop,10.320869999999998,-4.936908163472921,stop,,,,,,,
NTRB,2025-01-23,1,-1.836931304248849,3333.33375,stop,iii_fillable,8.47,7.95,8.3413,8.3413,8.49541,8.52082,2025-01-23 14:35:00+00:00,-151.94805194805207,-1.8369313042488498,stop,8.49541,-1.8369313042488498,stop,,,,,,,
LAES,2025-01-24,0,0.0,3333.33375,no_fill,i_never_broken,4.45,4.3,,,,,,,,,,,,,,,,,,
GHRS,2025-02-04,0,0.0,3333.33375,no_fill,i_never_broken,19.19,18.24,,,,,,,,,,,,,,,,,,
NVNI,2025-02-05,1,-4.841688417892393,3333.33375,stop,iii_fillable,6.23,5.9521,6.1899,6.1899,6.24869,6.26738,2025-02-05 15:25:00+00:00,-64.36597110754505,-4.841688417892392,stop,6.24869,-4.841688417892392,stop,,,,,,,
TNXP,2025-02-07,1,7.959749259165958,3333.33375,scale_lock,iii_fillable,13.9,13.15,13.73,13.6301,13.941699999999999,13.9834,2025-02-07 14:35:00+00:00,-122.30215827338075,7.959749259165958,scale_lock,13.941699999999999,7.959749259165958,scale_lock,,,,,,,
BZAI,2025-02-12,0,0.0,3333.33375,no_fill,i_never_broken,3.74,3.511,,,,,,,,,,,,,,,,,,
BKSY,2025-02-19,1,-2.100123104943616,3333.33375,stop,iii_fillable,20.95,20.09,20.875,20.78,21.012849999999997,21.075699999999998,2025-02-19 14:35:00+00:00,-35.79952267303121,-2.100123104943616,stop,21.012849999999997,-2.1001231049436164,stop,,,,,,,
TUYA,2025-02-20,1,13.147134631348242,3333.33375,scale_eod,iii_fillable,3.405,3.26,3.4,3.4,3.4152149999999994,3.42543,2025-02-20 14:46:00+00:00,-14.68428781204123,13.147134631348242,scale_eod,3.4152149999999994,13.147134631348242,scale_eod,,,,,,,
REBN,2025-02-20,1,4.0816014911896525,3333.33375,scale_lock,iii_fillable,6.43,6.25,6.32,6.3,6.449289999999999,6.468579999999999,2025-02-20 14:36:00+00:00,-171.0730948678063,4.0816014911896525,scale_lock,6.449289999999999,4.0816014911896525,scale_lock,,,,,,,
CYD,2025-02-21,0,0.0,3333.33375,no_fill,i_never_broken,23.0,22.0,,,,,,,,,,,,,,,,,,
CADL,2025-02-26,1,-3.221855557421722,3333.33375,stop,iii_fillable,9.0999,8.8201,9.01,9.01,9.127199699999998,9.1544994,2025-02-26 14:39:00+00:00,-98.7922944208175,-3.221855557421722,stop,9.127199699999998,-3.221855557421722,stop,,,,,,,
PLTU,2025-03-14,1,5.157195781077825,3333.33375,eod,iii_fillable,28.5,27.34,28.5,28.5,28.585499999999996,28.671,2025-03-14 13:35:00+00:00,0.0,5.157195781077825,eod,28.585499999999996,5.157195781077839,eod,,,,,,,
BTDR,2025-03-19,0,0.0,3333.33375,no_fill,i_never_broken,10.15,9.8535,,,,,,,,,,,,,,,,,,
TRVI,2025-03-19,0,0.0,3333.33375,no_fill,i_never_broken,6.98,6.7,,,,,,,,,,,,,,,,,,
TSLG,2025-03-24,1,9.418525886823964,3333.33375,eod,iii_fillable,4.9246,4.71,4.9199,4.9199,4.939373799999999,4.9541476,2025-03-24 13:37:00+00:00,-9.543922349022349,9.418525886823963,eod,4.939373799999999,9.418525886823963,eod,,,,,,,
HMR,2025-03-27,1,2.445402562831944,3333.33375,lock,iii_fillable,3.4356,3.26,3.37,3.365,3.4459067999999995,3.4562136,2025-03-27 13:52:00+00:00,-190.94190243334475,2.4454025628319442,lock,3.4459067999999995,2.4454025628319442,lock,,,,,,,
MSTU,2025-04-11,1,11.26686213112441,3333.33375,scale_eod,iii_fillable,4.71,4.54,4.71,4.7011,4.72413,4.73826,2025-04-11 13:35:00+00:00,0.0,11.266862131124409,scale_eod,4.72413,11.266862131124409,scale_eod,,,,,,,
MSTX,2025-04-22,1,5.378364080270806,3333.33375,eod,iii_fillable,30.4536,29.46,30.26,30.03,30.5449608,30.636321600000002,2025-04-22 13:35:00+00:00,-63.57212283605196,5.378364080270806,eod,30.5449608,5.378364080270806,eod,,,,,,,
