gate,n_kept,n_rej,sep_2025,t_2025,sep_2026,t_2026,sep_pooled,R_kept,R_rej,t,med_pos_kept,med_pos_rej,med_risk_kept,med_risk_rej,note
S0 composite >= 0.012082,7225,5808,-0.07288202917733749,-4.01717731630621,0.027498784106811464,1.3139136000225797,-0.023240959523385774,-0.04875203033608181,-0.025511070812696036,-1.6796970678592107,3333.333333333333,3333.333333333333,108.57189865087203,233.33333333333331,
S1 Q1 filter (drop bottom quintile),5771,1454,-0.04013103358663683,-1.3227062099945615,-0.08567295203141825,-1.5033051787813427,-0.06284959194962939,-0.061400238875149095,0.001449353074480284,-1.9569054484463844,3333.333333333333,3333.333333333333,101.76222387689255,140.0672645739911,
S3 family/super-group dedup,5467,304,0.12662001217471985,1.795042437351971,-0.22647821487590505,-1.932916580571088,-0.015661499672170683,-0.062225242496764054,-0.04656374282459337,-0.2405831729900162,3333.333333333333,3333.333333333333,103.15430520034106,85.79445571331976,
S4 top-8 slot cut (rank <= 8),2744,2723,0.0465963803720527,1.2753763951042418,-0.05923136110094579,-1.5869003924942524,-0.012285135601093483,-0.06834421528655325,-0.05605907968545977,-0.4661547799458253,3333.333333333333,3333.333333333333,97.38995962133262,107.48299319727879,
S5 PDR veto (prev_day_range > 11.0),871,1873,0.27901264838582646,3.5124153428857174,0.16913053341552917,2.6219979403005946,0.2282070089403412,0.08742536479553822,-0.140781644144803,4.429352118611291,3333.333333333333,3333.333333333333,125.17385257301785,83.33333333333299,
S6 G1 fingerprint (rv20>=7.106 & pdr>=9.226),674,197,0.24069876524383033,1.650690852040455,0.04385240851838852,0.3292490379324175,0.1531960402927091,0.12207475622798795,-0.031121284064721148,1.5324766652304351,3333.333333333333,3333.333333333333,127.95669473696995,104.86891385767765,
S7 range-size veto (range_size_pct > 2.221),594,80,-0.26141434086927495,-0.5591839866102725,-0.15571204764985966,-0.5084049568910903,-0.2306775077158459,0.09469463661779853,0.3253721443336444,-0.7584638651822014,3333.333333333333,3333.333333333333,134.70376145611203,59.81863173965995,
S8 catalyst veto (news or cohort>=2),210,384,0.4233996960645213,2.4383657807896673,0.2237072051153317,1.3963593706115016,0.3226174656135906,0.3032554224690086,-0.019362043144582,2.748655621293263,3333.333333333333,3333.333333333333,136.90820199621993,133.29826407154135,
S11 WHOLE STACK picked vs rejected,210,12823,0.4827955997835528,3.189971895378256,0.2111361432666627,1.418690998531403,0.3472455462447882,0.3032554224690086,-0.04399012377577958,3.273182703714529,3333.333333333333,3333.333333333333,136.90820199621993,148.3270093135563,
