week_start,coin,cell,position,weekly_return_gross,fee
2017-08-21,BTC,C1,0,0.05919692907329077,0.0
2017-08-21,ETH,C1,0,0.16385824139083915,0.0
2017-08-21,SOL,C1,0,nan,0.0
2017-08-28,BTC,C1,0,0.045241194335976065,0.0
2017-08-28,ETH,C1,0,-0.025336818821636853,0.0
2017-08-28,SOL,C1,0,nan,0.0
2017-09-04,BTC,C1,0,-0.07799778024417314,0.0
2017-09-04,ETH,C1,0,-0.13492882195172284,0.0
2017-09-04,SOL,C1,0,nan,0.0
2017-09-11,BTC,C1,0,-0.11161829921851296,0.0
2017-09-11,ETH,C1,0,-0.12258526114953505,0.0
2017-09-11,SOL,C1,0,nan,0.0
2017-09-18,BTC,C1,0,-0.008124661246612486,0.0
2017-09-18,ETH,C1,0,0.09501805614879832,0.0
2017-09-18,SOL,C1,0,nan,0.0
2017-09-25,BTC,C1,0,0.20217922306435487,0.0
2017-09-25,ETH,C1,0,0.07780141843971622,0.0
2017-09-25,SOL,C1,0,nan,0.0
2017-10-02,BTC,C1,0,0.05454545454545445,0.0
2017-10-02,ETH,C1,0,0.023655984733829127,0.0
2017-10-02,SOL,C1,0,nan,0.0
2017-10-09,BTC,C1,0,0.2306034482758621,0.0
2017-10-09,ETH,C1,0,0.08475556841191789,0.0
2017-10-09,SOL,C1,0,nan,0.0
2017-10-16,BTC,C1,0,0.046409807355516586,0.0
2017-10-16,ETH,C1,0,-0.12954074074074085,0.0
2017-10-16,SOL,C1,0,nan,0.0
2017-10-23,BTC,C1,0,0.026445188284518917,0.0
2017-10-23,ETH,C1,0,0.03819184423718447,0.0
2017-10-23,SOL,C1,0,nan,0.0
2017-10-30,BTC,C1,0,0.1976337883029704,0.0
2017-10-30,ETH,C1,0,-0.03216393442622956,0.0
2017-10-30,SOL,C1,0,nan,0.0
2017-11-06,BTC,C1,0,-0.20492028699405052,0.0
2017-11-06,ETH,C1,0,0.029845184457468088,0.0
2017-11-06,SOL,C1,0,nan,0.0
2017-11-13,BTC,C1,0,0.3796562978386764,0.0
2017-11-13,ETH,C1,0,0.16825657894736845,0.0
2017-11-13,SOL,C1,0,nan,0.0
2017-11-20,BTC,C1,0,0.13291242145136417,0.0
2017-11-20,ETH,C1,0,0.3032239898634379,0.0
2017-11-20,SOL,C1,0,nan,0.0
2017-11-27,BTC,C1,1,0.22320442594215595,0.0015
2017-11-27,ETH,C1,1,-0.005487857574971833,0.0015
2017-11-27,SOL,C1,0,nan,0.0
2017-12-04,BTC,C1,1,0.33862168966477735,0.0
2017-12-04,ETH,C1,1,-0.07158374972843795,0.0
2017-12-04,SOL,C1,0,nan,0.0
2017-12-11,BTC,C1,1,0.2618568123396756,0.0
2017-12-11,ETH,C1,1,0.6558324558324558,0.0
2017-12-11,SOL,C1,0,nan,0.0
2017-12-18,BTC,C1,1,-0.28420088186451353,0.0
2017-12-18,ETH,C1,1,-0.06814391905259887,0.0
2017-12-18,SOL,C1,0,nan,0.0
2017-12-25,BTC,C1,1,0.01597407407407414,0.0
2017-12-25,ETH,C1,1,0.1116317864725509,0.0
2017-12-25,SOL,C1,0,nan,0.0
2018-01-01,BTC,C1,1,0.182506844371211,0.0
2018-01-01,ETH,C1,1,0.5321619077502353,0.0
2018-01-01,SOL,C1,0,nan,0.0
2018-01-08,BTC,C1,1,-0.16899286940812697,0.0
2018-01-08,ETH,C1,1,0.20025109296672583,0.0
2018-01-08,SOL,C1,0,nan,0.0
2018-01-15,BTC,C1,1,-0.14453056021748067,0.0
2018-01-15,ETH,C1,1,-0.22180431605575712,0.0
2018-01-15,SOL,C1,0,nan,0.0
2018-01-22,BTC,C1,1,0.030351257588898672,0.0
2018-01-22,ETH,C1,1,0.19347950428979988,0.0
2018-01-22,SOL,C1,0,nan,0.0
2018-01-29,BTC,C1,1,-0.3114457552430777,0.0
2018-01-29,ETH,C1,1,-0.3437490015655452,0.0
2018-01-29,SOL,C1,0,nan,0.0
2018-02-05,BTC,C1,0,-0.01420172885296922,0.0015
2018-02-05,ETH,C1,1,-0.015847127555988272,0.0
2018-02-05,SOL,C1,0,nan,0.0
2018-02-12,BTC,C1,0,0.2866123003737684,0.0
2018-02-12,ETH,C1,1,0.12666650176853245,0.0
2018-02-12,SOL,C1,0,nan,0.0
2018-02-19,BTC,C1,0,-0.07566354152911658,0.0
2018-02-19,ETH,C1,1,-0.0763336992316136,0.0
2018-02-19,SOL,C1,0,nan,0.0
2018-02-26,BTC,C1,0,0.2007299270072993,0.0
2018-02-26,ETH,C1,1,0.029888527083878014,0.0
2018-02-26,SOL,C1,0,nan,0.0
2018-03-05,BTC,C1,0,-0.17207381676074684,0.0
2018-03-05,ETH,C1,1,-0.16802252454968214,0.0
2018-03-05,SOL,C1,0,nan,0.0
2018-03-12,BTC,C1,0,-0.14103530996258484,0.0
2018-03-12,ETH,C1,0,-0.25466019417475727,0.003
2018-03-12,SOL,C1,0,nan,0.0
2018-03-19,BTC,C1,0,0.0343314201978262,0.0
2018-03-19,ETH,C1,0,-0.025009769441187824,0.0
2018-03-19,SOL,C1,0,nan,0.0
2018-03-26,BTC,C1,0,-0.19564375559317781,0.0
2018-03-26,ETH,C1,0,-0.2774501383719822,0.0
2018-03-26,SOL,C1,0,nan,0.0
2018-04-02,BTC,C1,0,0.02906644786959056,0.0
2018-04-02,ETH,C1,0,0.05763643087326331,0.0
2018-04-02,SOL,C1,0,nan,0.0
2018-04-09,BTC,C1,0,0.1917019443620347,0.0
2018-04-09,ETH,C1,0,0.3333666333666334,0.0
2018-04-09,SOL,C1,0,nan,0.0
2018-04-16,BTC,C1,0,0.051541160038156564,0.0
2018-04-16,ETH,C1,0,0.16256462126320526,0.0
2018-04-16,SOL,C1,0,nan,0.0
2018-04-23,BTC,C1,0,0.07185995424382807,0.0
2018-04-23,ETH,C1,0,0.11307135837079296,0.0
2018-04-23,SOL,C1,0,nan,0.0
2018-04-30,BTC,C1,1,0.025908353367937176,0.003
2018-04-30,ETH,C1,0,0.14974307013099786,0.0
2018-04-30,SOL,C1,0,nan,0.0
2018-05-07,BTC,C1,1,-0.10157416090640548,0.0
2018-05-07,ETH,C1,1,-0.0821100339921943,0.0015
2018-05-07,SOL,C1,0,nan,0.0
2018-05-14,BTC,C1,0,-0.01759736212384977,0.0015
2018-05-14,ETH,C1,1,-0.01772096340593632,0.0
2018-05-14,SOL,C1,0,nan,0.0
2018-05-21,BTC,C1,0,-0.13932029783146882,0.0
2018-05-21,ETH,C1,1,-0.20295743967828417,0.0
2018-05-21,SOL,C1,0,nan,0.0
2018-05-28,BTC,C1,0,0.051133739111240084,0.0
2018-05-28,ETH,C1,0,0.0855801405020935,0.003
2018-05-28,SOL,C1,0,nan,0.0
2018-06-04,BTC,C1,0,-0.12305263239766362,0.0
2018-06-04,ETH,C1,0,-0.15334215537552853,0.0
2018-06-04,SOL,C1,0,nan,0.0
2018-06-11,BTC,C1,0,-0.047441241685144075,0.0
2018-06-11,ETH,C1,0,-0.05239783470570303,0.0
2018-06-11,SOL,C1,0,nan,0.0
2018-06-18,BTC,C1,0,-0.047502661365660837,0.0
2018-06-18,ETH,C1,0,-0.08621140500854862,0.0
2018-06-18,SOL,C1,0,nan,0.0
2018-06-25,BTC,C1,0,0.03631016870453485,0.0
2018-06-25,ETH,C1,0,-0.004732659754782209,0.0
2018-06-25,SOL,C1,0,nan,0.0
2018-07-02,BTC,C1,0,0.055225584122801985,0.0
2018-07-02,ETH,C1,0,0.0761047463175124,0.0
2018-07-02,SOL,C1,0,nan,0.0
2018-07-09,BTC,C1,0,-0.053329062439475106,0.0
2018-07-09,ETH,C1,0,-0.0755523584420923,0.0
2018-07-09,SOL,C1,0,nan,0.0
2018-07-16,BTC,C1,0,0.16377170825366094,0.0
2018-07-16,ETH,C1,0,0.017074634829587154,0.0
2018-07-16,SOL,C1,0,nan,0.0
2018-07-23,BTC,C1,0,0.11037650883461048,0.0
2018-07-23,ETH,C1,0,0.019520405709663846,0.0
2018-07-23,SOL,C1,0,nan,0.0
2018-07-30,BTC,C1,1,-0.14453799115575594,0.003
2018-07-30,ETH,C1,0,-0.12356346483704972,0.0
2018-07-30,SOL,C1,0,nan,0.0
2018-08-06,BTC,C1,0,-0.10188078625435804,0.003
2018-08-06,ETH,C1,0,-0.22215426768109203,0.0
2018-08-06,SOL,C1,0,nan,0.0
2018-08-13,BTC,C1,0,0.026784242362757782,0.0
2018-08-13,ETH,C1,0,-0.05868662724871043,0.0
2018-08-13,SOL,C1,0,nan,0.0
2018-08-20,BTC,C1,0,0.03434488145944514,0.0
2018-08-20,ETH,C1,0,-0.08396257935182094,0.0
2018-08-20,SOL,C1,0,nan,0.0
2018-08-27,BTC,C1,0,0.08985074626865663,0.0
2018-08-27,ETH,C1,0,0.0778349199401831,0.0
2018-08-27,SOL,C1,0,nan,0.0
2018-09-03,BTC,C1,1,-0.1437606135305396,0.003
2018-09-03,ETH,C1,0,-0.3362999560082569,0.0
2018-09-03,SOL,C1,0,nan,0.0
2018-09-10,BTC,C1,0,0.03963686730878102,0.003
2018-09-10,ETH,C1,0,0.12292866975985328,0.0
2018-09-10,SOL,C1,0,nan,0.0
2018-09-17,BTC,C1,0,0.031804223948012966,0.0
2018-09-17,ETH,C1,0,0.1103341808935705,0.0
2018-09-17,SOL,C1,0,nan,0.0
2018-09-24,BTC,C1,0,-0.011963959020756643,0.0
2018-09-24,ETH,C1,0,-0.04702707123578964,0.0
2018-09-24,SOL,C1,0,nan,0.0
2018-10-01,BTC,C1,0,-0.0017067653401381389,0.0
2018-10-01,ETH,C1,0,-0.029093717816683795,0.0
2018-10-01,SOL,C1,0,nan,0.0
2018-10-08,BTC,C1,0,-0.04170962290219882,0.0
2018-10-08,ETH,C1,0,-0.1300274021037744,0.0
2018-10-08,SOL,C1,0,nan,0.0
2018-10-15,BTC,C1,0,0.039559323210302644,0.0
2018-10-15,ETH,C1,0,0.05395244868929083,0.0
2018-10-15,SOL,C1,0,nan,0.0
2018-10-22,BTC,C1,0,-0.015203061552748642,0.0
2018-10-22,ETH,C1,0,-0.011905909572929696,0.0
2018-10-22,SOL,C1,0,nan,0.0
2018-10-29,BTC,C1,0,-0.0006286662568009138,0.0
2018-10-29,ETH,C1,0,0.0348309673642615,0.0
2018-10-29,SOL,C1,0,nan,0.0
2018-11-05,BTC,C1,0,-0.005417948302843922,0.0
2018-11-05,ETH,C1,0,0.0022156224956395576,0.0
2018-11-05,SOL,C1,0,nan,0.0
2018-11-12,BTC,C1,0,-0.12227646259093972,0.0
2018-11-12,ETH,C1,0,-0.15785512699905924,0.0
2018-11-12,SOL,C1,0,nan,0.0
2018-11-19,BTC,C1,0,-0.2778641243107486,0.0
2018-11-19,ETH,C1,0,-0.337298927613941,0.0
2018-11-19,SOL,C1,0,nan,0.0
2018-11-26,BTC,C1,0,0.017575311407810323,0.0
2018-11-26,ETH,C1,0,-0.017024863042562233,0.0
2018-11-26,SOL,C1,0,nan,0.0
2018-12-03,BTC,C1,0,-0.14711035800555228,0.0
2018-12-03,ETH,C1,0,-0.20037726142501922,0.0
2018-12-03,SOL,C1,0,nan,0.0
2018-12-10,BTC,C1,0,-0.08997348167812225,0.0
2018-12-10,ETH,C1,0,-0.09200085781685607,0.0
2018-12-10,SOL,C1,0,nan,0.0
2018-12-17,BTC,C1,0,0.2169223527663029,0.0
2018-12-17,ETH,C1,0,0.523736419461502,0.0
2018-12-17,SOL,C1,0,nan,0.0
2018-12-24,BTC,C1,0,-0.032213573011748986,0.0
2018-12-24,ETH,C1,0,0.06804619080833918,0.0
2018-12-24,SOL,C1,0,nan,0.0
2018-12-31,BTC,C1,0,0.04851280001682823,0.0
2018-12-31,ETH,C1,0,0.11668238879616855,0.0
2018-12-31,SOL,C1,0,nan,0.0
2019-01-07,BTC,C1,0,-0.12791088418655738,0.0
2019-01-07,ETH,C1,0,-0.2581064396646955,0.0
2019-01-07,SOL,C1,0,nan,0.0
2019-01-14,BTC,C1,0,0.017742325078503374,0.0
2019-01-14,ETH,C1,0,0.02969256372076723,0.0
2019-01-14,SOL,C1,0,nan,0.0
2019-01-21,BTC,C1,0,0.0030486598893553207,0.0
2019-01-21,ETH,C1,0,-0.046954746512419154,0.0
2019-01-21,SOL,C1,0,nan,0.0
2019-01-28,BTC,C1,0,-0.025898226785538214,0.0
2019-01-28,ETH,C1,0,-0.04203855765797937,0.0
2019-01-28,SOL,C1,0,nan,0.0
2019-02-04,BTC,C1,0,0.06409281370459574,0.0
2019-02-04,ETH,C1,0,0.16575048914562562,0.0
2019-02-04,SOL,C1,0,nan,0.0
2019-02-11,BTC,C1,0,-0.0032964195937223995,0.0
2019-02-11,ETH,C1,0,0.06913363171355513,0.0
2019-02-11,SOL,C1,0,nan,0.0
2019-02-18,BTC,C1,0,0.020705525654239,0.0
2019-02-18,ETH,C1,1,-0.012484114524930923,0.003
2019-02-18,SOL,C1,0,nan,0.0
2019-02-25,BTC,C1,0,0.017031916143991355,0.0
2019-02-25,ETH,C1,1,-0.011355034065102187,0.0
2019-02-25,SOL,C1,0,nan,0.0
2019-03-04,BTC,C1,1,0.02854238677074683,0.0015
2019-03-04,ETH,C1,1,0.03652373660030639,0.0
2019-03-04,SOL,C1,0,nan,0.0
2019-03-11,BTC,C1,1,0.01681822476564032,0.0
2019-03-11,ETH,C1,1,0.024377631676146816,0.0
2019-03-11,SOL,C1,0,nan,0.0
2019-03-18,BTC,C1,1,0.0023858256840414427,0.0
2019-03-18,ETH,C1,1,-0.018388981034109686,0.0
2019-03-18,SOL,C1,0,nan,0.0
2019-03-25,BTC,C1,1,0.027832688188206944,0.0
2019-03-25,ETH,C1,1,0.03886276814575362,0.0
2019-03-25,SOL,C1,0,nan,0.0
2019-04-01,BTC,C1,1,0.26029143631594875,0.0
2019-04-01,ETH,C1,1,0.23251538080758083,0.0
2019-04-01,SOL,C1,0,nan,0.0
2019-04-08,BTC,C1,1,-0.007541192239477024,0.0
2019-04-08,ETH,C1,1,-0.04062195191921503,0.0
2019-04-08,SOL,C1,0,nan,0.0
2019-04-15,BTC,C1,1,0.0245806114653655,0.0
2019-04-15,ETH,C1,1,0.008253094910591452,0.0
2019-04-15,SOL,C1,0,nan,0.0
2019-04-22,BTC,C1,1,0.009966884834928358,0.0
2019-04-22,ETH,C1,1,-0.06364553057713973,0.0
2019-04-22,SOL,C1,0,nan,0.0
2019-04-29,BTC,C1,1,0.0872667760240009,0.0
2019-04-29,ETH,C1,1,0.03287723299125811,0.0
2019-04-29,SOL,C1,0,nan,0.0
2019-05-06,BTC,C1,1,0.20700203354130653,0.0
2019-05-06,ETH,C1,1,0.15344986200551958,0.0
2019-05-06,SOL,C1,0,nan,0.0
2019-05-13,BTC,C1,1,0.1692966947177479,0.0
2019-05-13,ETH,C1,1,0.3791141596214176,0.0
2019-05-13,SOL,C1,0,nan,0.0
2019-05-20,BTC,C1,1,0.05702054752489594,0.0
2019-05-20,ETH,C1,1,0.019200370127616884,0.0
2019-05-20,SOL,C1,0,nan,0.0
2019-05-27,BTC,C1,1,0.013173813996799844,0.0
2019-05-27,ETH,C1,1,0.01709854359750329,0.0
2019-05-27,SOL,C1,0,nan,0.0
2019-06-03,BTC,C1,1,-0.12588012835205142,0.0
2019-06-03,ETH,C1,1,-0.14077435191728338,0.0
2019-06-03,SOL,C1,0,nan,0.0
2019-06-10,BTC,C1,1,0.1737683167771651,0.0
2019-06-10,ETH,C1,1,0.15890399099645047,0.0
2019-06-10,SOL,C1,0,nan,0.0
2019-06-17,BTC,C1,1,0.21813358650731596,0.0
2019-06-17,ETH,C1,1,0.1519814738729317,0.0
2019-06-17,SOL,C1,0,nan,0.0
