symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month
CVAC,2024-07-05,3.47,0.0,0.0,no_fill,0,0,6.969696969696971,243492.0,2.1397412507185907,34.35719888240472,3.0,0.7826086956521727,3.63636363636364,1.0,2.331384914037241,5.769230769230759,23.076923076923062,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0761186726353503,0.0380593363176751,0.0562144126500463,0.7230277528188687,4.0,5.0,3333.33375,0.0,0.3324701444445105,Q4,0,0.0,2024-07
SMR,2024-07-08,13.02897,-1004.3347499999971,-2.008984593563415,tag_bb,1,1,3.81026438569207,406099.0,1.657349349606757,68.1059187536781,2.0,0.3673469387755094,-1.399688958009329,0.0,-0.78640015366111,5.237315875613738,14.320785597381342,0.394285714285715,0.0,0.0,0.0,0.0,0.0,0.1473606510154265,0.0828172259829905,0.1442377037357688,0.753840530295731,0.0,8.0,3333.33375,-66.95565836945606,0.13724195896787922,Q2,3,-66.95565836945606,2024-07
IREN,2024-07-10,13.5982,0.0,0.0,no_fill,0,0,3.455350553505531,979875.0,1.391379475166362,41.015571980054204,1.0,0.1067919692439107,-2.7306273062730697,0.0,-1.7959499098778402,5.694227769110768,19.50078003120125,0.0719999999999998,18315766.166666668,13.258454435180514,-13.968253968253965,8.683358961241602,1.1000356641737354,0.0734378085339509,-0.0087960220439247,0.2248929509553452,0.4594091918236685,2.0,10.0,3333.33375,0.0,0.17949623886193497,Q2,3,0.0,2024-07
MLGO,2024-07-17,3.39,0.0,0.0,no_fill,0,0,6.547619047619054,869721.0,2.6030841241977587,23.004055110504805,3.0,0.409090909090908,-2.976190476190479,1.0,0.8638409636771266,18.30985915492958,19.366197183098603,0.1090909090909091,5860507.181818182,31.953597135379464,-78.89433978856651,7.555652228725059,1.0662459418847383,0.1879060112027896,0.1628518763757551,-1.072832206210399,0.8777798043422004,2.0,17.0,3333.33375,0.0,0.12453422256989524,Q2,3,0.0,2024-07
ZAPP,2024-07-18,15.01491,-2228.6691000000033,-4.457369374841414,stop,0,1,4.201101928374664,175239.0,1.9740143250326316,70.18507356942895,2.0,0.3929508196721318,0.5488980716253496,0.0,-0.7322186300095721,6.140350877192981,14.035087719298245,0.0260416666666661,26283569.25,35.83298960865832,-23.979057591623047,46.35060786048143,0.1030708186636409,0.1128001289144322,-0.0590857818123294,0.2818975114015757,0.7230959573938115,3.0,18.0,3333.33375,-148.5779585722427,0.3102128180554803,Q4,0,-148.5779585722427,2024-07
ZAPP,2024-07-23,9.76922,-2397.936539999997,-4.795981664861671,stop,0,1,4.559915164369032,70184.0,1.3674071520770748,42.22681927865011,4.0,0.9269767441860473,2.9544008483563187,1.0,1.6505809163060907,7.037457434733248,24.9716231555051,0.0727272727272728,21372877.8,32.92946330676695,-50.6282722513089,44.66385312702785,0.0620976740904774,0.1442637140693105,0.0216395571103986,-0.0198323266925112,1.178301192775158,1.0,23.0,3333.33375,-159.86245598280428,0.5933655780362479,Q5,1,-159.86245598280428,2024-07
SDIG,2024-07-26,3.37,0.0,0.0,no_fill,0,0,3.5820895522388088,40465.0,1.324098739603584,94.53675891985492,4.0,0.6666666666666666,-0.5970149253731348,1.0,0.1407679298736089,5.678233438485809,15.772870662460567,0.0,608163.2777777778,10.820113563879143,-30.64182194616977,7.20965816036813,1.250200444160692,0.1733421848491445,-0.0571660396842858,0.7187830835237096,1.3745844727256311,4.0,26.0,3333.33375,0.0,0.5395546485208362,Q5,1,0.0,2024-07
NIPG,2024-07-29,10.41114,16937.7594672,33.879385060098514,scale_eod,1,1,3.766105054509423,91849.0,1.821085326087952,47.36310718312642,2.0,0.5263157894736813,1.09018830525272,0.0,0.2410854650795103,11.862527716186255,56.31818181818182,0.1929171834091223,0.0,0.0,0.0,0.0,0.0,0.2673894729130868,-0.1886377788359351,0.29020645066489,1.5153012964869672,0.0,29.0,3333.33375,1129.1841056279957,0.3086440200102939,Q4,0,1129.1841056279957,2024-07
NIPG,2024-08-01,11.7851497,-940.5561774000047,-1.8813906114404393,tag_bb,0,1,6.079310344827583,111031.0,2.2244087345472208,45.59290067211336,2.0,0.9147759500850818,0.7741379310344856,1.0,1.4390205822788504,7.308048103607763,11.37557816836262,0.2437179799951206,0.0,0.0,0.0,0.0,0.0,0.228025408545522,0.1664947427475177,0.3195294203082923,1.1659577170971955,3.0,1.0,3333.33375,-62.70375299796846,0.3359900785430492,Q4,0,-62.70375299796846,2024-08
SOXS,2024-08-01,25.044909999999994,5986.166781020006,11.974814657418365,scale_eod,1,1,2.688603531300153,2016214.0,1.1021554650669063,42.754128400754944,0.0,0.0,-2.487961476725525,0.0,-1.180543780806541,6.450234942332343,11.2772319521572,0.0113636363636367,56585009.35,8.476681691715541,-15.924426450742237,9.583069499829056,1.134433885182348,0.228025408545522,0.1664947427475177,0.3195294203082923,1.1659577170971955,3.0,1.0,3333.33375,399.07783528605694,0.14338572534702476,Q2,3,399.07783528605694,2024-08
