day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-04-01,AIP,13,841,6.895,6.895,6.85,6.9,6.895,False,False,False,True,False,True,False,6.66,6.66,7.0329,0.02000000000000002,-0.6889050036258197,eod,955,-0.6889050036258197,eod,955,6.96395,0.01000000000000001,-1.100999999999991,stop,903,-1.100999999999991,stop,903
2025-04-01,ANGI,13,840,14.815,14.815,15.03,15.0,14.815,True,False,False,True,False,True,False,14.65,14.56,15.1113,0.02000000000000003,-0.0337495781302726,eod,955,-0.0337495781302726,eod,955,15.0,0.01248734390820118,-1.0810810810810743,stop,880,-1.0810810810810743,stop,880
2025-04-01,AXSM,10,660,109.71,109.725,112.43,110.665,109.71,False,False,False,True,False,True,False,107.0,107.0,111.90419999999999,0.019999999999999955,-0.9525111658007511,eod,955,-0.9525111658007511,eod,955,110.80709999999999,0.009999999999999978,-1.1009999999999895,stop,698,-1.1009999999999895,stop,698
2025-04-01,AXSM,14,900,110.07,110.08,112.43,110.38,110.07,False,False,False,True,False,True,False,107.0,107.0,112.2714,0.020000000000000063,-0.7858635413827558,eod,955,-0.7858635413827558,eod,955,111.1707,0.010000000000000031,-1.1009999999999889,stop,951,-1.1009999999999889,stop,951
2025-04-01,BAND,14,900,13.43,13.415,13.01,13.505,13.43,False,False,False,True,False,True,True,12.75,12.75,13.6986,0.02000000000000008,-0.3723008190617991,eod,955,-0.3723008190617991,eod,955,13.5643,0.009999999999999974,-0.7446016381236032,eod,955,-0.7446016381236032,eod,955
2025-04-01,BZFD,13,842,2.14,2.14,2.11,2.23,2.14,True,False,False,True,False,True,False,2.0405,2.0405,2.1828000000000003,0.02000000000000008,0.11682242990654948,eod,955,0.11682242990654948,eod,955,2.23,0.04205607476635507,0.0555555555555594,eod,955,0.0555555555555594,eod,955
2025-04-01,CLYM,13,841,1.25,1.25,1.22,1.26,1.25,True,False,False,True,False,True,False,1.22,1.2,1.275,0.019999999999999928,0.0,eod,955,0.0,eod,955,1.2625,0.009999999999999964,0.0,eod,955,0.0,eod,955
2025-04-01,DMRC,14,901,12.83,12.82,12.79,13.185,12.83,False,True,False,False,False,True,True,12.44,12.44,13.0866,0.020000000000000046,-1.0509999999999975,stop,936,-1.0509999999999975,stop,936,13.185,0.02766952455183168,-0.6338028169014067,eod,955,-0.6338028169014067,eod,955
2025-04-01,EGO,12,780,17.445,17.445,16.72,17.495,17.445,False,False,False,True,False,True,False,16.72,16.72,17.7939,0.020000000000000025,-0.38693035253653724,eod,955,-0.38693035253653724,eod,955,17.61945,0.010000000000000012,-0.7738607050730745,eod,955,-0.7738607050730745,eod,955
2025-04-01,GDXD,12,780,6.5212,6.515,6.29,6.53,6.5212,False,True,True,False,False,True,True,6.1499,6.1499,6.651624000000001,0.02000000000000008,1.320309145556028,eod,955,1.320309145556028,eod,955,6.586412,0.009999999999999972,2.6406182911120744,eod,955,2.0,target,946
2025-04-01,GHRS,14,903,10.595,10.63,10.99,10.72,10.595,False,False,False,True,False,True,False,10.405,10.405,10.8069,0.019999999999999997,-1.0509999999999935,stop,951,-1.0509999999999935,stop,951,10.72,0.011798017932987258,-1.5261999999999887,stop,917,-1.5261999999999887,stop,917
2025-04-01,IDR,9,600,15.4463,15.42,14.5,15.4978,15.4463,True,True,True,False,False,True,True,14.42,14.42,15.755226,0.019999999999999973,1.9302357198811428,eod,955,2.0,target,675,15.600763,0.009999999999999986,3.8604714397622857,eod,955,2.0,target,633
2025-04-01,IMRX,14,900,1.5118,1.515,1.54,1.53,1.5118,True,False,False,True,False,True,False,1.5,1.495,1.542036,0.019999999999999952,0.3902632623362899,eod,955,0.3902632623362899,eod,955,1.53,0.012038629448339723,0.6483516483516504,eod,955,0.6483516483516504,eod,955
