day,symbol,split,leg,leg_m,price,rpct,sp_mean,sp_med,n_q,err
2025-04-09,RGLD,TRAIN,entry,840,166.435,0.0199999999999999,1.387692307692306,1.4199999999999875,26,
2025-04-09,RGLD,TRAIN,exit,955,166.435,0.0199999999999999,0.23834319526626782,0.21999999999999886,169,
2025-02-20,GME,TRAIN,entry,780,27.13,0.02,0.054798206278026326,0.05999999999999872,223,
2025-02-20,GME,TRAIN,exit,955,27.13,0.02,0.01719101123595503,0.019999999999999574,178,
2025-03-04,BAH,TRAIN,entry,900,109.03,0.0199999999999999,0.13677083333333226,0.14000000000000057,96,
2025-03-04,BAH,TRAIN,exit,955,109.03,0.0199999999999999,0.08346938775510133,0.0799999999999983,294,
2025-12-11,ROIV,TRAIN,entry,660,21.675,0.0199999999999999,0.010625000000000322,0.010000000000001563,944,
2025-12-11,ROIV,TRAIN,exit,955,21.675,0.0199999999999999,0.010036036036036632,0.010000000000001563,555,
2025-04-17,ARCO,TRAIN,entry,720,7.41,0.02,0.010063694267515964,0.009999999999999787,157,
2025-04-17,ARCO,TRAIN,exit,955,7.41,0.02,0.009999999999999787,0.009999999999999787,118,
2025-10-08,CNR,TRAIN,entry,840,97.83,0.02,0.24350000000000377,0.2400000000000091,20,
2025-10-08,CNR,TRAIN,exit,955,97.83,0.02,0.03880382775119413,0.03999999999999204,209,
2025-02-05,ASND,TRAIN,entry,900,131.055,0.02,0.38843373493975675,0.5099999999999909,83,
2025-02-05,ASND,TRAIN,exit,955,131.055,0.02,0.42530864197530815,0.4900000000000091,81,
2025-10-22,PEGA,TRAIN,entry,600,63.93,0.02,0.22892523364486092,0.20000000000000284,214,
2025-10-22,PEGA,TRAIN,exit,788,63.93,0.02,0.09575999999999692,0.0899999999999892,125,
2025-12-03,M,TRAIN,entry,600,22.36,0.0199999999999999,0.02473389355742324,0.020000000000003126,714,
2025-12-03,M,TRAIN,exit,606,22.36,0.0199999999999999,0.010296096904441762,0.010000000000001563,1486,
2025-05-07,FVRR,TRAIN,entry,600,28.56,0.02,0.09182795698924703,0.08999999999999986,93,
2025-05-07,FVRR,TRAIN,exit,955,28.56,0.02,0.04825757575757431,0.04999999999999716,132,
2025-10-16,VICR,TRAIN,entry,660,60.41,0.0199999999999999,0.15095238095237934,0.13000000000000256,21,
2025-10-16,VICR,TRAIN,exit,955,60.41,0.0199999999999999,0.14230769230769214,0.14000000000000057,26,
2025-11-03,NPKI,TRAIN,entry,600,12.66,0.0199999999999999,0.041591836734694264,0.040000000000000924,245,
2025-11-03,NPKI,TRAIN,exit,639,12.66,0.0199999999999999,0.05311475409836101,0.0600000000000005,61,
2025-11-05,NBIX,TRAIN,entry,600,156.125,0.02,0.7849450549450532,0.7199999999999989,91,
2025-11-05,NBIX,TRAIN,exit,955,156.125,0.02,0.1837500000000037,0.20000000000001705,104,
2025-11-06,PCOR,TRAIN,entry,600,81.01,0.0199999999999999,0.5899259259259266,0.5700000000000074,135,
2025-11-06,PCOR,TRAIN,exit,955,81.01,0.0199999999999999,0.04670299727520382,0.04999999999999716,367,
2025-11-19,NEXA,TRAIN,entry,840,6.52,0.0199999999999999,0.041153846153846166,0.040000000000000036,26,
2025-11-19,NEXA,TRAIN,exit,955,6.52,0.0199999999999999,0.01971428571428552,0.019999999999999574,35,
2025-04-02,PVH,TRAIN,entry,660,78.28,0.02,0.1856756756756758,0.1700000000000017,74,
2025-04-02,PVH,TRAIN,exit,955,78.28,0.02,0.06399317406143006,0.06999999999999318,293,
2025-04-03,TCMD,TRAIN,entry,900,13.795,0.02,0.030000000000001137,0.030000000000001137,2,
2025-04-03,TCMD,TRAIN,exit,955,13.795,0.02,0.03189189189189121,0.02999999999999936,74,
2025-01-27,HIT,TRAIN,entry,900,5.43,0.02,0.0467816091954022,0.040000000000000036,87,
2025-01-27,HIT,TRAIN,exit,955,5.43,0.02,0.05882352941176481,0.0600000000000005,34,
