n_rec,n_ok,n_chg,n_win,r2,beta,t,mean_depth,mean_spread_bps,dataset,schema,symbol
607658,607634,584581,2339,0.10985960222913549,0.005700530276306259,16.983183873434058,91.23135308425796,5.221393806032596,EQUS.MINI,mbp-1,AAPL
193967,193934,186580,2303,0.03509718478396695,0.003964092179158668,9.148558377742978,194.90719523136738,57.583557824031566,EQUS.MINI,mbp-1,FSLY
11042,8220,8148,1094,0.23070968520405977,0.11887381912084326,18.09668804937087,90.72627737226277,1096.0679932598935,EQUS.MINI,mbp-1,USAX
21135,21135,18535,2339,0.2647785767336486,0.016954666366303408,29.01093334648242,96.48966169860421,4.076646441712213,EQUS.MINI,bbo-1s,AAPL
13860,13855,11045,2317,0.10647254868074774,0.011826970837620483,16.60888097917041,209.61537351136775,42.1041398199751,EQUS.MINI,bbo-1s,FSLY
3160,3160,3089,1084,0.6034641280441873,0.15458013735711848,40.578699046824184,99.26962025316456,785.2774602224463,EQUS.MINI,bbo-1s,USAX
601925,601925,522455,2339,0.6189615683292735,0.00307028203287967,61.6136316459789,127.20001661336545,0.9794838327990725,XNAS.ITCH,mbp-1,AAPL
179077,179077,157936,2311,0.5414901786970521,0.003583567311882311,52.21952740845001,601.4569095975475,10.004432652575183,XNAS.ITCH,mbp-1,FSLY
73609,73609,73185,2240,0.1742343173123333,0.03364334626907586,21.730437741189434,604.2457036503688,334.70229792282663,XNAS.ITCH,mbp-1,USAX
21965,21965,21325,2339,0.3309443205660413,0.007355574501801165,33.999747486384166,112.77318461188254,0.8295884466034624,XNAS.ITCH,bbo-1s,AAPL
13683,13683,12766,2313,0.3344220393883566,0.005369612700414255,34.07594839733523,477.9842139881605,11.224266983019291,XNAS.ITCH,bbo-1s,FSLY
20763,20763,16814,2234,0.07003168727261944,0.01829421606442307,12.96463560587311,626.7163223040986,327.2281725170524,XNAS.ITCH,bbo-1s,USAX
1021670,1021670,480195,2339,0.5798839875225358,0.0028522661780913494,56.79567915505368,123.26749097066568,1.0138573231494388,XNAS.BASIC,cmbp-1,AAPL
235732,235732,139482,2339,0.5298878986642297,0.0034921600014422016,51.324017166565504,636.9581007245516,10.615545210326207,XNAS.BASIC,cmbp-1,FSLY
74352,74352,73114,2246,0.1740859906709653,0.033563976444747706,21.748330368752363,603.027887615666,335.26623756253184,XNAS.BASIC,cmbp-1,USAX
23392,23392,21325,2339,0.3301435452480337,0.007342423365332473,33.93828467529878,113.23882096443228,0.82127076425273,XNAS.BASIC,cbbo-1s,AAPL
20145,20145,12766,2339,0.3226467737263645,0.005212873033994347,33.364561215827955,441.7373790022338,11.145236581201093,XNAS.BASIC,cbbo-1s,FSLY
20804,20804,16814,2241,0.06983898178099057,0.018254091744828845,12.965728664508848,627.0226398769468,327.2986390077962,XNAS.BASIC,cbbo-1s,USAX
119830,119830,112462,2330,0.39425074227236656,0.00544824945201743,38.92524031745383,15.39014854377034,4.59987031596556,XNYS.PILLAR,mbp-1,AAPL
40218,40218,36680,1784,0.05334383111008434,0.005254374608291964,10.02074052541846,130.74174498980557,67.05201542777145,XNYS.PILLAR,mbp-1,FSLY
136,19,0,0,,,,,,XNYS.PILLAR,mbp-1,USAX
15519,15519,14037,2332,0.16961096698983757,0.004130601826639106,21.81544735478481,17.958856885108577,4.239609231929664,XNYS.PILLAR,bbo-1s,AAPL
6071,6071,3707,1787,0.028069652403904022,0.0037299316551977946,7.179927454225226,167.86353154340307,93.93303759650556,XNYS.PILLAR,bbo-1s,FSLY
46,0,0,0,,,,,,XNYS.PILLAR,bbo-1s,USAX
