day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-01-07,COHR,13,840,98.17,98.21,101.02,99.19,98.17,False,False,False,True,False,True,False,96.86,96.21,100.13340000000001,0.020000000000000073,0.4889477437098933,eod,955,0.4889477437098933,eod,955,99.19,0.010390139553835142,0.9411764705882467,eod,955,0.9411764705882467,eod,955
2025-01-07,EGAN,13,840,7.29,7.33,6.95,7.33,7.29,True,True,True,False,False,True,False,6.95,6.95,7.4358,0.020000000000000052,0.925925925925922,eod,956,0.925925925925922,eod,956,7.3629,0.009999999999999966,1.8518518518518554,eod,956,2.0,target,853
2025-01-07,EGAN,14,900,7.11,7.11,6.95,7.2911,7.11,True,True,False,False,False,True,False,6.95,6.95,7.2522,0.019999999999999983,-0.3164556962025314,eod,956,-0.3164556962025314,eod,956,7.2911,0.02547116736990152,-0.24848150193263377,eod,956,-0.24848150193263377,eod,956
2025-01-07,LAZR,9,600,9.75,9.81,9.12,10.4,9.75,True,True,True,False,False,False,False,8.55,8.55,9.945,0.020000000000000028,-1.0509999999999913,stop,607,2.0,target,601,10.4,0.06666666666666671,1.4846153846153836,eod,955,1.4846153846153836,eod,955
2025-01-07,LAZR,10,660,9.715,9.7,9.12,10.07,9.715,True,False,False,True,False,True,True,8.55,8.55,9.9093,0.020000000000000014,4.786412763767365,eod,955,2.0,target,677,10.07,0.03654143077714878,2.619718309859151,eod,955,2.0,target,766
2025-01-07,SDA,12,780,9.28,9.28,9.65,9.4,9.28,False,False,False,True,False,True,False,9.0,9.0,9.4656,0.020000000000000094,-1.0509999999999924,stop,928,-1.0509999999999924,stop,928,9.4,0.012931034482758728,-1.4954166666666477,stop,928,-1.4954166666666477,stop,928
2025-01-07,SKRE,14,900,13.515,13.515,13.06,13.56,13.515,False,False,False,True,False,True,False,12.9516,12.9516,13.785300000000001,0.02000000000000005,0.17684054753977207,eod,956,0.17684054753977207,eod,956,13.65015,0.009999999999999959,-1.185805401405838,stop,925,-1.185805401405838,stop,925
2025-01-07,TARA,13,840,6.1125,6.11,5.81,6.16,6.1125,True,False,False,True,False,True,True,5.79,5.79,6.23475,0.02000000000000003,1.247443762781183,eod,955,1.247443762781183,eod,955,6.1736249999999995,0.009999999999999943,2.494887525562384,eod,955,2.0,target,934
2025-01-07,VENU,9,600,10.0,9.99,10.0,10.0,10.0,False,False,False,True,False,True,True,9.9191,9.5,10.2,0.019999999999999928,1.0,eod,956,2.0,target,646,10.1,0.009999999999999964,2.0,eod,956,2.0,target,646
2025-01-07,EGAN,11,724,6.99,6.985,6.95,7.14,6.99,False,False,False,False,True,True,True,6.95,6.95,7.1298,0.02000000000000002,-1.0882331902718057,stop,769,-1.0882331902718057,stop,769,7.14,0.021459227467811082,-1.0475999999999923,stop,791,-1.0475999999999923,stop,791
