day,dataset,symbol,n,rho_lambda,sign_agree,rho_flow,rho_lam_ret_full,rho_lam_ret_snap
2026-03-11,XNAS.ITCH,AAPL,389,0.26518516102782413,0.6940874035989717,0.5902391092065913,-0.013047199888486766,0.06940546153902752
2026-03-11,XNAS.ITCH,FSLY,389,0.2106323434015047,0.7249357326478149,0.5934644027162512,0.050528067977607304,0.02387685160352899
2026-03-11,XNAS.ITCH,USAX,381,0.2564594877367264,0.7112860892388452,0.6184329113046547,-0.011514164799677382,-0.014843122167613739
2026-03-11,EQUS.MINI,AAPL,386,-0.046960728540128525,0.48186528497409326,0.03900861158362062,0.16343118256292824,0.037388024366715775
2026-03-11,EQUS.MINI,FSLY,382,0.2799056746755858,0.6884816753926701,0.46856480608919004,-0.01337022113141706,0.00893931457719924
2026-03-11,EQUS.MINI,USAX,130,0.6035058209902732,0.8307692307692308,0.7210256411944425,0.2773433109932431,0.34569900206454884
2026-05-11,XNAS.ITCH,AAPL,389,0.26764267937607106,0.7069408740359897,0.5899932521828476,-0.010648902017686217,0.04182259135284769
2026-05-11,XNAS.ITCH,FSLY,389,0.3205459159007578,0.8226221079691517,0.7740121379164128,0.07571015838601354,-0.11631557343393588
2026-05-11,XNAS.ITCH,USAX,354,0.06457099432925215,0.536723163841808,0.23458998577821183,-0.14486989782806875,0.03039049417402705
2026-05-11,EQUS.MINI,AAPL,389,0.1267296395622931,0.5809768637532133,0.21205311000980573,0.24143232313646742,0.04806005202863309
2026-05-11,EQUS.MINI,FSLY,384,0.20835484774379787,0.6145833333333334,0.2753895256179852,0.09726170618078925,-0.021509926313270568
2026-05-11,EQUS.MINI,USAX,169,0.4437139150925197,0.727810650887574,0.455879785076092,-0.12306200586743575,-0.03212549366701514
