day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-12-01,ACNT,10,660,15.2999,15.3,14.34,15.6,15.2999,True,False,False,True,False,True,False,14.33,14.33,15.605898,0.020000000000000046,0.5062124589049577,eod,955,0.5062124589049577,eod,955,15.6,0.019614507284361368,0.5161612795734734,eod,955,0.5161612795734734,eod,955
2025-12-01,AGQ,9,600,111.09,111.1,110.07,111.29,111.09,False,False,False,True,False,True,False,108.0,108.0,113.3118,0.020000000000000014,-1.050999999999996,stop,673,-1.050999999999996,stop,673,112.2009,0.010000000000000007,-1.1009999999999915,stop,666,-1.1009999999999915,stop,666
2025-12-01,AGQ,11,720,113.4756,113.4779,110.07,115.78,113.4756,True,True,True,False,False,True,False,108.0,108.0,115.745112,0.020000000000000052,0.6942461639330351,eod,955,0.6942461639330351,eod,955,115.78,0.020307449354751164,0.683735462593297,eod,955,0.683735462593297,eod,955
2025-12-01,ALT,9,600,4.92,4.915,5.05,5.09,4.92,False,True,False,False,False,True,True,4.73,4.73,5.0184,0.019999999999999962,-1.0509999999999908,stop,685,-1.0509999999999908,stop,685,5.09,0.03455284552845527,-1.0299411764705833,stop,718,-1.0299411764705833,stop,718
2025-12-01,ASH,9,600,56.8954,56.99,54.15,57.0,56.8954,True,True,True,False,False,True,False,54.05,54.05,58.033308000000005,0.020000000000000052,-1.0568868484974048,stop,813,-1.0568868484974048,stop,813,57.464354,0.009999999999999964,-1.1009999999999949,stop,608,-1.1009999999999949,stop,608
2025-12-01,BF.B,14,900,30.055,30.06,28.91,30.39,30.055,True,False,False,True,False,True,False,28.895,28.895,30.6561,0.019999999999999962,0.1913159208118427,eod,955,0.1913159208118427,eod,955,30.39,0.011146231908168387,0.3432835820895467,eod,955,0.3432835820895467,eod,955
2025-12-01,BLTE,9,600,143.3,143.3,153.5,154.99,143.3,False,True,False,False,False,True,False,130.06,130.06,146.16600000000003,0.020000000000000094,-1.1571772505233653,stop,636,-1.1571772505233653,stop,636,154.99,0.08157711095603626,-0.8451668092386653,eod,955,-0.8451668092386653,eod,955
2025-12-01,BLTE,10,660,147.605,147.9,153.5,148.7583,147.605,False,True,True,False,False,True,False,130.06,130.06,150.5571,0.02000000000000001,-1.0509999999999953,stop,725,-1.0509999999999953,stop,725,149.08105,0.010000000000000103,-1.1009999999999842,stop,664,-1.1009999999999842,stop,664
2025-12-01,BLTE,11,720,147.965,147.965,153.5,149.72,147.965,False,False,False,True,False,True,False,130.06,130.06,150.92430000000002,0.020000000000000087,-1.0509999999999948,stop,725,-1.0509999999999948,stop,725,149.72,0.011860913053762683,-1.0853105413105266,stop,725,-1.0853105413105266,stop,725
2025-12-01,CPNG,9,600,26.21,26.215,27.3,27.69,26.21,False,True,False,False,False,True,False,26.19,26.13,26.7342,0.020000000000000018,-1.050999999999993,stop,636,-1.050999999999993,stop,636,27.69,0.056466997329263656,-0.41756756756756647,eod,955,-0.41756756756756647,eod,955
2025-12-01,CPNG,10,660,26.815,26.815,27.3,26.835,26.815,False,True,True,False,False,True,False,26.13,26.13,27.351300000000002,0.020000000000000025,-0.024240164087261065,eod,955,-0.024240164087261065,eod,955,27.08315,0.009999999999999946,-1.1009999999999847,stop,805,-1.1009999999999847,stop,805
