n_rec,n_ok,n_chg,n_win,r2,beta,t,mean_depth,mean_spread_bps,dataset,schema,symbol
1320344,1320338,1309404,2339,0.00603222878923837,0.0008697861790796405,3.766015535731073,98.62505509952754,10.939275072557022,EQUS.MINI,mbp-1,AAPL
160929,160915,151795,2300,0.03793130971088987,0.004549302198256908,9.518552088828804,297.93579218842245,74.05857294672518,EQUS.MINI,mbp-1,FSLY
5601,3149,3114,536,0.13890055324909834,0.10108549965453166,9.281025399115947,109.33407430930454,1233.9211204803062,EQUS.MINI,mbp-1,USAX
23094,23094,20070,2339,0.18219904418076727,0.018751203972784482,22.818053625952377,102.64337057244306,7.4740237937872935,EQUS.MINI,bbo-1s,AAPL
14381,14380,11351,2296,0.17400707112141178,0.024867587539822242,21.983254643163374,283.12764255910986,66.63646908713245,EQUS.MINI,bbo-1s,FSLY
2648,1412,1031,447,0.3843925651272113,0.23261590356560605,16.669231069946356,90.75070821529745,1438.147544271559,EQUS.MINI,bbo-1s,USAX
973100,973100,910315,2339,0.648975384030251,0.0024392573029022647,65.73167235426173,123.92296937622032,1.010122731890858,XNAS.ITCH,mbp-1,AAPL
188677,188677,161697,2307,0.5222426896086765,0.003129284458778137,50.19586920656695,566.9319074396985,10.657283560742558,XNAS.ITCH,mbp-1,FSLY
74319,74319,74252,2152,0.5622421515796935,0.0060936945131053214,52.548940031474025,242.1438326672856,88.02154942387104,XNAS.ITCH,mbp-1,USAX
23192,23192,22746,2339,0.4014974021517992,0.007460446557236119,39.594759196537815,103.86305622628493,0.9709754096641944,XNAS.ITCH,bbo-1s,AAPL
14531,14531,13276,2306,0.3661940707531949,0.005157878899981052,36.48536897323443,331.17600302800906,10.850038663190325,XNAS.ITCH,bbo-1s,FSLY
11855,11855,10608,2154,0.40613179378615305,0.013205553411356478,38.3627375388137,252.50932096161958,87.34244657843725,XNAS.ITCH,bbo-1s,USAX
1261591,1261591,881138,2339,0.6458401787420622,0.002427338919688178,65.28181811712503,118.84777792485838,1.0323064496678627,XNAS.BASIC,cmbp-1,AAPL
254886,254886,143665,2339,0.5123961072610796,0.003127790128213217,49.556278503322396,508.66009510133944,11.402796917877561,XNAS.BASIC,cmbp-1,FSLY
74290,74290,73755,2157,0.5609484964125719,0.006109747599265925,52.471973309430524,241.6078072418899,88.06731995450323,XNAS.BASIC,cmbp-1,USAX
23395,23395,22746,2339,0.4015589688325695,0.0074561005385112445,39.599831690404095,103.82006839068177,0.9689803541626111,XNAS.BASIC,cbbo-1s,AAPL
20423,20423,13276,2339,0.415356688340227,0.005860730177398603,40.74689005027496,307.53635606913775,10.746370335655252,XNAS.BASIC,cbbo-1s,FSLY
11946,11946,10608,2159,0.40635541769020944,0.013191923100893406,38.42508574968833,252.4251632345555,87.5135751210716,XNAS.BASIC,cbbo-1s,USAX
246308,246308,242299,2337,0.30595292264537644,0.004952902074929741,32.0830967299672,17.208158078503338,4.484670875029723,XNYS.PILLAR,mbp-1,AAPL
46521,46521,43483,2012,0.04599003637573096,0.0036911725248341934,9.843588495200132,142.8570860471615,82.13915278048674,XNYS.PILLAR,mbp-1,FSLY
24,8,0,0,,,,,,XNYS.PILLAR,mbp-1,USAX
21346,21346,18851,2339,0.2602854976017136,0.0051508486376570335,28.676244530631813,11.292326431181486,4.6346361136415,XNYS.PILLAR,bbo-1s,AAPL
7150,7150,4845,2005,0.017192826712194242,0.0017755876042125605,5.919430948521432,188.2623076923077,88.67811008408131,XNYS.PILLAR,bbo-1s,FSLY
15,3,0,0,,,,,,XNYS.PILLAR,bbo-1s,USAX
