dataset,symbol,n_chg_full,n_chg_snap,lost,r2_full,r2_snap
EQUS.MINI,AAPL,1309404,20070,0.9846724158472099,0.00603222878923837,0.18219904418076727
EQUS.MINI,FSLY,151795,11351,0.9252215158602062,0.03793130971088987,0.17400707112141178
EQUS.MINI,USAX,3114,1031,0.6689145793192036,0.13890055324909834,0.3843925651272113
XNAS.ITCH,AAPL,910315,22746,0.9750130449349951,0.648975384030251,0.4014974021517992
XNAS.ITCH,FSLY,161697,13276,0.9178958174857913,0.5222426896086765,0.3661940707531949
XNAS.ITCH,USAX,74252,10608,0.8571351613424554,0.5622421515796935,0.40613179378615305
XNAS.BASIC,AAPL,881138,22746,0.9741856553683986,0.6458401787420622,0.4015589688325695
XNAS.BASIC,FSLY,143665,13276,0.9075905752966972,0.5123961072610796,0.415356688340227
XNAS.BASIC,USAX,73755,10608,0.8561724628838723,0.5609484964125719,0.40635541769020944
XNYS.PILLAR,AAPL,242299,18851,0.9221994312811856,0.30595292264537644,0.2602854976017136
XNYS.PILLAR,FSLY,43483,4845,0.888577145091185,0.04599003637573096,0.017192826712194242
XNYS.PILLAR,USAX,0,0,1.0,,
