day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-02-03,AMZZ,12,784,40.25,40.1,38.9,40.5813,40.25,False,False,False,True,False,True,True,38.5,38.5,41.055,0.019999999999999993,0.1987577639751511,eod,955,0.1987577639751511,eod,955,40.6525,0.010000000000000085,0.3975155279502987,eod,955,0.3975155279502987,eod,955
2025-02-03,AMZZ,14,900,40.025,40.07,38.9,40.28,40.025,False,False,False,True,False,True,False,38.5,38.5,40.8255,0.01999999999999999,-0.0811992504684633,eod,955,-0.0811992504684633,eod,955,40.42525,0.009999999999999995,-0.1623985009369266,eod,955,-0.1623985009369266,eod,955
2025-02-03,BABA,9,600,99.55,99.5634,96.505,100.15,99.55,False,True,True,False,False,True,False,96.07,96.07,101.541,0.019999999999999997,-1.0509999999999915,stop,628,-1.0509999999999915,stop,628,100.5455,0.01000000000000007,-1.1009999999999949,stop,623,-1.1009999999999949,stop,623
2025-02-03,BOOT,10,660,156.1,156.315,155.02,156.54,156.1,False,True,True,False,False,True,False,148.27,144.145,159.222,0.02000000000000009,3.701153106982689,eod,955,2.0,target,735,157.661,0.010000000000000045,7.402306213965378,eod,955,2.0,target,665
2025-02-03,CABO,13,841,285.565,287.0,295.7,293.675,285.565,False,True,False,False,False,True,False,285.565,282.475,291.2763,0.01999999999999998,-0.2884632220335092,eod,955,-0.2884632220335092,eod,955,293.675,0.028399838915833572,-0.20314426633785163,eod,955,-0.20314426633785163,eod,955
2025-02-03,CDE,10,660,6.81,6.815,6.62,6.91,6.81,False,False,False,True,False,True,False,6.56,6.56,6.9462,0.02000000000000008,-1.0509999999999917,stop,682,-1.0509999999999917,stop,682,6.91,0.014684287812041195,-1.0690999999999948,stop,680,-1.0690999999999948,stop,680
2025-02-03,CONI,12,781,10.11,10.1,10.43,10.24,10.11,False,False,False,True,False,True,True,9.9379,9.92,10.312199999999999,0.019999999999999952,0.39564787339268187,eod,955,0.39564787339268187,eod,955,10.24,0.012858555885262194,0.6153846153846122,eod,955,0.6153846153846122,eod,955
2025-02-03,CXDO,9,602,5.625,5.627,5.6,5.76,5.625,False,False,False,True,False,True,False,5.509,5.509,5.7375,0.01999999999999997,-1.3259413333333254,stop,632,-1.3259413333333254,stop,632,5.76,0.023999999999999962,-1.1049511111111046,stop,632,-1.1049511111111046,stop,632
2025-02-03,DOUG,10,660,1.93,1.94,1.83,1.94,1.93,True,True,True,False,False,True,False,1.7996,1.7996,1.9686,0.019999999999999983,1.3730569948186524,eod,955,2.0,target,687,1.9493,0.010000000000000049,2.746113989637289,eod,955,2.0,target,662
2025-02-03,ETH,11,720,25.57,25.55,24.18,25.8396,25.57,True,False,False,True,False,True,True,24.06,24.06,26.081400000000002,0.020000000000000073,-1.0509999999999908,stop,858,-1.0509999999999908,stop,858,25.8396,0.010543605788032871,-1.0958442136498427,stop,840,-1.0958442136498427,stop,840
