cap,n,TRAIN_n,TRAIN_g,TRAIN_t,VAL_n,VAL_g,VAL_t
0.3%,1995,1214,0.15965663619850157,4.694847781761877,781,0.13558735985596437,2.6507813489975414
0.6% (shipped),2100,1269,0.1529109376497015,4.639369380870329,831,0.12928025852760217,2.550413645824649
1.2%,2144,1296,0.1676913847388449,5.091371437983652,848,0.12348171895541622,2.4466295074419264
none,2148,1297,0.16749018351236508,5.087797622626527,851,0.12259038519799602,2.4039451553522757
