bar_date,n
2020-04-08,2057
2020-04-09,2051
2020-04-13,2003
2020-04-14,1973
2020-04-15,1943
2020-04-16,1902
2020-04-17,1878
2020-04-20,1874
2020-04-21,1867
2020-04-22,1838
2020-04-23,1795
2020-04-24,1792
2020-04-27,1778
2020-04-28,1764
2020-04-29,1756
2020-04-30,1777
2020-05-01,1767
2020-05-04,1757
2020-05-05,1773
2020-05-06,1767
2020-05-07,1760
2020-05-08,1758
2020-05-11,1777
2020-05-12,1786
2020-05-13,1795
2020-05-14,1815
2020-05-15,1838
2020-05-18,1837
2020-05-19,1863
2020-05-20,1846
2020-05-21,1818
2020-05-22,1794
2020-05-26,1783
2020-05-27,1797
2020-05-28,1797
2020-05-29,1795
2020-06-01,1815
2020-06-02,1819
2020-06-03,1805
2020-06-04,1792
2020-06-05,1786
2020-06-08,1826
2020-06-09,1833
2020-06-10,1860
2020-06-11,1868
2020-06-12,1924
2020-06-15,1976
2020-06-16,1996
2020-06-17,2007
2020-06-18,1997
2020-06-19,1988
2020-06-22,2046
2020-06-23,2047
2020-06-24,2043
2020-06-25,2033
2020-06-26,2018
2020-06-29,2063
2020-06-30,2068
2020-07-01,2053
2020-07-02,1997
2020-07-06,1967
2020-07-07,1926
2020-07-08,1911
2020-07-09,1904
2020-07-10,1920
2020-07-13,1857
2020-07-14,1859
2020-07-15,1866
2020-07-16,1851
2020-07-17,1830
2020-07-20,1720
2020-07-21,1700
2020-07-22,1692
2020-07-23,1676
2020-07-24,1675
2020-07-27,1663
2020-07-28,1655
2020-07-29,1640
2020-07-30,1623
2020-07-31,1638
2020-08-03,1318
2020-08-04,1568
2020-08-05,1645
2020-08-06,1656
2020-08-07,1672
2020-08-10,1692
2020-08-11,1703
2020-08-12,1726
2020-08-13,1727
2020-08-14,1727
2020-08-17,1720
2020-08-18,1700
2020-08-19,1692
2020-08-20,1661
2020-08-21,1616
2020-08-24,1597
2020-08-25,1574
2020-08-26,1543
2020-08-27,1511
2020-08-28,1479
2020-08-31,1460
2020-09-01,1433
2020-09-02,1429
2020-09-03,1452
2020-09-04,1500
2020-09-08,1532
2020-09-09,1541
2020-09-10,1563
2020-09-11,1587
2020-09-14,1602
2020-09-15,1606
2020-09-16,1609
2020-09-17,1630
2020-09-18,1645
2020-09-21,1772
2020-09-22,1811
2020-09-23,1828
2020-09-24,1835
2020-09-25,1818
2020-09-28,1801
2020-09-29,1774
2020-09-30,1760
2020-10-01,1759
2020-10-02,1754
2020-10-05,1743
2020-10-06,1748
2020-10-07,1743
2020-10-08,1738
2020-10-09,1610
2020-10-12,1552
2020-10-13,1523
2020-10-14,1480
2020-10-15,1440
2020-10-16,1424
2020-10-19,1392
2020-10-20,1376
2020-10-21,1341
2020-10-22,1333
2020-10-23,1325
2020-10-26,1302
2020-10-27,1289
2020-10-28,1279
2020-10-29,1318
2020-10-30,1350
2020-11-02,1383
2020-11-03,1422
2020-11-04,1443
2020-11-05,1476
2020-11-06,1499
2020-11-09,1515
2020-11-10,1614
2020-11-11,1657
2020-11-12,1670
2020-11-13,1693
2020-11-16,1689
2020-11-17,1710
2020-11-18,1700
2020-11-19,1692
2020-11-20,1681
2020-11-23,1673
2020-11-24,1668
2020-11-25,1669
2020-11-27,1643
2020-11-30,1615
2020-12-01,1566
2020-12-02,1535
2020-12-03,1533
2020-12-04,1528
2020-12-07,1527
2020-12-08,1513
2020-12-09,1508
2020-12-10,1527
2020-12-11,1526
2020-12-14,1533
2020-12-15,1551
2020-12-16,1558
2020-12-17,1554
2020-12-18,1598
2020-12-21,1699
2020-12-22,1718
2020-12-23,1725
2020-12-24,1720
2020-12-28,1658
2020-12-29,1665
2020-12-30,1644
2020-12-31,1612
2021-01-04,1583
2021-01-05,1614
2021-01-06,1620
2021-01-07,1672
2021-01-08,1691
2021-01-11,1704
2021-01-12,1570
2021-01-13,1567
2021-01-14,1565
2021-01-15,1590
2021-01-19,1638
2021-01-20,1670
2021-01-21,1684
2021-01-22,1705
2021-01-25,1743
2021-01-26,1749
2021-01-27,1753
2021-01-28,1758
2021-01-29,1787
2021-02-01,1818
2021-02-02,1851
2021-02-03,1893
2021-02-04,1903
2021-02-05,1919
2021-02-08,1925
2021-02-09,1947
2021-02-10,1968
2021-02-11,1993
2021-02-12,2022
2021-02-16,1997
2021-02-17,2016
2021-02-18,1974
2021-02-19,1958
2021-02-22,1924
2021-02-23,1919
2021-02-24,1939
2021-02-25,1974
2021-02-26,1998
2021-03-01,2044
2021-03-02,2069
2021-03-03,2077
2021-03-04,2055
2021-03-05,2079
2021-03-08,2133
2021-03-09,2132
2021-03-10,2165
2021-03-11,2173
2021-03-12,2177
2021-03-15,2154
2021-03-16,2118
2021-03-17,2090
2021-03-18,2066
2021-03-19,2020
2021-03-22,2132
2021-03-23,2121
2021-03-24,2113
2021-03-25,2052
2021-03-26,2021
2021-03-29,1992
2021-03-30,1972
2021-03-31,1944
2021-04-01,1954
2021-04-05,1959
2021-04-06,1941
2021-04-07,1932
2021-04-08,1912
2021-04-09,1880
2021-04-12,1747
2021-04-13,1725
2021-04-14,1684
2021-04-15,1642
2021-04-16,1610
2021-04-19,1578
2021-04-20,1559
2021-04-21,1554
2021-04-22,1532
2021-04-23,1516
2021-04-26,1498
2021-04-27,1494
2021-04-28,1490
2021-04-29,1489
2021-04-30,1499
2021-05-03,43
2021-05-04,1466
2021-05-05,1500
2021-05-06,1528
2021-05-07,1539
2021-05-10,1570
2021-05-11,1637
2021-05-12,1657
2021-05-13,1692
2021-05-14,1712
2021-05-17,1732
2021-05-18,1722
2021-05-19,1725
2021-05-20,1753
2021-05-21,1754
2021-05-24,1727
2021-05-25,1691
2021-05-26,1683
2021-05-27,1669
2021-05-28,1685
2021-06-01,1650
2021-06-02,1632
2021-06-03,1609
2021-06-04,1577
2021-06-07,1551
2021-06-08,1558
2021-06-09,1574
2021-06-10,1560
2021-06-11,1569
2021-06-14,1572
2021-06-15,1581
2021-06-16,1571
2021-06-17,1591
2021-06-18,1612
2021-06-21,1714
2021-06-22,1723
2021-06-23,1715
2021-06-24,1696
2021-06-25,1703
2021-06-28,1828
2021-06-29,1831
2021-06-30,1810
2021-07-01,1813
2021-07-02,1812
2021-07-06,1783
2021-07-07,1809
2021-07-08,1804
2021-07-09,1782
2021-07-12,1681
2021-07-13,1636
2021-07-14,1634
2021-07-15,1645
2021-07-16,1644
2021-07-19,1514
2021-07-20,1546
2021-07-21,1584
2021-07-22,1582
2021-07-23,1582
2021-07-26,1579
2021-07-27,1539
2021-07-28,1522
2021-07-29,1506
2021-07-30,1509
2021-08-02,318
2021-08-03,1002
2021-08-04,1325
2021-08-05,1545
2021-08-06,1560
2021-08-09,1562
2021-08-10,1541
2021-08-11,1523
2021-08-12,1516
2021-08-13,1513
2021-08-16,1514
2021-08-17,1511
2021-08-18,1510
2021-08-19,1506
2021-08-20,1517
2021-08-23,1513
2021-08-24,1502
2021-08-25,1477
2021-08-26,1460
2021-08-27,1448
2021-08-30,1458
2021-08-31,1444
2021-09-01,1467
2021-09-02,1466
2021-09-03,1481
2021-09-07,1471
2021-09-08,1474
2021-09-09,1473
2021-09-10,1460
2021-09-13,1470
2021-09-14,1470
2021-09-15,1483
2021-09-16,1509
2021-09-17,1527
2021-09-20,1659
2021-09-21,1694
2021-09-22,1687
2021-09-23,1690
2021-09-24,1708
2021-09-27,1703
2021-09-28,1699
2021-09-29,1724
2021-09-30,1726
2021-10-01,1732
2021-10-04,1744
2021-10-05,1747
2021-10-06,1743
2021-10-07,1746
2021-10-08,1617
2021-10-11,1563
2021-10-12,1538
2021-10-13,1527
2021-10-14,1527
2021-10-15,1547
2021-10-18,1526
2021-10-19,1494
2021-10-20,1488
2021-10-21,1459
2021-10-22,1442
2021-10-25,1408
2021-10-26,1399
2021-10-27,1397
2021-10-28,1395
2021-10-29,1426
2021-11-01,1449
2021-11-02,1488
2021-11-03,1503
2021-11-04,1543
2021-11-05,1575
2021-11-08,1619
2021-11-09,1640
2021-11-10,1676
2021-11-11,1696
2021-11-12,1702
2021-11-15,1723
2021-11-16,1714
2021-11-17,1711
2021-11-18,1709
2021-11-19,1701
2021-11-22,1705
2021-11-23,1703
2021-11-24,1680
2021-11-26,1674
2021-11-29,1671
2021-11-30,1672
2021-12-01,1732
2021-12-02,1765
2021-12-03,1801
2021-12-06,1829
2021-12-07,1871
2021-12-08,1886
2021-12-09,1889
2021-12-10,1876
2021-12-13,1863
2021-12-14,1855
2021-12-15,1847
2021-12-16,1898
2021-12-17,1892
2021-12-20,2025
2021-12-21,2018
2021-12-22,1989
2021-12-23,1954
2021-12-27,1910
2021-12-28,1862
2021-12-29,1799
2021-12-30,1745
2021-12-31,1730
2022-01-03,1720
2022-01-04,1710
2022-01-05,1696
2022-01-06,1692
2022-01-07,1671
2022-01-10,1500
2022-01-11,1493
2022-01-12,1479
2022-01-13,1496
2022-01-14,1517
2022-01-18,1543
2022-01-19,1591
2022-01-20,1632
2022-01-21,1677
2022-01-24,1713
2022-01-25,1779
2022-01-26,1793
2022-01-27,1807
2022-01-28,1830
2022-01-31,1856
2022-02-01,1879
2022-02-02,1880
2022-02-03,1888
2022-02-04,1892
2022-02-07,1895
2022-02-08,1880
2022-02-09,1871
2022-02-10,1864
2022-02-11,1875
2022-02-14,1825
2022-02-15,1819
2022-02-16,1804
2022-02-17,1762
2022-02-18,1756
2022-02-22,1735
2022-02-23,1740
2022-02-24,1742
2022-02-25,1828
2022-02-28,1840
2022-03-01,1890
2022-03-02,1917
2022-03-03,1924
2022-03-04,1911
2022-03-07,1900
2022-03-08,1936
2022-03-09,1979
2022-03-10,2007
2022-03-11,2002
2022-03-14,1991
2022-03-15,1988
2022-03-16,1973
2022-03-17,1960
2022-03-18,1946
2022-03-21,2023
2022-03-22,1992
2022-03-23,1986
2022-03-24,1975
2022-03-25,1953
2022-03-28,1909
2022-03-29,1859
2022-03-30,1844
2022-03-31,1845
2022-04-01,1824
2022-04-04,1798
2022-04-05,1787
2022-04-06,1764
2022-04-07,1771
2022-04-08,1679
2022-04-11,1667
