symbol,tradable,shortable,easy_to_borrow,exchange
EZA,True,True,True,AssetExchange.ARCA
EZPW,True,True,True,AssetExchange.NASDAQ
EZU,True,True,True,AssetExchange.BATS
FATE,True,True,True,AssetExchange.NASDAQ
BSAAU,True,False,False,AssetExchange.NASDAQ
FAX,True,True,True,AssetExchange.AMEX
FBCG,True,True,True,AssetExchange.BATS
BRZU,True,False,False,AssetExchange.ARCA
BRSM,True,False,False,AssetExchange.ARCA
BRRWW,True,False,False,AssetExchange.NASDAQ
FBIN,True,True,True,AssetExchange.NYSE
FBND,True,True,True,AssetExchange.ARCA
BRRR,True,False,False,AssetExchange.NASDAQ
FBRT,True,True,True,AssetExchange.NYSE
FBTC,True,True,True,AssetExchange.BATS
BRR,True,False,False,AssetExchange.NASDAQ
BRNY,True,False,False,AssetExchange.NASDAQ
BRNX,True,False,False,AssetExchange.NASDAQ
FC,True,True,True,AssetExchange.NYSE
BRF,True,False,False,AssetExchange.ARCA
FCEL,True,True,True,AssetExchange.NASDAQ
FCF,True,True,True,AssetExchange.NYSE
FCFS,True,True,True,AssetExchange.NASDAQ
FCG,True,True,True,AssetExchange.ARCA
BREZR,True,False,False,AssetExchange.NASDAQ
BREW,True,False,False,AssetExchange.BATS
FCNCA,True,True,True,AssetExchange.NASDAQ
BPYPP,True,False,False,AssetExchange.NASDAQ
FCOM,True,True,True,AssetExchange.ARCA
FCPT,True,True,True,AssetExchange.NYSE
FCX,True,True,True,AssetExchange.NYSE
FDIS,True,True,True,AssetExchange.ARCA
FDS,True,True,True,AssetExchange.NYSE
OCDDY,True,False,False,AssetExchange.OTC
BPRO,True,False,False,AssetExchange.ARCA
FDSB,True,True,True,AssetExchange.NASDAQ
FDUS,True,True,True,AssetExchange.NASDAQ
BPRE,True,False,False,AssetExchange.NYSE
FDXF,True,True,True,AssetExchange.NYSE
FEPI,True,True,True,AssetExchange.NASDAQ
FESM,True,True,True,AssetExchange.ARCA
BOXA,True,False,False,AssetExchange.BATS
FET,True,True,True,AssetExchange.NYSE
BON,True,False,False,AssetExchange.NASDAQ
BOLT,True,False,False,AssetExchange.NASDAQ
BOH.PRB,True,False,False,AssetExchange.NYSE
FETH,True,True,True,AssetExchange.BATS
FEZ,True,True,True,AssetExchange.ARCA
BOEU,True,False,False,AssetExchange.NASDAQ
BOEG,True,False,False,AssetExchange.NASDAQ
FF,True,True,True,AssetExchange.NYSE
BOCT,True,False,False,AssetExchange.BATS
FFA,True,True,True,AssetExchange.NYSE
FFBC,True,True,True,AssetExchange.NASDAQ
FFC,True,True,True,AssetExchange.NYSE
FFIN,True,True,True,AssetExchange.NASDAQ
FFIV,True,True,True,AssetExchange.NASDAQ
FGDL,True,True,True,AssetExchange.ARCA
FHB,True,True,True,AssetExchange.NASDAQ
FHI,True,True,True,AssetExchange.NYSE
FHTX,True,True,True,AssetExchange.NASDAQ
FIBK,True,True,True,AssetExchange.NASDAQ
FICO,True,True,True,AssetExchange.NYSE
BOBP,True,False,False,AssetExchange.ARCA
BNY.PRK,True,False,False,AssetExchange.NYSE
BNJ,True,False,False,AssetExchange.NYSE
