b,arm,shares_cap,notional_cap
0.0,strict,488.0,4374.9
0.0,touch,567.9,4842.8
0.005,strict,439.6,3339.0
0.005,touch,677.2,5405.6
0.01,strict,438.3,3125.7
0.01,touch,652.1,5427.9
