symbol,day,ts
AARD,2026-05-15,2026-05-15T13:48:00+00:00
AARD,2026-05-15,2026-05-15T13:50:00+00:00
AARD,2026-05-15,2026-05-15T14:13:00+00:00
AARD,2026-05-15,2026-05-15T14:15:00+00:00
AARD,2026-05-15,2026-05-15T19:55:00+00:00
ACON,2025-02-05,2025-02-05T18:59:00+00:00
ACON,2025-02-05,2025-02-05T19:02:00+00:00
ACON,2025-02-05,2025-02-05T19:24:00+00:00
ACON,2025-02-05,2025-02-05T19:27:00+00:00
ACON,2025-02-05,2025-02-05T20:00:00+00:00
ACON,2025-03-06,2025-03-06T15:21:00+00:00
ACON,2025-03-06,2025-03-06T15:42:00+00:00
ACON,2025-03-06,2025-03-06T15:43:00+00:00
ACON,2025-03-06,2025-03-06T18:09:00+00:00
ACON,2025-03-06,2025-03-06T18:34:00+00:00
ACON,2025-03-06,2025-03-06T18:35:00+00:00
ACON,2025-03-06,2025-03-06T18:38:00+00:00
ACON,2025-03-06,2025-03-06T19:00:00+00:00
ACON,2025-03-06,2025-03-06T19:03:00+00:00
ACON,2025-03-06,2025-03-06T20:00:00+00:00
ADTX,2025-03-19,2025-03-19T15:06:00+00:00
ADTX,2025-03-19,2025-03-19T15:08:00+00:00
ADTX,2025-03-19,2025-03-19T15:31:00+00:00
ADTX,2025-03-19,2025-03-19T15:33:00+00:00
ADTX,2025-03-19,2025-03-19T19:55:00+00:00
ADVB,2026-07-20,2026-07-20T19:35:00+00:00
ADVB,2026-07-20,2026-07-20T19:37:00+00:00
ADVB,2026-07-20,2026-07-20T19:38:00+00:00
ADVB,2026-07-20,2026-07-20T19:55:00+00:00
ADVB,2026-07-20,2026-07-20T19:56:00+00:00
ADVB,2026-07-22,2026-07-22T14:25:00+00:00
ADVB,2026-07-22,2026-07-22T14:26:00+00:00
ADVB,2026-07-22,2026-07-22T14:40:00+00:00
ADVB,2026-07-22,2026-07-22T14:41:00+00:00
ADVB,2026-07-22,2026-07-22T14:50:00+00:00
ADVB,2026-07-22,2026-07-22T14:51:00+00:00
ADVB,2026-07-22,2026-07-22T15:05:00+00:00
ADVB,2026-07-22,2026-07-22T15:06:00+00:00
ADVB,2026-07-22,2026-07-22T17:13:00+00:00
ADVB,2026-07-22,2026-07-22T17:14:00+00:00
ADVB,2026-07-22,2026-07-22T17:38:00+00:00
ADVB,2026-07-22,2026-07-22T17:39:00+00:00
ADVB,2026-07-22,2026-07-22T19:55:00+00:00
ADVB,2026-07-24,2026-07-24T14:47:00+00:00
ADVB,2026-07-24,2026-07-24T15:12:00+00:00
ADVB,2026-07-24,2026-07-24T19:55:00+00:00
ADVB,2026-07-27,2026-07-27T14:05:00+00:00
ADVB,2026-07-27,2026-07-27T14:30:00+00:00
ADVB,2026-07-27,2026-07-27T19:55:00+00:00
AEVA,2026-08-06,2026-08-06T13:42:00+00:00
AEVA,2026-08-06,2026-08-06T14:07:00+00:00
AEVA,2026-08-06,2026-08-06T19:55:00+00:00
AFJK,2025-12-10,2025-12-10T14:53:00+00:00
AFJK,2025-12-10,2025-12-10T15:18:00+00:00
AFJK,2025-12-10,2025-12-10T20:53:00+00:00
AFJK,2025-12-11,2025-12-11T15:06:00+00:00
AFJK,2025-12-11,2025-12-11T15:26:00+00:00
AFJK,2025-12-11,2025-12-11T15:31:00+00:00
AFJK,2025-12-11,2025-12-11T15:32:00+00:00
AFJK,2025-12-11,2025-12-11T15:37:00+00:00
AFJK,2025-12-11,2025-12-11T15:56:00+00:00
AFJK,2025-12-11,2025-12-11T15:57:00+00:00
AFJK,2025-12-11,2025-12-11T15:59:00+00:00
AFJK,2025-12-11,2025-12-11T16:26:00+00:00
AFJK,2025-12-11,2025-12-11T16:27:00+00:00
AFJK,2025-12-11,2025-12-11T16:52:00+00:00
AFJK,2025-12-11,2025-12-11T20:54:00+00:00
AFJK,2025-12-18,2025-12-18T15:20:00+00:00
AFJK,2025-12-18,2025-12-18T15:57:00+00:00
AFJK,2025-12-18,2025-12-18T19:13:00+00:00
AFJK,2025-12-18,2025-12-18T19:15:00+00:00
AFJK,2025-12-18,2025-12-18T19:16:00+00:00
AFJK,2025-12-18,2025-12-18T19:38:00+00:00
AFJK,2025-12-18,2025-12-18T19:40:00+00:00
AFJK,2025-12-18,2025-12-18T19:41:00+00:00
AFJK,2025-12-18,2025-12-18T20:55:00+00:00
AFJK,2025-12-23,2025-12-23T15:44:00+00:00
AFJK,2025-12-23,2025-12-23T15:45:00+00:00
AFJK,2025-12-23,2025-12-23T16:08:00+00:00
AFJK,2025-12-23,2025-12-23T16:09:00+00:00
AFJK,2025-12-23,2025-12-23T16:10:00+00:00
AFJK,2025-12-23,2025-12-23T16:29:00+00:00
AFJK,2025-12-23,2025-12-23T16:30:00+00:00
AFJK,2025-12-23,2025-12-23T20:54:00+00:00
AFJK,2026-01-21,2026-01-21T19:32:00+00:00
AFJK,2026-01-21,2026-01-21T19:33:00+00:00
AFJK,2026-01-21,2026-01-21T19:59:00+00:00
AFJK,2026-01-21,2026-01-21T20:43:00+00:00
AGH,2025-03-03,2025-03-03T18:13:00+00:00
AGH,2025-03-03,2025-03-03T18:16:00+00:00
AGH,2025-03-03,2025-03-03T18:42:00+00:00
AGH,2025-03-03,2025-03-03T18:58:00+00:00
AGH,2025-03-03,2025-03-03T19:23:00+00:00
AGH,2025-03-03,2025-03-03T20:00:00+00:00
AHMA,2025-12-05,2025-12-05T15:05:00+00:00
AHMA,2025-12-05,2025-12-05T15:06:00+00:00
AHMA,2025-12-05,2025-12-05T15:18:00+00:00
AHMA,2025-12-05,2025-12-05T15:19:00+00:00
AHMA,2025-12-05,2025-12-05T15:30:00+00:00
AHMA,2025-12-05,2025-12-05T15:31:00+00:00
AHMA,2025-12-05,2025-12-05T15:44:00+00:00
AHMA,2025-12-05,2025-12-05T19:59:00+00:00
AHMA,2026-01-13,2026-01-13T14:58:00+00:00
AHMA,2026-01-13,2026-01-13T15:23:00+00:00
AHMA,2026-01-13,2026-01-13T20:00:00+00:00
AHMA,2026-02-04,2026-02-04T16:04:00+00:00
AHMA,2026-02-04,2026-02-04T16:24:00+00:00
AHMA,2026-02-04,2026-02-04T16:29:00+00:00
AHMA,2026-02-04,2026-02-04T16:31:00+00:00
AHMA,2026-02-04,2026-02-04T16:32:00+00:00
AHMA,2026-02-04,2026-02-04T16:59:00+00:00
AHMA,2026-02-04,2026-02-04T17:40:00+00:00
AHMA,2026-02-04,2026-02-04T17:56:00+00:00
AHMA,2026-02-04,2026-02-04T18:03:00+00:00
AHMA,2026-02-04,2026-02-04T18:10:00+00:00
AHMA,2026-02-04,2026-02-04T18:11:00+00:00
AHMA,2026-02-04,2026-02-04T18:12:00+00:00
AHMA,2026-02-04,2026-02-04T18:13:00+00:00
AHMA,2026-02-04,2026-02-04T18:28:00+00:00
AHMA,2026-02-04,2026-02-04T18:35:00+00:00
AHMA,2026-02-04,2026-02-04T18:36:00+00:00
AHMA,2026-02-04,2026-02-04T20:00:00+00:00
AIFF,2025-02-12,2025-02-12T14:50:00+00:00
AIFF,2025-02-12,2025-02-12T14:51:00+00:00
AIFF,2025-02-12,2025-02-12T14:52:00+00:00
AIFF,2025-02-12,2025-02-12T15:15:00+00:00
AIFF,2025-02-12,2025-02-12T15:16:00+00:00
AIFF,2025-02-12,2025-02-12T15:17:00+00:00
AIFF,2025-02-12,2025-02-12T20:00:00+00:00
AIIO,2026-05-15,2026-05-15T14:12:00+00:00
AIIO,2026-05-15,2026-05-15T14:19:00+00:00
AIIO,2026-05-15,2026-05-15T14:35:00+00:00
AIIO,2026-05-15,2026-05-15T14:36:00+00:00
AIIO,2026-05-15,2026-05-15T14:44:00+00:00
AIIO,2026-05-15,2026-05-15T19:55:00+00:00
AIOS,2026-05-05,2026-05-05T14:51:00+00:00
AIOS,2026-05-05,2026-05-05T15:12:00+00:00
AIOS,2026-05-05,2026-05-05T19:55:00+00:00
AIOS,2026-05-07,2026-05-07T14:26:00+00:00
AIOS,2026-05-07,2026-05-07T14:51:00+00:00
AIOS,2026-05-07,2026-05-07T19:55:00+00:00
AKAN,2026-04-28,2026-04-28T14:01:00+00:00
AKAN,2026-04-28,2026-04-28T14:02:00+00:00
AKAN,2026-04-28,2026-04-28T14:03:00+00:00
AKAN,2026-04-28,2026-04-28T14:04:00+00:00
AKAN,2026-04-28,2026-04-28T14:26:00+00:00
AKAN,2026-04-28,2026-04-28T14:27:00+00:00
AKAN,2026-04-28,2026-04-28T14:28:00+00:00
AKAN,2026-04-28,2026-04-28T14:29:00+00:00
AKAN,2026-04-28,2026-04-28T17:52:00+00:00
AKAN,2026-04-28,2026-04-28T17:58:00+00:00
AKAN,2026-04-28,2026-04-28T17:59:00+00:00
AKAN,2026-04-28,2026-04-28T18:15:00+00:00
AKAN,2026-04-28,2026-04-28T18:17:00+00:00
AKAN,2026-04-28,2026-04-28T18:18:00+00:00
AKAN,2026-04-28,2026-04-28T18:23:00+00:00
AKAN,2026-04-28,2026-04-28T18:24:00+00:00
AKAN,2026-04-28,2026-04-28T18:40:00+00:00
AKAN,2026-04-28,2026-04-28T18:43:00+00:00
AKAN,2026-04-28,2026-04-28T19:55:00+00:00
AKAN,2026-04-29,2026-04-29T16:10:00+00:00
AKAN,2026-04-29,2026-04-29T16:35:00+00:00
AKAN,2026-04-29,2026-04-29T19:55:00+00:00
AKAN,2026-05-01,2026-05-01T13:55:00+00:00
AKAN,2026-05-01,2026-05-01T14:20:00+00:00
AKAN,2026-05-01,2026-05-01T18:04:00+00:00
AKAN,2026-05-01,2026-05-01T18:05:00+00:00
AKAN,2026-05-01,2026-05-01T18:29:00+00:00
AKAN,2026-05-01,2026-05-01T18:30:00+00:00
AKAN,2026-05-01,2026-05-01T19:55:00+00:00
AKAN,2026-05-04,2026-05-04T16:05:00+00:00
AKAN,2026-05-04,2026-05-04T16:06:00+00:00
AKAN,2026-05-04,2026-05-04T16:30:00+00:00
AKAN,2026-05-04,2026-05-04T16:31:00+00:00
AKAN,2026-05-04,2026-05-04T19:55:00+00:00
AKAN,2026-05-06,2026-05-06T14:11:00+00:00
AKAN,2026-05-06,2026-05-06T14:13:00+00:00
AKAN,2026-05-06,2026-05-06T14:14:00+00:00
AKAN,2026-05-06,2026-05-06T14:36:00+00:00
AKAN,2026-05-06,2026-05-06T14:38:00+00:00
AKAN,2026-05-06,2026-05-06T14:39:00+00:00
AKAN,2026-05-06,2026-05-06T19:55:00+00:00
AKAN,2026-05-20,2026-05-20T14:31:00+00:00
AKAN,2026-05-20,2026-05-20T14:55:00+00:00
AKAN,2026-05-20,2026-05-20T19:55:00+00:00
AKTX,2026-05-22,2026-05-22T18:03:00+00:00
AKTX,2026-05-22,2026-05-22T18:04:00+00:00
AKTX,2026-05-22,2026-05-22T18:28:00+00:00
AKTX,2026-05-22,2026-05-22T18:29:00+00:00
AKTX,2026-05-22,2026-05-22T19:38:00+00:00
AKTX,2026-05-22,2026-05-22T19:45:00+00:00
AKTX,2026-05-22,2026-05-22T19:46:00+00:00
AKTX,2026-05-22,2026-05-22T19:55:00+00:00
AKTX,2026-05-22,2026-05-22T19:56:00+00:00
