symbol,day,ts,n_quotes,q_ts,nbb,nbo,spread,err
AARD,2026-05-15,2026-05-15T19:55:00+00:00,13,2026-05-15T19:54:39.999382+00:00,4.61,4.64,0.0299999999999993,
ADTX,2025-03-19,2025-03-19T19:55:00+00:00,21,2025-03-19T19:54:50.357409+00:00,9.81,9.89,0.08,
ADVB,2026-07-20,2026-07-20T19:55:00+00:00,181,2026-07-20T19:54:59.854620+00:00,8.9,8.95,0.0499999999999989,
ADVB,2026-07-22,2026-07-22T19:55:00+00:00,111,2026-07-22T19:54:55.596666+00:00,11.72,11.86,0.1399999999999988,
ADVB,2026-07-24,2026-07-24T19:55:00+00:00,13,2026-07-24T19:54:59.456189+00:00,18.66,18.8,0.1400000000000005,
ADVB,2026-07-27,2026-07-27T19:55:00+00:00,6,2026-07-27T19:54:52.853209+00:00,14.51,14.93,0.4199999999999999,
AEVA,2026-08-06,2026-08-06T19:55:00+00:00,76,2026-08-06T19:54:58.983582+00:00,25.18,25.23,0.0500000000000007,
AFJK,2025-12-11,2025-12-11T20:54:00+00:00,5,2025-12-11T20:53:54.994562+00:00,35.25,38.02,2.770000000000003,
AFJK,2025-12-18,2025-12-18T20:55:00+00:00,6,2025-12-18T20:54:54.762697+00:00,48.0,50.64,2.640000000000001,
AFJK,2025-12-23,2025-12-23T20:54:00+00:00,6,2025-12-23T20:53:41.457132+00:00,42.34,47.0,4.659999999999997,
AHMA,2026-01-13,2026-01-13T20:00:00+00:00,175,2026-01-13T19:59:59.992881+00:00,13.3,13.5,0.1999999999999993,
AHMA,2026-02-04,2026-02-04T20:00:00+00:00,4,2026-02-04T19:59:52.540442+00:00,7.27,7.49,0.2200000000000006,
AIFF,2025-02-12,2025-02-12T20:00:00+00:00,251,2025-02-12T19:59:59.855910+00:00,13.33,13.37,0.0399999999999991,
AIIO,2026-05-15,2026-05-15T19:55:00+00:00,24,2026-05-15T19:54:59.310272+00:00,4.07,4.08,0.0099999999999997,
AIOS,2026-05-05,2026-05-05T19:55:00+00:00,36,2026-05-05T19:54:58.915583+00:00,19.3,20.5,1.1999999999999993,
AKAN,2026-04-28,2026-04-28T19:55:00+00:00,102,2026-04-28T19:54:55.517864+00:00,17.6,17.8,0.1999999999999993,
AKAN,2026-04-29,2026-04-29T19:55:00+00:00,13,2026-04-29T19:54:58.401403+00:00,24.6,24.93,0.3299999999999983,
AKAN,2026-05-01,2026-05-01T19:55:00+00:00,42,2026-05-01T19:54:56.692581+00:00,57.0,57.15,0.1499999999999985,
AKAN,2026-05-04,2026-05-04T19:55:00+00:00,8,2026-05-04T19:54:59.572577+00:00,41.5,41.75,0.25,
AKAN,2026-05-06,2026-05-06T19:55:00+00:00,19,2026-05-06T19:54:46.557726+00:00,28.47,28.71,0.240000000000002,
AKTX,2026-05-22,2026-05-22T19:55:00+00:00,361,2026-05-22T19:54:59.837112+00:00,17.0,17.04,0.0399999999999991,
AKTX,2026-05-26,2026-05-26T19:55:00+00:00,51,2026-05-26T19:54:56.644130+00:00,17.2,17.57,0.370000000000001,
AKTX,2026-05-28,2026-05-28T19:55:00+00:00,1,2026-05-28T19:54:41.396858+00:00,23.28,23.75,0.4699999999999988,
ALBT,2025-03-07,2025-03-07T20:52:00+00:00,3,2025-03-07T20:51:55.574747+00:00,7.08,7.25,0.1699999999999999,
ALMU,2025-06-13,2025-06-13T19:55:00+00:00,14,2025-06-13T19:54:40.569596+00:00,13.24,13.35,0.1099999999999994,
