b,arm,month,size,sum,mean
0.01,strict,2025-07,28,-59.625,-2.129
0.01,strict,2025-08,20,-167.704,-8.385
0.01,strict,2025-09,28,-24.681,-0.881
0.01,strict,2025-10,49,-166.269,-3.393
0.01,strict,2025-11,14,-43.427,-3.102
0.01,strict,2025-12,54,-56.532,-1.047
0.01,strict,2026-01,33,-45.898,-1.391
0.01,strict,2026-02,22,-70.177,-3.19
0.01,strict,2026-03,15,-13.778,-0.919
0.01,strict,2026-04,34,-87.144,-2.563
0.01,strict,2026-05,43,-68.971,-1.604
0.01,strict,2026-06,22,-33.926,-1.542
0.01,strict,2026-07,40,-76.582,-1.915
0.01,strict,2026-08,38,-72.14,-1.898
0.01,strict,2026-09,11,-19.267,-1.752
0.01,touch,2025-01,47,-39.745,-0.846
0.01,touch,2025-02,41,-13.932,-0.34
0.01,touch,2025-03,32,-11.941,-0.373
0.01,touch,2025-04,53,-80.685,-1.522
0.01,touch,2025-05,62,-47.545,-0.767
0.01,touch,2025-06,46,-100.232,-2.179
0.01,touch,2025-07,48,-40.487,-0.843
0.01,touch,2025-08,35,-37.987,-1.085
0.01,touch,2025-09,56,-176.89,-3.159
0.01,touch,2025-10,79,-100.108,-1.267
0.01,touch,2025-11,33,-52.052,-1.577
0.01,touch,2025-12,95,-43.801,-0.461
0.01,touch,2026-01,51,-21.887,-0.429
0.01,touch,2026-02,37,-23.302,-0.63
0.01,touch,2026-03,36,33.258,0.924
0.01,touch,2026-04,58,-48.397,-0.834
0.01,touch,2026-05,88,-4.122,-0.047
0.01,touch,2026-06,50,42.723,0.854
0.01,touch,2026-07,76,19.919,0.262
0.01,touch,2026-08,68,17.745,0.261
0.01,touch,2026-09,16,5.98,0.374
