b,arm,split,candidates,filled,fill_rate,n,mean_netR,t,mde,gross_R,cost_R,weeks_green,weeks,ex_top5,cap3R,trades_wk,netR_ohalt_cost,netR_closecov,netR_h30,netR_eod,tradeable_share,n_trade,mean_netR_trade,t_trade
0.0,strict,TEST,261,225,0.8621,225,0.163651731034989,0.5077248836972813,0.9025061831934451,0.7792456132895274,0.6155938822545384,0.5,16,-0.3413217827779348,-0.5245247815748131,14.06,0.08692593082512572,0.09800788038341766,-0.08624667379298144,2.104935505467496,0.0356,8,0.4237933507532757,0.39566605147150036
0.0,strict,TRAIN,817,682,0.8348,682,-0.9924201880416315,-3.5793965509090913,0.7763254188225714,0.2061236687079154,1.198543856749547,0.23076923076923078,52,-1.5278040690788677,-1.564165742639507,13.12,-1.0191207531836055,-0.8397160722962913,-1.0703848387324493,-0.5556011793351513,0.0806,55,-0.7424187018709336,-1.5759316139044381
0.0,strict,VAL,355,294,0.8282,294,-0.21613963543974873,-0.7115744916779216,0.8504956070083842,0.7641858200739512,0.9803254555137,0.5,22,-0.7004918373978287,-0.9095206032997154,13.36,-0.2507965472490089,-0.22116720583291047,-0.09563168384011139,-0.5865369283914692,0.0714,21,0.41388197341144317,1.1910008521041375
0.0,touch,TEST,261,246,0.9425,246,0.4559006254879218,1.6273153205551276,0.7844341752591133,1.071863386235569,0.615962760747647,0.6875,16,-0.021907062843759664,-0.2508639149717994,15.38,0.3787677218493893,0.378112532388871,0.2969161249282767,2.307438675289714,0.0325,8,0.5230865183938884,0.5182375917392649
0.0,touch,TRAIN,817,768,0.94,768,-0.8396042799026144,-3.3067764462487457,0.7109316344605653,0.31865763866327634,1.1582619185658911,0.28846153846153844,52,-1.3580008462786017,-1.4185466268274833,14.77,-0.866545646445973,-0.6408955853257914,-0.7575101009488181,-0.36921541888750015,0.0807,62,-0.4225427763717591,-0.9332297907647245
0.0,touch,VAL,355,336,0.9465,336,0.012972439608055993,0.0401497740276474,0.9046833209458325,1.156266237008221,1.1432937974001651,0.5909090909090909,22,-0.4807264557797998,-0.7553892930448373,15.27,0.007830686213731482,-0.03975937036742119,-0.06122282865534253,-0.8602349805912781,0.0655,22,0.42516283169716473,1.2764060489551712
0.005,strict,TEST,261,123,0.4713,123,-1.8122841787465245,-4.082349951526383,1.243008502637791,-1.2352216088473753,0.5770625698991492,0.21428571428571427,14,-2.292841093259721,-2.064385037872359,8.79,-1.8946228037339323,-1.6893413381046443,-2.096711548999742,1.7006058826255688,0.0163,2,-1.8511924813161176,
0.005,strict,TRAIN,817,390,0.4774,390,-2.6885167566737445,-5.464265877619469,1.3776501889337098,-1.1758193570122883,1.5126973996614559,0.07692307692307693,52,-3.1997439412593045,-2.9510905190954504,7.5,-2.6669381427958796,-2.6950523427244146,-2.772533895839389,-1.6901164721060713,0.0923,36,-2.088315677311766,-2.9407082844110066
0.005,strict,VAL,355,162,0.4563,162,-1.8583585539758571,-4.444259058450716,1.1708147258513601,-0.9808356625552366,0.8775228914206205,0.22727272727272727,22,-2.316328817124339,-2.131708627380325,7.36,-1.9019977194796012,-1.5947426718028423,-1.4028726733066117,-2.6083055554180623,0.0556,9,-0.2541214534347287,-0.49521222288612576
0.005,touch,TEST,261,222,0.8506,222,0.36652762525659366,1.285644652696932,0.7982589501427256,0.9714775751129558,0.6049499498563621,0.5625,16,-0.05999326680884673,-0.25394274359276375,13.88,0.30142934425308787,0.3243938953291097,0.26408993858939867,2.5423866612945454,0.036,8,0.758283295298822,0.7528018884846743
