day,symbol,fill_min,split,flag_1445,flag_1446,flag_1447,flag_1448,flag_1449,flag_1450,flag_1451,flag_1452,flag_1453,flag_1454,flag_1455,net_R_corr,net_R_corr_flat30
2025-07-01,TIL,642.98763326755,TRAIN-H2,0,0,0,0,1,0,0,0,0,0,1,-1.8900778469750952,-1.613323398576518
2025-07-01,TNA,733.0532426143,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.0961012987013006,-1.3038545454545483
2025-07-01,UPST,828.5856181424167,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.3673425240054915,-1.3214090534979468
2025-07-01,URTY,733.0707289910666,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.1453969355181937,-1.301239242391997
2025-07-01,VOYG,604.3630129375167,TRAIN-H2,0,0,0,0,0,0,0,1,1,0,0,-1.7827382716049418,-1.3108493827160508
2025-07-01,VSCO,684.05376051505,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,1,-1.1439999999999997,-1.2598823529411776
2025-07-01,WLK,707.1403831127833,TRAIN-H2,0,0,0,0,0,1,0,0,1,0,0,-1.225700874635554,-1.3867241982507232
2025-07-01,ZD,708.09054198565,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,-1.2770363636363398,-1.5084303030302875
2025-07-02,AAOI,728.9440897723167,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,1,-1.4407160905422023,-1.2891307246885424
2025-07-02,AEVA,639.00066267235,TRAIN-H2,0,0,0,0,1,0,0,0,0,0,0,1.8343956521739113,1.8343956521739113
2025-07-02,AMR,638.8639436660667,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,1.8147049554422294,1.8147049554422294
2025-07-02,AMSC,613.0779131490333,TRAIN-H2,0,0,0,0,1,1,1,1,1,0,0,1.8198379788738375,1.8198379788738375
2025-07-02,CLDX,659.5092729842333,TRAIN-H2,0,0,0,0,0,0,0,0,1,0,0,-1.896830555555558,-1.7972055555555582
2025-07-02,CNR,651.11372722855,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,1.786228571428576,1.786228571428576
2025-07-02,CONL,662.0101391500667,TRAIN-H2,0,0,0,0,0,0,0,1,1,1,0,1.9674156515725447,1.9674156515725447
2025-07-02,CPS,621.5359002986334,TRAIN-H2,0,0,0,0,1,1,1,0,1,0,0,-0.1584698412698369,-0.2577396825396815
2025-07-02,CROX,632.2547639367333,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.1527590428823968,-1.139726910218289
2025-07-02,ETHU,737.1214965002,TRAIN-H2,0,0,0,0,0,1,0,0,0,1,0,1.9803744186046477,1.9803744186046477
2025-07-02,FSLR,677.00129266185,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.2668971872948547,-1.2371933545422416
2025-07-02,GLXY,747.6998789984667,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.0976370097467698,-1.211588229258966
2025-07-02,GRRR,597.3610676853167,TRAIN-H2,0,0,0,0,1,1,0,1,1,0,1,1.8943156709956708,1.8943156709956708
2025-07-02,HCC,586.1871397672334,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,-1.6258879580355792,-1.5895930667477578
2025-07-02,HELE,676.5757092697166,TRAIN-H2,0,0,0,0,1,1,1,1,1,0,0,1.0287957947855304,0.541893355761141
2025-07-02,HOOD,607.1011064410167,TRAIN-H2,0,0,0,0,0,0,0,1,1,1,0,1.9788688208195453,1.9788688208195453
2025-07-02,HOOG,610.0711260407334,TRAIN-H2,0,0,1,0,1,0,0,1,1,0,0,1.9445781021822428,1.9445781021822428
2025-07-02,HOOX,633.6646531722166,TRAIN-H2,0,1,1,1,1,1,1,0,1,0,0,-1.4747778127022246,-1.4412743644263628
2025-07-02,IONS,604.5080167786833,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,1.9390027300303345,1.9390027300303345
2025-07-02,LABU,603.0477991301667,TRAIN-H2,0,0,0,0,0,0,0,1,1,0,0,1.9246101626016248,1.9246101626016248
2025-07-02,MRAL,678.1190158441,TRAIN-H2,1,1,1,1,1,1,1,1,1,0,1,1.9079685366993924,1.9079685366993924
2025-07-02,MRNA,675.3546366729,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.3709204103214883,-1.3239829103214884
2025-07-02,MSTX,768.7214845907666,TRAIN-H2,0,0,0,0,0,0,0,1,1,1,0,1.9689411650133184,1.9689411650133184
2025-07-02,NGNE,660.57839271085,TRAIN-H2,0,0,0,0,1,0,0,0,1,0,1,-1.5625754862314618,-1.5429426150587293
2025-07-02,NNNN,754.0796040828667,TRAIN-H2,0,0,0,0,1,1,0,0,0,0,0,1.744663157894739,1.744663157894739
2025-07-02,NVDL,650.8366610429167,TRAIN-H2,0,0,0,0,0,0,0,1,1,1,0,0.555183505343291,0.2784057275655199
2025-07-02,ONON,629.1910665887833,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.1551979023722647,-1.1367047752244985
2025-07-02,PHH,712.2096305379,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,0.7246393442623004,0.6434098360655794
2025-07-02,PSIX,739.1621742865833,TRAIN-H2,0,0,0,0,1,1,1,0,1,0,0,1.7760603801169603,1.7760603801169603
2025-07-02,RARE,607.130739676,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,0.6866855072463806,0.7153159420289893
2025-07-02,RDDT,597.27212721215,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.082726179715225,-1.2189874908878868
2025-07-02,RDTL,599.6593466755,TRAIN-H2,0,0,0,0,1,1,1,0,0,0,0,1.8901659574468055,1.8901659574468055
2025-07-02,RGTX,606.0760490685,TRAIN-H2,0,0,0,0,1,1,0,0,0,0,0,1.9310495461825945,1.9310495461825945
2025-07-02,RH,629.2279530416833,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.1482708126761934,-1.1349748809176632
2025-07-02,RKLX,628.4417992698334,TRAIN-H2,0,0,0,0,0,0,0,0,1,0,0,-1.239988322293629,-1.2370101834027134
2025-07-02,ROBN,588.4312025599834,TRAIN-H2,0,0,1,0,1,0,0,1,1,0,0,1.9675608558942803,1.9675608558942803
2025-07-02,SEDG,697.1353496739666,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,-1.1990057142857242,-1.2840914285714313
2025-07-02,SION,656.98256352625,TRAIN-H2,1,1,1,1,1,1,1,0,1,0,1,1.7150485470085488,1.7150485470085488
2025-07-02,SN,631.0055399959167,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.100327704485486,-1.1250321899736142
2025-07-02,SOC,828.3495246154166,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.2134326530612265,-1.1901061224489817
2025-07-02,SOXL,667.2265714641833,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-0.07219642857141854,-0.3337142857142815
2025-07-02,SYM,653.6603314902,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,0.12087332067756457,0.15372488317756453
2025-07-02,TIL,632.0429710091666,TRAIN-H2,0,0,1,0,1,1,0,0,1,0,1,1.8400848484848482,1.8400848484848482
2025-07-02,TSDD,600.6235782986,TRAIN-H2,0,0,0,0,0,0,0,1,1,1,0,-1.192123572605487,-1.197419027150941
2025-07-02,TSMX,632.0053437774,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,1.8875306481481398,1.4451084259259241
