day,symbol,split,stop,R,exit_m,exit_price,why,raw_R,cost_R,net_R,net_R_stopslip,changed,stopped_infill
2025-07-01,AAP,TRAIN,48.06,0.6899999999999977,637.0,50.13,target,2.0,0.0725014492753613,1.9274985507246387,1.9274985507246387,False,False
2025-07-01,AMN,TRAIN,21.46,0.2199999999999988,723.0,22.12,target,2.0,0.2504809917355368,1.7495190082644632,1.7495190082644632,False,False
2025-07-01,ANF,TRAIN,87.4822,1.007799999999989,955.0,88.64,eod,0.1488390553681358,0.1763524508831102,-0.0275133955149743,-0.0275133955149743,False,False
2025-07-01,ARCB,TRAIN,80.79,1.2099999999999935,726.0,84.41999999999999,target,2.0,0.2701520661157057,1.7298479338842945,1.7298479338842945,False,False
2025-07-01,BIIB,TRAIN,130.89,1.490000000000009,770.0,130.89,stop,-1.0,0.151797315436233,-1.151797315436233,-1.4153342281879093,False,False
2025-07-01,BLDR,TRAIN,123.4,1.3399999999999892,707.0,127.41999999999996,target,2.0,0.2130477611940248,1.786952238805975,1.786952238805975,False,False
2025-07-01,BXC,TRAIN,79.0427,1.2573000000000008,741.0,82.8146,target,2.0,0.665003081639584,1.334996918360416,1.334996918360416,False,False
2025-07-01,CE,TRAIN,58.14,0.7100000000000009,776.0,58.14,stop,-1.0,0.1853915492957808,-1.185391549295781,-1.4310535211267665,False,False
2025-07-01,CLDX,TRAIN,21.395,0.2349999999999994,740.0,22.1,target,2.0,0.3101873445703247,1.6898126554296753,1.6898126554296753,False,False
2025-07-01,CMP,TRAIN,20.68,0.3099999999999987,955.0,21.215,eod,0.7258064516129108,0.2394935483870872,0.4863129032258236,0.4863129032258236,False,False
2025-07-01,CONL,TRAIN,44.93,0.759999999999998,628.0,44.93,stop,-1.0,0.0381394736842053,-1.0381394736842051,-1.2154947368421003,False,False
2025-07-01,DFH,TRAIN,26.88,0.3200000000000003,725.0,27.84,target,2.0,0.3924000000000027,1.6075999999999973,1.6075999999999973,False,False
2025-07-01,DIN,TRAIN,25.6506,0.3094000000000001,693.0,26.5788,target,2.0,0.3360776556776552,1.6639223443223448,1.6639223443223448,False,False
2025-07-01,DOW,TRAIN,27.955,0.3450000000000024,764.0,27.955,stop,-1.0,0.0451913043478303,-1.0451913043478305,-1.288278260869568,False,False
2025-07-01,DPST,TRAIN,90.6801,0.9299000000000036,716.0,93.4698,target,2.0,0.1061339498870824,1.8938660501129176,1.8938660501129176,False,False
2025-07-01,ENPH,TRAIN,41.28,0.7199999999999989,762.0,41.28,stop,-1.0,0.0762398979818128,-1.0762398979818129,-1.2482398979818132,False,False
2025-07-01,FUN,TRAIN,31.475,0.375,667.0,31.475,stop,-1.0,0.2668451461988325,-1.2668451461988326,-1.5186451461988326,False,False
2025-07-01,HELE,TRAIN,29.4,0.4299999999999997,667.0,30.69,target,2.0,0.2837015314804277,1.716298468519572,1.716298468519572,False,False
2025-07-01,HOOX,TRAIN,95.4502,1.7998000000000047,618.0,94.81,stop,-1.3557061895766147,0.1549961106789667,-1.5107023002555815,-1.668736526280695,False,False
2025-07-01,HOV,TRAIN,111.51,2.469999999999999,735.0,118.92,target,2.0,0.3903682315444908,1.6096317684555093,1.6096317684555093,False,False
2025-07-01,ICHR,TRAIN,20.74,0.3000000000000007,955.0,21.195,eod,0.5166666666666693,0.7141300000000012,-0.1974633333333318,-0.1974633333333318,False,False
2025-07-01,INTW,TRAIN,20.87,0.25,764.0,20.87,stop,-1.0,0.2166960000000028,-1.2166960000000029,-1.4671360000000029,False,False
2025-07-01,JANX,TRAIN,23.92,0.6199999999999974,697.0,23.92,stop,-1.0,0.2980387096774201,-1.2980387096774202,-1.4137806451612915,False,False
2025-07-01,LABU,TRAIN,58.58,0.7700000000000031,771.0,58.58,stop,-1.0,0.1075924305764855,-1.1075924305764857,-1.335826196810251,False,False
2025-07-01,LGIH,TRAIN,52.82,0.6499999999999986,664.0,54.77,target,2.0,0.2630061538461491,1.7369938461538508,1.7369938461538508,False,False
2025-07-01,MRAL,TRAIN,20.04,0.4600000000000008,646.0,20.04,stop,-1.0,0.1391478260869534,-1.1391478260869534,-1.2698434782608663,False,False
2025-07-01,MRNA,TRAIN,28.5,0.3099999999999987,727.0,29.43,target,2.0,0.0512451612903163,1.948754838709684,1.948754838709684,False,False
2025-07-01,NAIL,TRAIN,54.17,0.6099999999999994,619.0,56.0,target,2.0,0.0970401729418115,1.9029598270581884,1.9029598270581884,False,False
2025-07-01,NGNE,TRAIN,19.877,0.5530000000000008,781.0,19.877,stop,-1.0,0.2422701627486415,-1.2422701627486417,-1.350101989150088,False,False
2025-07-01,NXT,TRAIN,56.75,0.75,771.0,56.75,stop,-1.0,0.2229958146487307,-1.2229958146487308,-1.4499958146487308,False,False
2025-07-01,OLN,TRAIN,20.99,0.2800000000000011,736.0,21.83,target,2.0,0.1941642857142874,1.8058357142857124,1.8058357142857124,False,False
2025-07-01,OPRA,TRAIN,20.04,0.4499999999999993,707.0,20.04,stop,-1.0,0.2089066666666666,-1.2089066666666666,-1.3425066666666667,False,False
2025-07-01,PGY,TRAIN,22.04,0.3900000000000005,636.0,22.04,stop,-1.0,0.1062421326104168,-1.1062421326104168,-1.2757805941488782,False,False
2025-07-01,ROBN,TRAIN,57.05,1.2600000000000051,616.0,57.05,stop,-1.0,0.0989159980286447,-1.0989159980286447,-1.2347493313619775,False,False
2025-07-01,SDHC,TRAIN,21.105,0.2949999999999981,732.0,21.105,stop,-1.0,1.8821050847457763,-2.8821050847457763,-3.0967322033898457,False,False
2025-07-01,SEDG,TRAIN,21.1902,0.3897999999999975,736.0,22.359599999999997,target,2.0,0.0782172315616858,1.9217827684383144,1.9217827684383144,False,False
2025-07-01,SMST,TRAIN,26.22,0.4100000000000001,955.0,27.29,eod,1.6097560975609757,0.0796594657375114,1.530096631823464,1.530096631823464,False,False
2025-07-01,SYM,TRAIN,40.0415,0.4485000000000028,864.0,40.0415,stop,-1.0,0.2408211817168355,-1.2408211817168355,-1.5086573021181717,False,False
2025-07-01,THS,TRAIN,20.6,0.2399999999999984,703.0,21.32,target,2.0,0.1427666666666723,1.857233333333328,1.857233333333328,False,False
2025-07-01,TIL,TRAIN,21.9904,0.4496000000000002,664.0,21.895,stop,-1.2121886120996472,0.4990636120996492,-1.7112522241992965,-1.8573487544484066,False,False
2025-07-01,TNA,TRAIN,34.995,0.3850000000000051,774.0,34.995,stop,-1.0,0.0441532467532594,-1.0441532467532595,-1.3168415584415676,False,False
2025-07-01,UPST,TRAIN,66.971,0.7289999999999992,900.0,66.971,stop,-1.0,0.0732430727023406,-1.0732430727023403,-1.348843895747608,False,False
2025-07-01,URTY,TRAIN,41.1101,0.4698999999999955,774.0,41.1101,stop,-1.0,0.0600596297084407,-1.0600596297084408,-1.3225203660353215,False,False
2025-07-01,VOYG,TRAIN,40.08,0.7199999999999989,616.0,40.08,stop,-1.0,0.3521827160493821,-1.3521827160493822,-1.5191827160493825,False,False
2025-07-01,VSCO,TRAIN,19.8,0.3399999999999998,777.0,19.8,stop,-1.0,0.1587058823529433,-1.1587058823529433,-1.3334117647058845,False,False
2025-07-01,WLK,TRAIN,80.1925,0.8575000000000017,767.0,80.1925,stop,-1.0,0.1936309037900771,-1.1936309037900772,-1.47418775510203,False,False
2025-07-01,ZD,TRAIN,32.12,0.3300000000000054,771.0,32.11,stop,-1.0303030303030238,0.3527939393939319,-1.3830969696969555,-1.6750060606060417,False,False
2025-07-02,AAOI,TRAIN,25.95,0.4100000000000001,801.0,25.95,stop,-1.0,0.1724234076153702,-1.17242340761537,-1.3623014563958578,False,False
2025-07-02,AEVA,TRAIN,29.51,0.4599999999999973,659.0,30.889999999999997,target,2.0,0.3177782608695683,1.6822217391304315,1.6822217391304315,False,False
2025-07-02,AMR,TRAIN,115.3987,1.9412999999999985,723.0,121.2226,target,2.0,0.2754408231597404,1.7245591768402595,1.7245591768402595,False,False
2025-07-02,AMSC,TRAIN,37.3798,0.5201999999999956,620.0,38.94039999999999,target,2.0,0.3820074651861421,1.617992534813858,1.617992534813858,False,False
2025-07-02,CLDX,TRAIN,22.03,0.2399999999999984,680.0,22.03,stop,-1.0,0.5843305555555589,-1.584330555555559,-1.8597055555555608,False,False
2025-07-02,CNR,TRAIN,70.71,0.7700000000000102,688.0,73.02000000000002,target,2.0,0.4085766233766142,1.5914233766233856,1.5914233766233856,False,False
2025-07-02,CONL,TRAIN,44.815,0.7450000000000045,843.0,47.05000000000001,target,2.0,0.0594299860113469,1.940570013988653,1.940570013988653,False,False
2025-07-02,CPS,TRAIN,23.57,0.629999999999999,955.0,24.18,eod,-0.0317460317460311,0.2140253968253956,-0.2457714285714267,-0.2457714285714267,False,False
2025-07-02,CROX,TRAIN,106.7,3.299999999999997,644.0,106.7,stop,-1.0,0.13487856178521618,-1.1348785617852162,-1.2318785617852162,True,False
2025-07-02,ETHU,TRAIN,56.81,0.8599999999999994,803.0,59.39,target,2.0,0.0254395348837268,1.9745604651162727,1.9745604651162727,False,False
2025-07-02,FSLR,TRAIN,170.5,2.8700000000000045,940.0,170.5,stop,-1.0,0.1042665252739473,-1.1042665252739474,-1.2824895217896266,False,False
2025-07-02,GLXY,TRAIN,22.24,0.4100000000000001,949.0,22.24,stop,-1.0,0.0732467658443312,-1.0732467658443312,-1.2359784731614043,False,False
2025-07-02,GRRR,TRAIN,20.64,0.3499999999999978,650.0,21.689999999999998,target,2.0,0.2056843290043254,1.794315670995675,1.794315670995675,False,False
2025-07-02,HCC,TRAIN,47.7423,0.6576999999999984,601.0,47.7423,stop,-1.0,0.7291294815265319,-1.729129481526532,-1.9468988292534597,False,False
2025-07-02,HELE,TRAIN,32.41,0.4100000000000037,955.0,33.21,eod,0.9512195121951148,0.3126676198486057,0.6385518923465091,0.6385518923465091,False,False
2025-07-02,HOOD,TRAIN,94.54,1.6099999999999994,627.0,99.37,target,2.0,0.0304479493667903,1.9695520506332096,1.9695520506332096,False,False
2025-07-02,HOOG,TRAIN,57.6956,1.784399999999998,635.0,63.04879999999999,target,2.0,0.11292549934789442,1.8870745006521057,1.8870745006521057,True,False
2025-07-02,HOOX,TRAIN,97.16,1.4500000000000028,669.0,97.0,stop,-1.1103448275862042,0.233357123047054,-1.3437019506332584,-1.5443916058056717,False,False
2025-07-02,IONS,TRAIN,41.53,0.4600000000000008,685.0,42.91,target,2.0,0.1044755308392297,1.8955244691607704,1.8955244691607704,False,False
2025-07-02,LABU,TRAIN,59.03,0.7199999999999989,661.0,61.19,target,2.0,0.1378898373983775,1.8621101626016223,1.8621101626016223,False,False
2025-07-02,MRAL,TRAIN,23.33,0.4600000000000008,902.0,24.71,target,2.0,0.2007271154745181,1.799272884525482,1.799272884525482,False,False
2025-07-02,MRNA,TRAIN,30.04,0.3200000000000003,723.0,30.04,stop,-1.0,0.0579829103214855,-1.0579829103214855,-1.3396079103214853,False,False
2025-07-02,MSTX,TRAIN,37.275,0.5050000000000026,841.0,38.790000000000006,target,2.0,0.0409598250856898,1.9590401749143105,1.9590401749143105,False,False
2025-07-02,NGNE,TRAIN,20.3907,0.5193000000000012,719.0,20.39,stop,-1.0013479684190223,0.7126477951088,-1.7139957635278225,-1.8317889466589603,False,False
2025-07-02,NNNN,TRAIN,34.0,0.3800000000000025,784.0,35.14000000000001,target,2.0,0.492178947368417,1.507821052631583,1.507821052631583,False,False
2025-07-02,NVDL,TRAIN,68.61,0.7199999999999989,955.0,69.76,eod,0.5972222222222326,0.0350942724344936,0.5621279497877391,0.5621279497877391,False,False
2025-07-02,ONON,TRAIN,53.815,1.4550000000000054,644.0,53.815,stop,-1.0,0.0498009951557702,-1.0498009951557703,-1.1607597580423679,False,False
2025-07-02,PHH,TRAIN,38.68,0.6099999999999994,955.0,39.85,eod,0.9180327868852504,0.1442131147540957,0.7738196721311548,0.7738196721311548,False,False
2025-07-02,PSIX,TRAIN,68.96,0.960000000000008,761.0,71.84000000000002,target,2.0,0.3124812865497064,1.6875187134502936,1.6875187134502936,False,False
2025-07-02,RARE,TRAIN,38.1,0.6899999999999977,955.0,39.51,eod,1.043478260869567,0.3013072463768064,0.7421710144927606,0.7421710144927606,False,False
