day,symbol,split,wk,pdh,n_cross,status,b0_net_R,fill,stop,level,fill_min,exit_m,exit_price,why,R,raw_R,cost_R,net_R
2025-07-01,AOSL,TRAIN,2025-06-28/2025-07-04,26.72,0,not_armed,,,,,,,,,,,,
2025-07-01,CAR,TRAIN,2025-06-28/2025-07-04,176.37,0,not_armed,,,,,,,,,,,,
2025-07-01,INTW,TRAIN,2025-06-28/2025-07-04,20.82,0,not_armed,,,,,,,,,,,,
2025-07-01,JANX,TRAIN,2025-06-28/2025-07-04,24.25,1,fill,-1.0,24.26,23.83,24.25,683.0836988898,701.0,23.83,stop,0.43000000000000327,-1.0,0.3831767441860439,-1.3831767441860439
2025-07-01,LENZ,TRAIN,2025-06-28/2025-07-04,30.6829,0,not_armed,,,,,,,,,,,,
2025-07-01,PNRG,TRAIN,2025-06-28/2025-07-04,153.43,0,not_armed,,,,,,,,,,,,
2025-07-01,RKLX,TRAIN,2025-06-28/2025-07-04,64.58,0,not_armed,,,,,,,,,,,,
2025-07-01,RVLV,TRAIN,2025-06-28/2025-07-04,21.07,0,not_armed,,,,,,,,,,,,
2025-07-01,SDGR,TRAIN,2025-06-28/2025-07-04,21.199,0,not_armed,,,,,,,,,,,,
2025-07-01,SEDG,TRAIN,2025-06-28/2025-07-04,21.57,0,not_armed,,,,,,,,,,,,
2025-07-01,TFIN,TRAIN,2025-06-28/2025-07-04,57.7625,0,not_armed,,,,,,,,,,,,
2025-07-02,CLDX,TRAIN,2025-06-28/2025-07-04,22.315,1,nofill,-1.0,,,,,,,,,,,
2025-07-02,HOOG,TRAIN,2025-06-28/2025-07-04,62.13,0,not_armed,,,,,,,,,,,,
2025-07-02,HOOX,TRAIN,2025-06-28/2025-07-04,97.56,0,not_armed,,,,,,,,,,,,
2025-07-02,HOOY,TRAIN,2025-06-28/2025-07-04,70.6395,0,not_armed,,,,,,,,,,,,
2025-07-02,IONL,TRAIN,2025-06-28/2025-07-04,47.64,0,not_armed,,,,,,,,,,,,
2025-07-02,IONX,TRAIN,2025-06-28/2025-07-04,68.5,0,not_armed,,,,,,,,,,,,
2025-07-02,LABU,TRAIN,2025-06-28/2025-07-04,60.885,0,not_armed,,,,,,,,,,,,
2025-07-02,MTSR,TRAIN,2025-06-28/2025-07-04,29.7499,0,not_armed,,,,,,,,,,,,
2025-07-02,NVDL,TRAIN,2025-06-28/2025-07-04,69.79,0,not_armed,,,,,,,,,,,,
2025-07-02,NVDU,TRAIN,2025-06-28/2025-07-04,98.0546,0,not_armed,,,,,,,,,,,,
2025-07-02,RDTL,TRAIN,2025-06-28/2025-07-04,30.74,1,nofill,2.0,,,,,,,,,,,
2025-07-02,ROBN,TRAIN,2025-06-28/2025-07-04,58.46,0,not_armed,,,,,,,,,,,,
2025-07-02,SRRK,TRAIN,2025-06-28/2025-07-04,35.595,0,not_armed,,,,,,,,,,,,
2025-07-03,MTSR,TRAIN,2025-06-28/2025-07-04,29.9465,0,not_armed,,,,,,,,,,,,
2025-07-03,TIL,TRAIN,2025-06-28/2025-07-04,25.95,0,not_armed,,,,,,,,,,,,
2025-07-07,NUTX,TRAIN,2025-07-05/2025-07-11,128.798,1,nofill,-1.0,,,,,,,,,,,
2025-07-07,TSSI,TRAIN,2025-07-05/2025-07-11,29.065,0,not_armed,,,,,,,,,,,,
2025-07-08,CDTX,TRAIN,2025-07-05/2025-07-11,48.5154,0,not_armed,,,,,,,,,,,,
2025-07-08,EXOD,TRAIN,2025-07-05/2025-07-11,32.22,0,not_armed,,,,,,,,,,,,
2025-07-08,HRI,TRAIN,2025-07-05/2025-07-11,145.26,1,fill,0.4625850340135911,145.33,143.8,145.26,835.8693502994166,955.0,145.95,eod,1.5300000000000011,0.4052287581699187,0.22169281045751765,0.18353594771240106
2025-07-08,INSP,TRAIN,2025-07-05/2025-07-11,134.95,1,fill,-1.0,135.0,133.48,134.95,638.8860626473,786.0,133.48,stop,1.5200000000000102,-1.0,0.5636157894736887,-1.5636157894736886
2025-07-08,PNRG,TRAIN,2025-07-05/2025-07-11,156.49,0,not_armed,,,,,,,,,,,,
2025-07-08,VOYG,TRAIN,2025-07-05/2025-07-11,41.745,1,nofill,1.443254817987143,,,,,,,,,,,
2025-07-09,ASND,TRAIN,2025-07-05/2025-07-11,178.29,1,fill,-1.0,178.55,175.86,178.29,615.25684430705,619.0,175.86,stop,2.6899999999999977,-1.0,0.5409561338290026,-1.5409561338290025
2025-07-10,TIL,TRAIN,2025-07-05/2025-07-11,26.9,0,not_armed,,,,,,,,,,,,
2025-07-11,AAP,TRAIN,2025-07-05/2025-07-11,61.88,0,not_armed,,,,,,,,,,,,
2025-07-11,MNTN,TRAIN,2025-07-05/2025-07-11,23.5099,0,not_armed,,,,,,,,,,,,
2025-07-11,PSIX,TRAIN,2025-07-05/2025-07-11,69.97,0,not_armed,,,,,,,,,,,,
2025-07-14,ASTS,TRAIN,2025-07-12/2025-07-18,47.72,1,fill,-1.0,47.74,47.0151,47.72,620.8698039572333,691.0,47.0151,stop,0.7249000000000052,-1.0,0.06815149675817188,-1.0681514967581718
2025-07-14,HIMS,TRAIN,2025-07-12/2025-07-18,50.77,1,fill,2.0,50.78,50.15,50.77,645.0941460084833,930.0,52.040000000000006,target,0.6300000000000026,2.0,0.04826666666667143,1.9517333333333287
2025-07-14,MTSR,TRAIN,2025-07-12/2025-07-18,40.47,0,not_armed,,,,,,,,,,,,
2025-07-14,NNE,TRAIN,2025-07-12/2025-07-18,36.08,0,not_armed,,,,,,,,,,,,
2025-07-14,OUST,TRAIN,2025-07-12/2025-07-18,24.8839,0,not_armed,,,,,,,,,,,,
2025-07-14,RKLX,TRAIN,2025-07-12/2025-07-18,71.63,1,nofill,2.0,,,,,,,,,,,
2025-07-14,TSAT,TRAIN,2025-07-12/2025-07-18,24.89,0,not_armed,,,,,,,,,,,,
2025-07-15,SBET,TRAIN,2025-07-12/2025-07-18,27.61,1,fill,-1.0,27.62,26.79,27.61,717.6531727581666,882.0,26.79,stop,0.8300000000000018,-1.0,0.01850361445783317,-1.0185036144578332
2025-07-16,AMWD,TRAIN,2025-07-12/2025-07-18,56.68,0,not_armed,,,,,,,,,,,,
