day,symbol,fill_min,split,flag_1457,flag_1458,flag_1459,flag_1460,flag_1461,flag_1462,net_R_corr_v2,net_R_corr_flat30,slip_bps_1463_20bps,slip_bps_1463_50bps,net_R_1464,slip_bps_1464
2025-07-01,AAP,605.3112178731833,TRAIN-H2,1,0.0,1.0,1.0,,0.0,1.956484057971015,1.956484057971015,,,0.5907692307692327,
2025-07-01,AMN,676.707353299,TRAIN-H2,0,0.0,0.0,0.0,,0.0,1.8404280991735524,1.8404280991735524,,,0.5350553505535024,
2025-07-01,ANF,682.0074844224833,TRAIN-H2,0,1.0,0.0,0.0,,0.0,-0.027513395514974323,-0.21199444334192782,,,0.03164199344559047,
2025-07-01,ARCB,679.2420015327,TRAIN-H2,1,0.0,0.0,0.0,,0.0,1.857947107438015,1.857947107438015,,,0.007317073170732033,
2025-07-01,BIIB,668.28254410055,TRAIN-H2,0,0.0,0.0,0.0,,0.0,-1.333005369127495,-1.348220134228182,-24.959889983957268,28.2680113072027,-0.7448255023417414,
2025-07-01,BLDR,667.0013154351167,TRAIN-H2,1,0.0,0.0,0.0,,0.0,1.883967164179107,1.883967164179107,,,0.5579605579605613,
2025-07-01,BXC,667.8126619143334,TRAIN-H2,1,0.0,1.0,0.0,,0.0,1.6849531738284806,1.6849531738284806,,,0.43337484433374907,
2025-07-01,CE,705.367759572,TRAIN-H2,0,0.0,0.0,0.0,,0.0,-1.283983098591556,-1.3465464788732424,15.479876160991298,22.35982112143147,-0.5403568394222593,
2025-07-01,CLDX,711.02021752975,TRAIN-H2,1,0.0,1.0,0.0,,0.0,1.8387488256424422,1.8387488256424422,,,-0.619509939898292,
2025-07-01,CMP,712.0665467954667,TRAIN-H2,0,0.0,0.0,0.0,,0.0,0.7121193548387229,0.39390967741936633,,,0.36207717960934294,
2025-07-01,CONL,592.0586892983666,TRAIN-H2,1,0.0,1.0,1.0,,0.0,-1.0644552631578936,-1.202336842105261,6.677053193857364,6.677053193857364,-1.0347951583643369,6.677053193857364
2025-07-01,DFH,706.1832558810166,TRAIN-H2,1,0.0,1.0,0.0,,0.0,1.7950999999999986,1.7950999999999986,,,-0.8382352941176452,
2025-07-01,DIN,621.0503321274833,TRAIN-H2,1,0.0,1.0,1.0,,0.0,1.8093651368239605,1.8093651368239605,,,1.8093651368239605,
2025-07-01,DOW,706.7919422761834,TRAIN-H2,0,0.0,0.0,0.0,,0.0,-1.0741768115941963,-1.2737855072463775,5.365766410301204,5.365766410301204,-1.0279936268093632,5.365766410301204
2025-07-01,DPST,682.2641751563167,TRAIN-H2,1,0.0,1.0,0.0,,0.0,1.9368814281105506,1.9368814281105506,,,1.9825346577884515,
