cell,base,split,obs,mu,p5,p95
P18,B0,TRAIN,45.28301886792453,46.73301886792453,39.62264150943396,54.71698113207547
P18,B0,VAL,47.82608695652174,44.59565217391305,34.78260869565217,56.52173913043478
P19,B2,TRAIN,32.075471698113205,37.20377358490566,30.18867924528302,45.28301886792453
P19,B2,VAL,26.08695652173913,38.595652173913045,30.217391304347842,47.82608695652174
