cell,base,split,n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp
P15 first break only,B0,VAL,738,32.08695652173913,-0.039687496011876724,-0.04031088067328294,0.023826753596972523,-0.7931045502966689,30.434782608695656,4.3478260869565215,6,-1840.707569476972,2158.1163423138623,-2928.937205676503,-6702.217214482137,-127.34509589897839,40.0,-0.14657584823977837,0.5420054200542005
P15c re-breaks only (compl),B0,TRAIN,537,10.132075471698114,-0.10488134027717078,-0.10558129244481554,-0.038309601477159234,-1.759543388574469,37.735849056603776,3.7735849056603774,5,-1338.4347730833847,1524.8134448623975,-5632.127972884075,-7889.247107190082,-106.26656552611462,25.0,-0.21541594614906437,0.74487895716946
P15c re-breaks only (compl),B0,VAL,371,16.130434782608695,-0.09403658199017806,-0.094685368994535,-0.022773960943954993,-1.3267854170988276,43.47826086956522,4.3478260869565215,4,-1319.2624449622751,602.7575080872947,-3488.7571918356057,-4849.833898325669,-151.68509529720023,20.0,-0.2062790420014295,0.5390835579514826
P16 kill after 3 stops,B0,TRAIN,1414,26.67924528301887,-0.09036156147664948,-0.09097489064104754,-0.029373440320462824,-2.4997568779949675,33.9622641509434,1.8867924528301887,7,-1597.4331225048156,1507.4243963629829,-12777.124792798233,-14527.414208528096,-241.07782627921193,16.666666666666664,-0.20011611416068695,0.6364922206506365
P16 kill after 3 stops,B0,VAL,681,29.608695652173914,-0.019957349504330403,-0.020316270084450933,0.04523430434331466,-0.3843576598520255,34.78260869565217,4.3478260869565215,6,-1634.8273045191813,2375.4564340873767,-1359.095501244902,-4598.912897108758,-59.09110874977834,40.0,-0.12537787571758272,0.2936857562408223
P17 kill after 2 stops,B0,TRAIN,1200,22.641509433962263,-0.09244291410837716,-0.09287756459858919,-0.0315734331996058,-2.3559425197244117,35.84905660377358,1.8867924528301887,7,-1712.6266290343729,1507.4243963629829,-11093.149693005258,-12421.063405432933,-209.30471118877844,25.0,-0.20183267098006052,0.4166666666666667
P17 kill after 2 stops,B0,VAL,597,25.956521739130434,-0.0022372699580778697,-0.0026466919263560605,0.06282610064979337,-0.040482852978277875,30.434782608695656,4.3478260869565215,6,-1211.095842625573,1881.9648518809795,-133.56501649724947,-3597.4560235885215,-5.8071746303151945,40.0,-0.10739935646689276,0.33500837520938026
P18 P14 level >= 20d high stack,B0,TRAIN,558,10.528301886792454,-0.001825037906732838,-0.002136542039334132,0.05716031651347211,-0.03091860067425444,45.28301886792453,3.7735849056603774,5,-1311.143638597438,1497.9750351100088,-101.83711519569317,-3814.5673907286036,-1.921455003692324,33.33333333333333,-0.10682796928439313,0.35842293906810035
P18 P14 level >= 20d high stack,B0,VAL,377,16.391304347826086,-0.019132973262546187,-0.01936405803855546,0.04551441179260046,-0.2676003718312787,47.82608695652174,4.3478260869565215,3,-1047.148784368354,1506.4516598067316,-721.3130919979918,-2123.9925643200886,-31.361438782521383,40.0,-0.12559021463400363,0.2652519893899204
P19 P14 level >= 20d high stack,B2,TRAIN,774,14.60377358490566,-0.09084036088060385,-0.12924534427759804,-0.02235980435862837,-2.0353295680353534,32.075471698113205,1.8867924528301887,12,-1224.3698703728724,1313.851185892175,-7031.043932158737,-9637.80971012812,-132.66120626714599,33.33333333333333,-0.2007488617318883,52.0671834625323
P19 P14 level >= 20d high stack,B2,VAL,446,19.391304347826086,-0.061772500288373895,-0.10227546245010238,0.009128874445637031,-1.053009891821918,26.08695652173913,4.3478260869565215,4,-1258.7853713496056,643.7310546076137,-2755.0535128614765,-3619.0584048389164,-119.78493534180333,40.0,-0.17299659952402974,57.62331838565022
