instrument_id,d0,d1,symbol
1,2024-07-01,2025-01-01,A
2,2024-07-01,2025-01-01,AA
3,2024-07-01,2025-01-01,AAA
4,2024-07-01,2025-01-01,AAAU
19979,2024-12-06,2025-01-01,AACBU
9,2024-07-01,2025-01-01,AACG
10,2024-07-01,2025-01-01,AACI
11,2024-07-01,2025-01-01,AACIU
12,2024-07-01,2025-01-01,AACIW
17,2024-07-01,2025-01-01,AACT
19,2024-07-01,2025-01-01,AACT+
18,2024-07-01,2025-01-01,AACT=
20,2024-07-01,2025-01-01,AADI
21,2024-07-01,2025-01-01,AADR
18543,2024-07-01,2025-01-01,AAGR
18544,2024-07-01,2025-01-01,AAGRW
26,2024-07-01,2025-01-01,AAL
19586,2024-09-16,2025-01-01,AAM
19587,2024-09-16,2025-01-01,AAM+
19377,2024-08-01,2025-01-01,AAM=
29,2024-07-01,2025-01-01,AAMC
30,2024-07-01,2025-01-01,AAME
31,2024-07-01,2025-01-01,AAN
33,2024-07-01,2025-01-01,AAOI
34,2024-07-01,2025-01-01,AAON
35,2024-07-01,2025-01-01,AAP
36,2024-07-01,2025-01-01,AAPB
37,2024-07-01,2025-01-01,AAPD
38,2024-07-01,2025-01-01,AAPL
18958,2024-07-01,2025-01-01,AAPR
39,2024-07-01,2025-01-01,AAPU
18670,2024-07-01,2025-01-01,AAPX
18392,2024-07-01,2025-01-01,AAPY
43,2024-07-01,2025-01-01,AAT
48,2024-07-01,2025-01-01,AAXJ
50,2024-07-01,2025-01-01,AB
18225,2024-07-01,2025-01-01,ABAT
54,2024-07-01,2025-01-01,ABBV
56,2024-07-01,2025-01-01,ABCB
58,2024-07-01,2025-01-01,ABCL
18576,2024-07-01,2025-01-01,ABCS
61,2024-07-01,2025-01-01,ABEO
63,2024-07-01,2025-01-01,ABEQ
64,2024-07-01,2025-01-01,ABEV
20022,2024-12-13,2025-01-01,ABFL
65,2024-07-01,2025-01-01,ABG
20019,2024-12-13,2025-01-01,ABHY
68,2024-07-01,2025-01-01,ABIO
69,2024-07-01,2025-01-01,ABL
20018,2024-12-13,2025-01-01,ABLD
20020,2024-12-13,2025-01-01,ABLG
18498,2024-07-01,2025-01-01,ABLLL
70,2024-07-01,2025-01-01,ABLLW
18088,2024-07-01,2025-01-01,ABLV
18089,2024-07-01,2025-01-01,ABLVW
72,2024-07-01,2025-01-01,ABM
74,2024-07-01,2025-01-01,ABNB
19222,2024-07-01,2025-01-01,ABNY
75,2024-07-01,2025-01-01,ABOS
20021,2024-12-13,2025-01-01,ABOT
76,2024-11-13,2025-01-01,ABP
19863,2024-11-13,2025-01-01,ABPWW
77,2024-07-01,2025-01-01,ABR
81,2024-07-01,2025-01-01,ABR-D
82,2024-07-01,2025-01-01,ABR-E
83,2024-07-01,2025-01-01,ABR-F
84,2024-07-01,2025-01-01,ABSI
86,2024-07-01,2025-01-01,ABT
18482,2024-07-01,2025-01-01,ABTS
88,2024-07-01,2025-01-01,ABUS
89,2024-07-01,2025-01-01,ABVC
19267,2024-07-01,2025-01-01,ABVE
19268,2024-07-01,2025-01-01,ABVEW
18381,2024-07-01,2025-01-01,ABVX
91,2024-07-01,2025-01-01,AC
92,2024-07-01,2025-01-01,ACA
94,2024-07-01,2025-01-01,ACAB
95,2024-07-01,2025-01-01,ACABU
96,2024-07-01,2025-01-01,ACABW
97,2024-07-01,2025-01-01,ACAC
98,2024-07-01,2025-01-01,ACACU
99,2024-07-01,2025-01-01,ACACW
100,2024-07-01,2025-01-01,ACAD
114,2024-07-01,2025-01-01,ACB
120,2024-07-01,2025-01-01,ACCD
121,2024-07-01,2025-01-01,ACCO
122,2024-07-01,2025-01-01,ACDC
127,2024-07-01,2025-01-01,ACEL
130,2024-07-01,2025-01-01,ACES
131,2024-07-01,2025-01-01,ACET
136,2024-07-01,2025-01-01,ACGL
137,2024-07-01,2025-01-01,ACGLN
138,2024-07-01,2025-01-01,ACGLO
19990,2024-12-10,2025-01-01,ACGR
142,2024-07-01,2025-01-01,ACHC
143,2024-07-01,2025-01-01,ACHL
145,2024-07-01,2025-01-01,ACHR
146,2024-07-01,2025-01-01,ACHR+
147,2024-07-01,2025-01-01,ACHV
148,2024-07-01,2025-01-01,ACI
150,2024-07-01,2025-01-01,ACIC
157,2024-07-01,2025-01-01,ACIO
158,2024-07-01,2025-01-01,ACIU
159,2024-07-01,2025-01-01,ACIW
19989,2024-12-10,2025-01-01,ACLC
19881,2024-11-18,2025-01-01,ACLO
164,2024-07-01,2025-01-01,ACLS
165,2024-07-01,2025-01-01,ACLX
166,2024-07-01,2025-01-01,ACM
167,2024-07-01,2025-01-01,ACMR
168,2024-07-01,2025-01-01,ACN
169,2024-07-01,2025-01-01,ACNB
173,2024-07-01,2025-01-01,ACNT
19857,2024-11-12,2025-01-01,ACOG
174,2024-07-01,2025-01-01,ACON
175,2024-07-01,2025-01-01,ACONW
177,2024-07-01,2025-01-01,ACP
180,2024-07-01,2025-01-01,ACP-A
184,2024-07-01,2025-01-01,ACR
185,2024-07-01,2025-01-01,ACR-C
186,2024-07-01,2025-01-01,ACR-D
187,2024-07-01,2025-01-01,ACRE
191,2024-07-01,2025-01-01,ACRS
192,2024-07-01,2025-01-01,ACRV
196,2024-07-01,2025-01-01,ACSI
197,2024-07-01,2025-01-01,ACST
198,2024-07-01,2025-01-01,ACT
205,2024-07-01,2025-01-01,ACTG
19422,2024-08-13,2025-01-01,ACTU
209,2024-07-01,2025-01-01,ACTV
210,2024-07-01,2025-01-01,ACU
211,2024-07-01,2025-01-01,ACV
212,2024-07-01,2025-01-01,ACVA
213,2024-07-01,2025-01-01,ACVF
215,2024-07-01,2025-01-01,ACWI
216,2024-07-01,2025-01-01,ACWV
217,2024-07-01,2025-01-01,ACWX
219,2024-07-01,2025-01-01,ACXP
221,2024-07-01,2025-01-01,ADAG
225,2024-07-01,2025-01-01,ADAP
226,2024-07-01,2025-01-01,ADBE
227,2024-07-01,2025-01-01,ADC
228,2024-07-01,2025-01-01,ADC-A
229,2024-07-01,2025-01-01,ADCT
230,2024-07-01,2025-01-01,ADD
231,2024-07-01,2025-01-01,ADEA
243,2024-07-01,2025-01-01,ADFI
19378,2024-08-01,2025-01-01,ADGM
245,2024-07-01,2025-01-01,ADI
246,2024-07-01,2025-01-01,ADIL
248,2024-07-01,2025-01-01,ADIV
249,2024-07-01,2025-01-01,ADM
250,2024-07-01,2025-01-01,ADMA
251,2024-07-01,2025-01-01,ADME
254,2024-07-01,2025-01-01,ADN
255,2024-07-01,2025-01-01,ADNT
256,2024-07-01,2025-01-01,ADNWW
262,2024-07-01,2025-01-01,ADP
